id,h_ses
0100001,0.4308
0100005,-1.9206
0100006,-0.2830
0100007,-0.1924
0100008,0.4663
0100011,-1.4953
0100012,0.3173
0100013,1.3594
0100030,-1.8931
0100060,1.0895
0100090,-5.4044
0100120,-2.0629
0100180,-1.6390
0100210,-3.2908
0100240,-0.5309
0100270,-2.9134
0100300,0.3150
0100330,-1.8594
0100360,0.7115
0100390,-1.1384
0100420,-1.6839
0100450,-11.5591
0100480,-11.1995
0100510,0.8857
0100540,-0.0453
0100660,-2.0721
0100750,-1.0889
0100780,0.2876
0100810,-3.0298
0100840,-0.2962
0100900,-2.5426
0100960,-4.6092
0100990,-2.6864
0101020,-1.2572
0101050,0.4206
0101080,1.3576
0101110,1.0175
0101140,-1.7833
0101170,-1.0381
0101200,1.0377
0101230,-1.6823
0101290,-1.7075
0101320,-2.3227
0101350,-5.5363
0101380,0.6263
0101410,1.7787
0101470,1.1516
0101530,-0.2309
0101560,-0.7289
0101590,-0.2185
0101620,-2.5122
0101640,1.3515
0101660,-0.4400
0101680,0.4542
0101710,1.2972
0101720,-2.7310
0101730,-1.8007
0101760,0.2193
0101770,-2.6949
0101800,-0.9683
0101830,0.8492
0101860,1.2008
0101890,-0.2243
0101920,-0.5453
0101950,-0.4821
0101980,0.7115
0102010,0.4500
0102040,-1.5075
0102070,-0.8596
0102100,-0.1423
0102220,0.1075
0102250,2.1602
0102310,0.4643
0102370,-0.5798
0102430,-1.3869
0102480,-1.9192
0102520,-1.8334
0102550,-0.6125
0102580,-1.6234
0102635,-1.5989
0102640,-2.8422
0102650,-0.0360
0102700,-0.0456
0102730,0.8256
0102790,-5.1355
0102820,-0.1918
0102880,0.2518
0102910,-1.7312
0102940,0.3596
0102970,-3.9906
0103000,1.6962
0103030,-1.4410
0103062,-3.1579
0103120,-3.5103
0103150,-1.2132
0103180,0.0631
0103210,-0.3184
0103240,0.5779
0103270,-0.3069
0103330,2.0114
0103360,-0.2045
0103390,-0.3439
0103430,0.9988
0103450,-0.6816
0103540,1.0895
0200001,1.0560
0200003,-6.9299
0200007,-0.7376
0200020,-3.5220
0200090,2.6306
0200100,2.0035
0200120,-0.9558
0200150,-2.8270
0200180,0.0539
0200210,0.0808
0200240,-0.2125
0200390,0.4359
0200480,-0.6503
0200485,1.0377
0200510,-0.6026
0200600,0.4413
0200610,1.0416
0200625,-4.6987
0200700,-2.5443
0200710,-7.7871
0200720,0.9288
0200730,1.0377
0400001,1.1202
0400003,-5.3957
0400082,-1.4031
0400212,-1.2078
0400295,-2.7592
0400450,-0.2528
0400600,-1.8888
0400680,-0.9873
0400720,-0.5782
0400790,-0.5319
0400960,-0.6134
0401000,0.1879
0401050,-1.7225
0401180,-2.2093
0401380,-0.1268
0401410,-0.1644
0401460,-0.2254
0401500,-3.1444
0401600,-1.0637
0401680,-1.1512
0401710,-0.9358
0401740,-1.3358
0401760,0.5361
0401870,0.0417
0402320,-0.4203
0402370,-0.3956
0402400,-1.3904
0402430,-1.8375
0402530,-1.7859
0402690,-0.2451
0402790,-3.2910
0402860,-0.0965
0402920,0.0929
0403010,-1.3260
0403040,1.7487
0403060,-1.1906
0403080,-2.3916
0403150,0.3868
0403200,-2.8351
0403240,-2.1961
0403290,-2.3648
0403310,-0.6884
0403400,0.2354
0403420,-1.7325
0403450,-1.3972
0403500,-0.6206
0403780,0.3851
0403820,-0.0793
0403870,-0.3587
0403960,-1.6995
0403990,0.8005
0404010,-0.2321
0404230,0.0804
0404280,-0.0092
0404290,0.1666
0404320,-0.0197
0404380,0.1433
0404410,0.0409
0404440,-0.9057
0404500,-1.3410
0404570,-0.7745
0404630,0.1176
0404720,0.0647
0404770,-2.3754
0404970,-0.5081
0405030,0.1569
0405070,0.8748
0405190,-1.2647
0405320,-1.0567
0405400,-2.0013
0405430,-1.3073
0405460,-0.6928
0405530,-2.0895
0405670,-2.4267
0405820,-1.6161
0405850,-0.2527
0405880,-2.1266
0405930,-0.4876
0405980,-1.0653
0406070,-2.4092
0406210,-0.5398
0406250,0.0892
0406300,-2.6828
0406330,-1.1835
0406440,0.0916
0406580,-0.3631
0406730,-1.2270
0406740,0.3918
0406810,0.1803
0406850,-0.6167
0406900,0.4548
0407020,-0.9393
0407080,-1.1314
0407130,-1.3201
0407170,0.7516
0407200,-0.4348
0407240,-0.8660
0407300,0.4319
0407500,-0.4991
0407520,-0.7622
0407530,-2.4391
0407570,-0.3888
0407700,0.1378
0407750,0.1320
0407820,-1.4247
0407860,-0.9094
0407890,-2.1445
0408170,-1.8557
0408280,1.1692
0408310,-1.0527
0408340,-0.4367
0408410,-0.4851
0408490,-0.9633
0408520,-0.3922
0408600,-1.6909
0408800,-1.1627
0408820,0.0526
0408850,0.6993
0408910,-0.9467
0409060,-0.9579
0409090,-0.4726
0409190,-0.2938
0409250,-0.2654
0409310,-1.3524
0409390,-1.4978
0409460,-0.4292
0409600,-1.7199
0409630,-1.7503
0409733,0.1383
0499997,0.7574
0500001,-0.0998
0500006,-0.4132
0500012,-5.9394
0500015,-0.5787
0500016,1.1970
0500017,-6.1043
0500019,-0.9327
0500023,-1.3400
0500026,0.5999
0500028,-3.3897
0500029,-5.1427
0500030,1.7474
0500032,-2.3790
0500041,-0.1970
0500042,-2.8612
0500043,-0.4490
0500044,1.1019
0500045,-2.7046
0500048,-1.1892
0500049,-1.3241
0500065,0.3918
0500068,-1.8697
0500079,-0.4664
0502250,-0.2365
0502280,0.3766
0502430,-3.1529
0502550,2.6306
0502610,0.8857
0502700,-3.3362
0502730,1.0895
0502790,2.6306
