id,m_avg
0100005,-1.1144
0100006,-0.8538
0100007,0.5914
0100008,1.2414
0100011,-1.3270
0100012,-0.5345
0100013,0.5014
0100030,-0.6978
0100060,-0.5382
0100090,-2.4926
0100100,0.8848
0100120,-0.3969
0100180,-1.4758
0100185,0.2913
0100188,-2.1045
0100189,-0.4675
0100190,-0.7727
0100194,-0.7211
0100210,0.7776
0100240,-0.0630
0100270,-0.2746
0100300,-3.1660
0100330,-2.2992
0100360,-1.4729
0100390,-2.3646
0100420,-1.0757
0100450,-0.1683
0100480,-2.8630
0100510,-1.5658
0100540,-0.6074
0100600,-1.7562
0100630,-1.1495
0100660,-1.1372
0100690,-2.0087
0100720,-1.8588
0100750,-1.1858
0100780,-0.6094
0100810,-0.7358
0100840,-1.1753
0100870,-1.4256
0100900,-1.7307
0100930,-0.7618
0100960,-1.2039
0100990,1.1502
0101020,-0.5334
0101050,-0.7349
0101080,-1.9309
0101110,-2.2484
0101140,-1.3841
0101170,-0.8042
0101200,-0.9645
0101230,-0.6908
0101260,-1.5525
0101290,-0.7587
0101320,0.1369
0101350,-1.1719
0101380,-0.5591
0101410,-1.5613
0101440,-2.5886
0101470,-0.9511
0101530,-0.5901
0101560,-1.0514
0101590,-0.7862
0101620,-1.5660
0101640,-0.6377
0101660,-1.3904
0101680,-2.8556
0101690,0.2502
0101710,-1.4341
0101720,-0.8578
0101730,0.2525
0101740,-1.6348
0101760,1.1657
0101770,-0.4886
0101800,-0.7375
0101830,-0.7151
0101860,-0.5566
0101890,-0.2739
0101920,-1.1826
0101950,-1.3230
0101980,-2.5794
0102010,-0.3496
0102040,-1.0016
0102070,-0.8782
0102100,-1.1941
0102130,-3.0988
0102160,-2.8541
0102190,-2.5859
0102220,0.0777
0102250,-1.7827
0102310,-0.5943
0102350,-2.8377
0102370,-1.0976
0102400,-1.8524
0102430,-2.0917
0102480,-0.7774
0102490,2.4991
0102520,0.6177
0102550,-0.0725
0102580,-1.1073
0102610,-1.1361
0102635,-0.1957
0102640,-1.0890
0102650,-0.8047
0102670,-2.6763
0102700,-1.3400
0102730,-1.5910
0102760,-0.7224
0102790,-0.9086
0102820,-1.8417
0102850,-1.4997
0102880,-1.6609
0102910,-0.9462
0102940,-0.8755
0102970,-2.2869
0103000,-1.6597
0103030,-0.1142
0103062,-0.7814
0103090,-2.9481
0103120,-0.7832
0103150,-1.8811
0103180,-1.2420
0103210,-1.7594
0103240,-1.2713
0103270,-2.4562
0103300,-1.4884
0103330,-1.0701
0103360,-1.5221
0103390,-1.0640
0103420,-1.2161
0103430,1.9313
0103450,-1.0458
0103480,-1.6553
0103510,-2.8655
0103540,0.4241
0103580,-1.1972
0200001,-3.7618
0200003,-4.1716
0200004,-4.6960
0200020,-2.8207
0200060,-0.3865
0200070,0.0369
0200090,-0.1664
0200100,-0.1808
0200120,-1.6367
0200150,-0.3416
0200180,-0.3137
0200210,-0.1570
0200240,-0.1947
0200390,0.2615
0200480,-0.3911
0200510,-0.0593
0200570,-1.5218
0200600,-0.1671
0200610,-2.6819
0200625,-3.2478
0200660,0.4026
0200710,-3.5027
0200720,0.2746
0200770,0.2136
0200780,0.3523
0200862,-1.4646
0400001,0.9967
0400003,-0.6398
0400004,0.0729
0400021,0.0773
0400023,-2.6716
0400026,-0.1090
0400212,-0.1051
0400295,-0.9476
0400520,-2.2249
0400600,-1.4948
0400680,0.0672
0400790,-0.9527
0400960,-1.3163
0401000,-0.8940
0401050,-1.7991
0401080,-1.5914
0401180,-1.5048
0401380,-1.3711
0401460,-0.3907
0401500,-0.9778
0401600,-1.1236
0401680,-1.6312
0401710,-0.8823
0401760,1.6522
0401870,0.7614
0401940,-2.7110
0402250,-0.5749
0402320,-1.2196
0402370,-0.8280
0402400,-0.7145
0402430,-1.8512
0402530,-1.9192
0402600,-2.1421
0402690,-0.3737
0402790,-2.1183
0402860,-0.7242
0402920,-1.2773
0403010,-0.5888
0403040,0.2386
0403060,-1.4944
0403150,-0.0298
0403200,-2.6727
0403240,-2.0066
0403290,-2.4163
0403310,-3.4928
0403400,0.6348
0403420,-1.9745
0403500,-1.6252
0403780,0.7246
0403820,-1.2076
0403870,-0.2143
0403950,-3.4057
0403960,-2.2657
0403990,-0.7420
0404010,-0.9017
0404060,-2.4346
0404230,0.9204
0404280,0.2877
0404290,-1.1877
0404320,-0.6008
0404380,0.1549
0404410,-1.5966
0404440,-1.4227
0404500,0.4252
0404570,-1.0515
0404630,-0.0763
0404720,-0.8786
0404770,-1.4639
0404820,-1.9058
0404970,-0.3441
0405030,-1.5058
0405190,-0.9267
0405320,-0.1374
0405400,-1.8765
0405430,-2.6932
0405460,-1.2809
0405530,-0.5463
0405640,-1.3614
0405670,-1.3865
0405820,-2.1811
0405850,-0.7977
0405880,0.1055
0405930,0.3384
0405980,-1.6031
0406070,-0.6273
0406210,-1.1984
0406250,0.0208
0406300,-1.6308
0406440,-0.8149
0406580,-0.4656
0406730,0.3332
0406740,-3.2725
0406810,0.6534
0406850,-0.8418
0406870,-2.6579
0406900,-0.7279
0406960,-4.4949
0407020,-1.7876
0407080,-2.0645
0407130,-0.8036
0407170,-1.2433
0407200,-2.7730
0407240,-0.4859
0407300,-0.1494
0407520,-0.9507
0407570,0.9585
0407700,-0.6741
0407750,0.5183
0407820,-0.0429
0407890,-1.6372
0408020,-0.3240
0408080,-0.0788
0408130,-2.1297
0408170,-1.8562
0408230,-2.3569
0408280,1.2543
0408310,-0.9210
0408410,0.4161
0408490,-1.5013
0408550,-1.8906
0408600,-1.0022
0408680,-2.4873
0408800,-1.3070
0408820,-1.6266
0408850,1.1414
0409060,-1.2220
0409090,-1.6280
0409160,-3.0579
0409190,-0.7017
0409250,-1.6298
0409310,-1.7063
0409390,-1.1518
0409430,-2.8251
0409460,-1.1310
0409600,-1.2707
0409733,-0.7644
0500001,-1.0617
0500006,-1.5819
0500009,-0.6519
0500012,-0.8366
0500015,-0.3435
0500016,-1.5846
0500017,-1.1044
0500019,-0.2699
0500020,-1.1176
0500021,-1.1885
0500023,-0.9161
0500026,-2.5562
0500028,-1.2123
0500029,-0.4478
0500030,-1.0869
0500032,-1.6040
0500041,-1.0267
0500042,-0.7311
0500043,-0.2005
0500044,-1.4391
0500045,-1.4132
0500046,-0.8193
0500047,-1.1606
0500048,-1.1261
0500049,-0.1768
0500051,-1.6534
0500065,-1.8108
0500067,-1.0971
0500068,-0.2666
0500070,-1.2776
0500071,-0.6171
0500072,-1.3051
0500073,-0.7363
0500076,-1.1106
0500079,-1.2419
0500082,-0.9359
0500405,-0.5532
0502250,-0.6975
0502280,-0.3558
0502430,-0.4579
0502550,-0.0012
0502580,-1.3511
0502610,-0.1579
0502670,-2.2283
0502700,-0.9643
0502730,-1.1926
0502790,-0.8689
0502820,-0.5996
0502880,-0.5231
0502960,0.5181
0503030,0.1402
0503060,0.8175
0503090,0.2920
0503150,-0.3143
0503240,-0.1242
0503300,-1.5047
0503320,-2.4940
0503450,-0.7211
0503480,-1.3528
0503630,-1.2637
0503640,-0.3299
0503690,0.3719
0503710,-0.2072
0503750,0.1095
0503770,-0.9257
0503840,-1.1955
0503960,-1.1121
0504020,-0.5452
0504050,-0.2128
0504080,-1.1082
0504110,0.0880
0504170,-1.0829
0504200,0.3646
0504350,-2.4093
0504370,-0.9148
0504380,-0.3777
0504410,-0.1879
0504560,-0.4612
0504590,0.3173
0504680,0.0253
0504740,0.2428
0504800,-1.5748
0504860,-0.3738
0504890,-0.3598
0504930,-0.5994
0504980,-1.7511
0505170,-2.6987
0505190,-0.6060
0505340,-0.1228
0505410,-2.9055
0505430,0.0838
0505470,-0.7309
0505500,-1.7142
0505550,-2.2714
0505580,-0.9222
0505680,-0.8754
0505760,-0.6140
0505850,-1.4889
0505970,-0.4436
0506060,-1.7159
0506090,0.1608
0506120,0.4344
0506150,-0.9494
0506210,-1.8120
0506240,-0.8992
0506270,-2.8011
0506330,-0.7561
0506360,-0.6574
0506420,-0.2066
0506540,-0.2991
0506630,-0.6204
0506690,-0.6910
0506840,-0.1570
0506870,-0.4524
0506900,0.3367
0506930,-1.0921
0506990,0.5964
0507110,-0.9730
0507140,-0.5389
0507170,-1.4143
0507230,-1.6983
0507290,-1.0310
0507320,-0.9443
0507350,-1.2144
0507380,0.4690
0507530,-1.0176
0507560,-0.4318
0507620,-0.2654
0507680,-2.0270
0507710,-1.6053
0507740,-1.6471
