id,m_coh
0100005,-0.0096
0100006,-0.0777
0100007,0.0504
0100008,0.1458
0100011,0.0362
0100012,-0.0649
0100013,0.0644
0100030,-0.0317
0100060,-0.0956
0100090,0.0473
0100100,-0.0189
0100120,-0.0060
0100180,0.0151
0100185,0.1013
0100210,0.0867
0100240,-0.0789
0100270,-0.0623
0100300,0.0773
0100330,-0.1691
0100360,0.0376
0100390,-0.0648
0100420,0.1078
0100450,0.0195
0100480,-0.0507
0100510,-0.0811
0100540,-0.0115
0100600,0.0662
0100630,0.0652
0100660,0.0144
0100690,-0.0718
0100720,0.0576
0100750,0.1279
0100780,0.0335
0100810,0.0475
0100840,-0.0784
0100870,-0.0036
0100900,0.0620
0100930,-0.0629
0100960,0.0868
0100990,-0.0534
0101020,-0.0083
0101050,0.1442
0101080,-0.0155
0101110,0.0814
0101140,0.0426
0101170,-0.0038
0101200,0.0817
0101230,0.0075
0101260,0.0945
0101290,0.0431
0101320,0.0061
0101350,-0.0319
0101380,-0.0148
0101410,0.1026
0101440,0.0235
0101470,-0.0061
0101530,0.0452
0101560,0.0391
0101590,-0.1267
0101620,0.0765
0101640,0.0581
0101660,0.1172
0101680,-0.0702
0101690,-0.0991
0101710,0.0654
0101720,0.0345
0101730,0.0486
0101740,0.1066
0101760,0.1325
0101770,0.0848
0101800,0.0203
0101830,-0.0493
0101860,0.0942
0101890,-0.0251
0101920,-0.0257
0101950,-0.0124
0101980,0.0395
0102010,-0.0043
0102040,-0.0396
0102070,0.0950
0102100,0.0862
0102160,0.0631
0102190,0.0281
0102220,0.0181
0102250,0.1858
0102310,0.0210
0102350,-0.0860
0102370,-0.0579
0102400,-0.0137
0102430,-0.0694
0102480,-0.0093
0102490,-0.0845
0102520,0.0772
0102550,-0.0054
0102580,0.1198
0102610,0.1707
0102635,0.0893
0102640,-0.0076
0102650,0.0624
0102670,-0.1664
0102700,0.0569
0102730,0.0413
0102760,-0.0733
0102790,0.0868
0102820,0.0639
0102850,0.0543
0102880,0.1398
0102910,-0.1141
0102940,0.0168
0102970,-0.0950
0103000,0.1143
0103030,0.0920
0103062,0.0515
0103090,0.0757
0103120,0.0176
0103150,0.0109
0103180,-0.0195
0103210,0.0361
0103240,0.0715
0103270,0.0191
0103300,0.0547
0103330,-0.0355
0103360,0.0994
0103390,0.0707
0103420,0.0468
0103430,0.0638
0103450,-0.0025
0103480,-0.0360
0103510,-0.0453
0103540,-0.0302
0103580,0.0464
0200001,-0.0652
0200003,-0.1170
0200020,0.0158
0200100,0.0226
0200150,0.0695
0200180,0.0585
0200210,0.0297
0200240,0.0562
0200390,0.0001
0200480,-0.0326
0200510,-0.0328
0200570,-0.0118
0200600,0.0072
0200610,-0.1291
0200625,-0.1047
0200710,-0.0525
0200780,-0.0561
0200862,-0.0098
0400001,0.1251
0400003,0.0530
0400004,-0.0019
0400021,0.0585
0400023,0.2099
0400212,0.1329
0400295,0.0726
0400600,-0.0389
0400680,0.0643
0400790,0.0237
0400960,0.0776
0401050,0.0869
0401080,-0.0223
0401180,0.0911
0401380,0.1127
0401460,0.1171
0401500,0.1597
0401600,0.0785
0401680,0.0408
0401710,0.0092
0401760,0.0643
0401870,0.1391
0401940,0.1097
0402250,0.0131
0402320,0.0656
0402370,0.0718
0402400,0.0910
0402430,0.0302
0402530,0.1327
0402690,0.0734
0402790,0.0654
0402860,0.0967
0402920,0.1463
0403010,0.0821
0403040,0.0399
0403060,0.0452
0403150,0.0712
0403200,0.1445
0403240,0.1459
0403290,0.0246
0403400,0.0708
0403420,0.0399
0403500,0.0010
0403780,0.1982
0403820,-0.0212
0403870,0.0084
0403950,0.1315
0403960,-0.0073
0403990,0.0899
0404060,0.0765
0404230,0.0292
0404280,-0.0154
0404290,0.0875
0404320,0.0711
0404380,0.1648
0404440,0.1410
0404500,0.0399
0404570,-0.0255
0404630,0.0508
0404720,0.1435
0404770,0.1049
0404820,-0.0786
0404970,0.0125
0405030,0.0823
0405190,0.1438
0405320,0.0872
0405400,-0.0123
0405460,0.0379
0405530,-0.0301
0405640,-0.1182
0405670,0.0934
0405820,-0.0270
0405850,-0.0379
0405880,0.1027
0405930,0.0819
0405980,-0.0154
0406070,0.0151
0406210,0.0284
0406250,0.0916
0406300,0.1219
0406440,0.1193
0406580,0.0515
0406730,0.0461
0406740,-0.0037
0406810,0.1605
0406870,0.0540
0406960,0.1360
0407020,0.2403
0407080,0.1036
0407130,0.1069
0407170,0.2677
0407200,0.2890
0407240,0.0286
0407300,0.0238
0407520,0.0889
0407570,0.0508
0407700,0.0236
0407750,0.1065
0407820,0.1577
0407890,0.0831
0408080,0.1222
0408130,0.0117
0408170,-0.0104
0408280,0.0345
0408310,0.0492
0408410,0.0093
0408490,0.0320
0408550,0.0311
0408600,0.1566
0408680,0.1581
0408800,0.0986
0408820,0.1059
0408850,0.0300
0409060,0.0749
0409160,0.1702
0409190,0.0070
0409250,0.1757
0409310,0.0188
0409390,0.0753
0409430,0.0379
0409460,0.0167
0409600,0.1162
0409733,-0.0975
0500001,0.0531
0500006,-0.1480
0500009,-0.0950
0500012,0.0402
0500015,-0.0668
0500016,-0.0931
0500017,-0.1228
0500019,-0.0473
0500020,-0.0335
0500021,0.0912
0500023,0.0653
0500026,0.0551
0500028,-0.1886
0500029,0.0071
0500032,-0.1184
0500042,-0.0641
0500043,-0.0672
0500044,0.0783
0500045,0.0141
0500046,0.1288
0500047,-0.0704
0500048,0.0812
0500049,0.0485
0500051,0.1323
0500065,0.0375
0500067,-0.0288
0500068,-0.0089
0500070,-0.0648
0500073,-0.0070
0500076,-0.0428
0500079,0.0023
0500082,-0.0836
0500405,0.0370
0502250,0.0353
0502280,-0.0263
0502430,-0.0638
0502580,-0.0279
0502610,-0.0042
0502700,-0.0647
0502730,-0.0059
0502790,-0.0027
0502820,0.0108
0502880,-0.0424
0502960,-0.0080
0503030,-0.1771
0503060,-0.0061
0503090,-0.0511
0503150,-0.0554
0503240,0.1000
0503320,-0.0293
0503450,-0.0935
0503630,-0.0011
0503640,0.1265
0503690,-0.0046
0503710,0.0787
0503750,-0.0075
0503770,-0.0433
0503960,-0.0995
0504020,-0.0536
0504050,-0.0447
0504080,0.0651
0504110,0.1099
0504170,-0.1411
0504200,-0.0369
0504350,0.0538
0504370,-0.0234
0504380,-0.1320
0504410,0.0521
0504590,-0.0601
0504680,0.0207
0504800,0.0853
0504860,-0.1179
0504890,-0.1361
0504930,-0.0706
0505190,0.1704
0505340,-0.0121
0505410,-0.0736
0505430,0.0434
0505470,-0.0870
0505500,-0.0054
0505550,0.0226
0505580,-0.0744
0505680,-0.1051
0505760,-0.0570
0505850,-0.0112
0505970,0.0387
0506060,-0.0337
0506090,0.0022
0506120,0.0552
0506150,-0.0862
0506210,-0.0158
0506240,0.0240
0506270,0.0004
0506330,0.0632
0506360,0.0485
0506420,0.0944
0506540,0.0247
0506630,-0.0125
0506690,0.0848
0506840,0.0518
0506870,-0.0518
0506900,0.0665
0506930,-0.0258
0506990,-0.0175
0507110,-0.0946
0507170,0.0635
0507230,-0.0465
0507290,-0.0115
0507320,0.1402
0507350,-0.0757
0507380,0.0012
0507530,-0.0283
0507560,-0.0376
0507620,-0.1268
0507680,-0.0168
0507740,0.0970
0507770,-0.0205
0507840,-0.0610
0507860,0.0033
0507890,0.0593
0507920,-0.1249
0507990,-0.0715
0508040,-0.0823
0508130,-0.0527
0508240,-0.0897
0508280,-0.0337
0508340,-0.1327
0508400,-0.0959
0508610,-0.0742
0508640,0.0387
0508670,-0.0876
0508700,-0.0223
0508730,-0.0074
0508940,0.1140
0509000,0.0853
0509060,-0.1150
0509150,0.0270
0509190,0.0324
0509240,-0.1497
0509330,0.0226
0509360,0.0031
0509390,-0.1367
0509420,0.0227
0509480,0.0158
0509540,0.0284
0509570,-0.0342
0509600,0.1253
0509630,0.0070
0509720,-0.0527
0509750,-0.0647
0509840,-0.0642
0509990,-0.0178
0510170,0.0634
0510200,-0.0762
0510260,-0.0790
0510320,-0.0240
0510380,0.0132
0510440,-0.0879
0510560,0.0528
0510680,-0.0545
0510950,0.0629
0510980,-0.0034
0511010,-0.0579
0511070,0.1136
0511130,-0.0942
0511220,-0.0821
0511340,-0.0295
0511370,-0.0985
0511610,-0.0591
0511700,0.0038
0511730,0.0325
0511760,-0.0986
0511820,0.0471
0511850,0.0424
0511880,0.0387
0511970,0.0074
0512000,-0.0544
0512060,-0.0207
0512090,0.0204
0512210,-0.0455
0512450,0.0045
0512480,-0.0663
0512510,0.0656
0512520,-0.1002
0512540,-0.0818
0512630,0.0692
0512660,0.0325
0512960,0.0333
0513080,-0.0147
0513110,0.0175
0513230,-0.0243
0513350,-0.0161
0513380,-0.0041
0513410,-0.0069
0513530,-0.0648
0513680,0.0887
0513930,-0.1234
0514010,-0.0393
0514020,-0.1613
0514040,-0.1349
0514140,0.0431
0514400,-0.0057
0514430,-0.0180
0514490,-0.0213
0600001,0.0207
0600006,0.0827
0600013,0.0545
0600014,-0.0644
0600015,0.1009
0600016,0.0021
0600017,-0.0425
0600019,0.2773
