id,m_grd
0100005,0.7957
0100006,0.7686
0100007,1.1201
0100008,1.1303
0100011,1.0066
0100012,0.9591
0100013,0.8106
0100030,0.8527
0100060,0.8759
0100090,0.7429
0100100,0.8305
0100120,0.8480
0100180,0.7239
0100185,0.9093
0100210,0.9320
0100240,0.9623
0100270,0.7701
0100300,0.8059
0100330,0.6859
0100360,0.9388
0100390,0.7563
0100420,0.8169
0100450,0.9101
0100480,0.6298
0100510,0.7325
0100540,0.6911
0100600,0.8228
0100630,0.9206
0100660,0.7006
0100690,0.5753
0100720,0.7448
0100750,0.8819
0100780,0.7729
0100810,0.7883
0100840,0.7514
0100870,0.7680
0100900,0.9177
0100930,0.7272
0100960,0.8640
0100990,0.9942
0101020,0.7915
0101050,1.0829
0101080,0.7536
0101110,0.7733
0101140,0.8823
0101170,0.8390
0101200,0.9651
0101230,0.7741
0101260,0.8204
0101290,0.7924
0101320,0.8911
0101350,0.7369
0101380,0.7642
0101410,0.8872
0101440,0.6726
0101470,0.8123
0101530,0.9019
0101560,1.0326
0101590,0.5804
0101620,0.7607
0101640,0.9464
0101660,0.9471
0101680,0.5658
0101690,0.8619
0101710,0.7555
0101720,0.8034
0101730,1.0505
0101740,0.8794
0101760,1.0776
0101770,0.9191
0101800,0.8952
0101830,0.7547
0101860,0.9660
0101890,0.7707
0101920,0.7687
0101950,0.7043
0101980,0.8083
0102010,0.8856
0102040,0.7375
0102070,0.8924
0102100,0.8159
0102160,0.8709
0102190,0.7283
0102220,0.8743
0102250,0.8852
0102310,0.7827
0102350,0.8377
0102370,0.6863
0102400,0.7410
0102430,0.5374
0102480,0.8009
0102490,0.9869
0102520,1.0838
0102550,0.8751
0102580,0.8261
0102610,0.8548
0102635,0.9834
0102640,0.8564
0102650,0.8392
0102670,0.5201
0102700,0.8187
0102730,0.8316
0102760,0.8809
0102790,0.8377
0102820,0.8470
0102850,0.8758
0102880,0.8130
0102910,0.6943
0102940,0.9449
0102970,0.5036
0103000,0.8394
0103030,0.9821
0103062,0.9226
0103090,0.8537
