id,mf_avg
0100005,-5.9130
0100006,-6.1427
0100007,-5.7733
0100008,-5.8859
0100011,-5.9107
0100012,-5.7588
0100013,-5.7840
0100030,-5.9733
0100060,-5.9099
0100090,-6.1185
0100100,-5.8138
0100120,-5.9904
0100180,-6.1803
0100185,-5.6310
0100188,-6.0656
0100189,-5.8957
0100190,-6.0725
0100194,-6.0097
0100210,-5.9170
0100240,-5.8766
0100270,-5.9436
0100300,-6.1602
0100330,-6.2299
0100360,-6.0573
0100390,-6.3435
0100420,-5.8887
0100450,-5.7729
0100480,-6.2535
0100510,-6.0270
0100540,-5.8480
0100600,-5.9801
0100630,-6.2048
0100660,-5.9837
0100690,-6.0661
0100720,-6.2194
0100750,-5.8427
0100780,-6.0535
0100810,-5.9122
0100840,-5.9316
0100870,-5.9919
0100900,-6.1649
0100930,-6.1470
0100960,-6.0948
0100990,-5.8285
0101020,-5.8318
0101050,-5.9466
0101080,-6.3137
0101110,-6.1542
0101140,-5.8845
0101170,-5.8914
0101200,-6.1469
0101230,-5.9879
0101260,-5.7550
0101290,-5.8403
0101320,-5.8689
0101350,-6.0742
0101380,-5.9063
0101410,-6.0262
0101440,-6.2435
0101470,-6.0130
0101530,-5.9776
0101560,-5.8475
0101590,-5.9298
0101620,-6.0989
0101640,-5.9867
0101660,-6.0069
0101680,-6.3507
0101690,-5.8904
0101710,-6.0618
0101720,-5.9070
0101730,-5.9639
0101740,-6.1306
0101760,-5.9428
0101770,-5.9502
0101800,-6.0296
0101830,-6.0536
0101860,-5.9740
0101890,-6.0287
0101920,-6.1170
0101950,-5.9233
0101980,-6.0930
0102010,-5.9459
0102040,-6.0494
0102070,-5.8757
0102100,-6.0596
0102160,-6.4581
0102190,-6.1698
0102220,-5.9258
0102250,-6.4122
0102310,-6.0265
0102350,-6.2550
0102370,-6.1505
0102400,-6.1569
0102430,-6.2276
0102480,-5.8801
0102490,-5.7327
0102520,-5.9545
0102550,-5.9791
0102580,-6.0578
0102610,-6.2487
0102635,-5.9306
0102640,-6.0640
0102650,-5.9663
0102670,-6.3912
0102700,-5.9474
0102730,-6.0933
0102760,-5.9785
0102790,-5.9364
0102820,-6.0046
0102850,-6.0372
0102880,-6.1222
0102910,-5.9164
0102940,-6.0224
0102970,-6.0828
0103000,-6.1788
