id,mf_coh
0100005,0.0010
0100006,-0.0212
0100007,-0.0216
0100008,-0.0090
0100011,-0.0274
0100012,-0.0310
0100013,0.0003
0100030,0.0246
0100060,-0.0420
0100090,-0.0313
0100100,0.0007
0100120,-0.0057
0100180,-0.0493
0100185,-0.0292
0100210,-0.0073
0100240,-0.0039
0100270,-0.0397
0100300,0.0031
0100330,-0.0020
0100360,0.0146
0100390,-0.0045
0100420,0.0150
0100450,-0.0545
0100480,-0.0295
0100510,-0.0110
0100540,-0.0437
0100600,-0.0349
0100630,-0.0013
0100660,-0.0081
0100690,0.0449
0100720,0.0144
0100750,0.0143
0100780,-0.0036
0100810,0.0124
0100840,-0.0222
0100870,0.0132
0100900,-0.0274
0100930,0.0109
0100960,0.0143
0100990,-0.0410
0101020,-0.0078
0101050,0.0154
0101080,-0.0347
0101110,0.0150
0101140,0.0015
0101170,0.0118
0101200,-0.0257
0101230,0.0001
0101260,-0.0187
0101290,-0.0190
0101320,-0.0299
0101350,0.0015
0101380,-0.0253
0101410,-0.0165
0101440,0.0083
0101470,0.0049
0101530,-0.0513
0101560,-0.0386
0101590,0.0026
0101620,0.0076
0101640,-0.0278
0101660,0.0042
0101680,-0.0362
0101690,0.0079
0101710,0.0077
0101720,0.0140
0101730,-0.0420
0101740,0.0018
0101760,0.0302
0101770,0.0051
0101800,-0.0223
0101830,-0.0239
0101860,0.0087
0101890,0.0190
0101920,-0.0047
0101950,-0.0705
0101980,-0.0432
0102010,-0.0384
0102040,-0.0329
0102070,-0.0204
0102100,0.0198
0102160,0.0126
0102190,0.0020
0102220,0.0038
0102250,0.0220
0102310,-0.0278
0102350,-0.0064
0102370,-0.0166
0102400,0.0132
0102430,-0.0252
0102480,-0.0122
0102490,-0.0104
0102520,0.0201
0102550,-0.0482
0102580,-0.0050
0102610,-0.0082
0102635,-0.0156
0102640,-0.0031
0102650,0.0141
0102670,-0.0543
0102700,-0.0435
0102730,-0.0243
0102760,-0.0305
0102790,-0.0163
0102820,-0.0026
0102850,-0.0042
0102880,0.0195
0102910,-0.0156
0102940,-0.0039
0102970,-0.0192
0103000,0.0049
0103030,0.0196
0103062,0.0244
0103090,0.0151
0103120,-0.0204
0103150,-0.0113
0103180,0.0009
0103210,0.0256
0103240,-0.0232
0103270,-0.0300
0103300,0.0386
0103330,-0.0257
0103360,-0.0208
0103390,-0.0263
0103420,0.0183
0103430,-0.0147
0103450,-0.0221
0103480,-0.0449
0103510,0.0261
0103540,-0.0021
0103580,0.0121
0200001,-0.0408
0200003,0.0057
0200020,0.0714
0200100,-0.0820
0200150,0.0327
0200180,0.0126
0200210,-0.0404
0200240,-0.0490
0200390,-0.0421
0200480,0.0005
0200510,0.0020
0200570,-0.0207
0200600,-0.0054
0200610,-0.0092
0200625,0.0156
0400001,0.0216
0400003,-0.0138
0400021,-0.0193
0400023,-0.0297
0400212,-0.0391
0400295,-0.0319
0400600,-0.0144
0400680,-0.0013
0400790,-0.0464
0400960,-0.0335
0401050,0.0293
0401180,-0.0020
0401380,0.0084
0401460,-0.0154
0401500,-0.0513
0401600,0.0288
0401680,-0.0155
0401710,0.0007
0401760,0.0218
0401870,0.0150
0401940,-0.0195
0402250,-0.0305
0402320,-0.0081
