id,np_avg
0100005,0.1318
0100006,0.5068
0100007,1.3442
0100008,2.0186
0100011,-0.1979
0100012,0.6803
0100013,0.7985
0100030,0.8583
0100060,1.1061
0100090,-1.3742
0100100,1.5568
0100120,1.1569
0100180,-0.1584
0100185,1.0307
0100189,0.2327
0100190,0.1978
0100194,0.3164
0100210,1.8158
0100240,1.1921
0100270,0.8962
0100330,-1.2208
0100360,-0.1586
0100390,-0.4508
0100420,-0.1415
0100450,1.0831
0100510,0.1677
0100540,0.4153
0100600,-0.3461
0100630,0.1971
0100660,0.0983
0100690,-1.0275
0100720,0.0045
0100750,-0.1734
0100780,0.5739
0100810,0.3490
0100840,-0.0629
0100900,-0.4106
0100930,0.2755
0100960,0.0792
0100990,1.8376
0101020,0.4705
0101050,0.3902
0101080,-0.6833
0101110,-0.7407
0101140,0.1579
0101170,0.9843
0101200,0.7665
0101230,1.1733
0101260,-0.4875
0101290,0.3279
0101320,1.1762
0101350,0.3916
0101380,0.3457
0101410,0.0633
0101440,-1.1688
0101470,0.2173
0101530,1.3342
0101560,0.4210
0101590,0.3629
0101620,0.6430
0101640,0.6498
0101660,0.0752
0101690,1.3236
0101710,0.4573
0101720,0.4466
0101730,1.0220
0101740,-0.1441
0101760,2.4433
0101770,0.5576
0101800,1.1882
0101830,0.5027
0101860,0.7176
0101890,0.9833
0101920,0.0758
0101950,-0.1507
0102010,0.6299
0102040,0.1659
0102070,0.0875
0102100,-0.1900
0102220,0.9180
0102250,1.3077
0102310,0.3711
0102350,-1.8637
0102370,0.6725
0102400,-0.3783
0102430,0.1702
0102480,0.1902
0102490,2.7279
0102520,1.4603
0102550,1.0814
0102580,0.7636
0102610,0.5410
0102635,1.0719
0102640,0.3962
0102650,0.1812
0102700,-0.0085
0102730,-0.0159
0102760,0.6970
0102790,0.5512
0102820,-0.6197
0102850,0.0088
0102880,-0.7466
0102910,0.2105
0102940,0.3195
0102970,-1.0462
0103000,-0.9501
0103030,0.7583
0103062,0.1804
0103090,-2.0202
0103120,0.5729
0103150,-0.2761
0103180,0.1430
0103210,-0.3498
0103240,-0.0350
0103270,-1.1915
0103300,0.0471
0103330,0.6957
0103360,0.8701
0103390,0.3051
0103420,0.0681
0103430,2.2734
0103450,0.0814
0103480,-0.4390
0103540,1.1596
0103580,0.0548
0200001,-1.9198
0200003,-3.0347
0200070,0.8673
0200090,0.2084
0200100,0.3172
0200150,0.5842
0200180,1.0341
0200210,0.6568
0200240,0.7871
0200390,1.0437
0200480,0.6515
0200510,0.7163
0200570,-1.0350
0200600,0.6227
0200610,-1.7604
0200625,-1.5189
0200660,1.1821
