id,np_coh
0100005,-0.1259
0100006,-0.0540
0100007,0.0828
0100008,0.1298
0100011,0.0209
0100012,-0.0178
0100013,0.0560
0100030,-0.1101
0100060,-0.1092
0100090,0.0232
0100100,0.0214
0100120,-0.0288
0100180,-0.0115
0100185,0.1043
0100210,0.0675
0100240,-0.0821
0100270,-0.0532
0100330,-0.2459
0100360,-0.0094
0100390,-0.1017
0100420,0.1037
0100450,0.0643
0100510,-0.1032
0100540,0.0385
0100600,0.0555
0100630,0.1148
0100660,0.0181
0100690,-0.1701
0100720,-0.0926
0100750,0.0823
0100780,0.0024
0100810,-0.0433
0100840,-0.0413
0100900,0.0506
0100930,-0.0509
0100960,0.1207
0100990,-0.0315
0101020,0.0086
0101050,0.1648
0101080,-0.0289
0101110,-0.0384
0101140,0.0564
0101170,-0.0959
0101200,0.1517
0101230,0.0610
0101290,0.0420
0101320,0.0514
0101350,-0.0264
0101380,-0.0201
0101410,0.1513
0101440,-0.1593
0101470,-0.0557
0101530,0.0997
0101560,0.0526
0101590,-0.1881
0101620,0.0712
0101640,0.0435
0101660,0.0584
0101690,-0.1232
0101710,0.0720
0101720,-0.0073
0101730,0.0416
0101740,0.0384
0101760,0.0553
0101770,0.1065
0101800,-0.0063
0101830,-0.0717
0101860,0.0984
0101890,-0.0640
0101920,0.0027
0101950,0.0428
0102010,0.0054
0102040,-0.0121
0102070,0.1492
0102100,0.0696
0102220,0.0308
0102250,0.0315
0102310,0.0338
0102370,-0.1164
0102400,-0.0604
0102430,-0.0939
0102480,-0.0065
0102490,-0.1043
0102520,0.0543
0102550,-0.0465
0102580,0.1112
0102610,0.1397
0102635,0.0707
0102640,-0.0425
0102650,0.0423
0102700,0.0555
0102730,0.0146
0102760,-0.0279
0102790,0.0781
0102820,-0.0152
0102850,0.0280
0102880,0.0427
0102910,-0.2070
0102940,-0.0209
0102970,-0.2140
0103030,0.0582
0103062,0.0602
0103120,0.0641
0103150,0.0019
0103180,-0.0636
0103210,-0.0115
0103240,0.0749
0103300,0.0295
0103330,-0.0433
0103360,0.0132
0103390,0.0907
0103420,-0.0101
0103430,0.0822
0103450,-0.0115
0103480,-0.0831
0103540,-0.0151
0103580,0.0274
0200001,0.0927
0200003,0.0378
0200100,0.0662
0200150,0.0432
0200180,0.0373
0200210,0.0785
0200240,0.1111
0200390,0.0268
0200480,-0.0689
0200510,-0.0026
0200570,0.0272
0200600,0.0374
0200610,-0.1166
0200625,-0.1369
0200720,0.0081
0200770,0.1339
0200780,-0.0123
0200862,0.0286
0400001,0.1164
0400003,0.1188
0400004,-0.0539
0400021,0.1141
0400212,0.1428
0400295,0.1717
0400600,-0.0729
0400680,0.0315
0400790,0.0750
0400960,0.1339
0401050,-0.0359
0401180,0.1242
0401380,0.0876
0401460,0.1560
0401500,0.1879
0401600,0.0753
0401680,0.0721
0401710,-0.0407
0401760,0.0617
0401870,0.1259
0401940,0.0152
0402250,0.0216
0402320,0.1549
0402370,0.1138
0402400,0.0158
0402430,0.1893
0402530,0.1136
0402690,0.0941
0402860,0.1183
0402920,0.1488
0403010,0.0969
0403040,0.1068
0403060,0.0215
0403150,0.0656
0403240,-0.0183
0403400,0.0130
0403420,0.1146
0403500,-0.0184
0403780,0.1798
0403820,-0.0085
0403870,0.0571
0403990,0.1255
0404230,0.0645
0404280,-0.0096
0404290,0.0713
0404320,0.0637
0404380,0.1504
0404440,0.2535
0404500,0.1076
0404630,0.0749
0404720,0.1505
0404970,0.0777
0405030,-0.0248
0405190,0.0091
0405320,0.0800
0405460,0.0841
0405530,-0.1704
0405640,-0.1187
0405670,0.0886
0405820,-0.0323
