id,np_grd
0100005,0.6935
0100006,0.7729
0100007,1.1878
0100008,1.1413
0100011,0.9765
0100012,1.0185
0100013,0.8692
0100030,0.8878
0100060,0.8978
0100090,0.6902
0100100,0.8683
0100120,0.9294
0100180,0.7318
0100185,0.8870
0100210,0.9458
0100240,1.0585
0100270,0.7997
0100330,0.5617
0100360,0.9534
0100390,0.8013
0100420,0.8515
0100450,0.9616
0100510,0.7926
0100540,0.7660
0100600,0.7987
0100630,1.0466
0100660,0.7412
0100690,0.5234
0100720,0.7243
0100750,0.8626
0100780,0.8395
0100810,0.7652
0100840,0.7933
0100900,0.9706
0100930,0.8522
0100960,0.9000
0100990,1.0060
0101020,0.8120
0101050,1.1653
0101080,0.7194
0101110,0.8039
0101140,0.8629
0101170,0.8967
0101200,1.0227
0101230,0.8695
0101290,0.8852
0101320,0.9487
0101350,0.8485
0101380,0.7577
0101410,1.0065
0101440,0.6042
0101470,0.7646
0101530,1.0371
0101560,1.0381
0101590,0.5997
0101620,0.8460
0101640,0.9883
0101660,0.9591
0101690,0.9232
0101710,0.7004
0101720,0.7351
0101730,1.0835
0101740,0.8800
0101760,1.0704
0101770,0.9389
0101800,0.9682
0101830,0.7843
0101860,1.0807
0101890,0.7275
0101920,0.8147
0101950,0.8203
0102010,0.9000
0102040,0.7718
0102070,0.9827
0102100,0.8324
0102220,0.9183
0102250,0.9425
0102310,0.8398
0102370,0.6599
0102400,0.7769
0102430,0.6420
0102480,0.8443
0102490,1.0173
0102520,1.0893
0102550,0.7539
0102580,0.9351
0102610,0.8480
0102635,1.0100
0102640,0.8351
0102650,0.8309
0102700,0.8917
0102730,0.8097
0102760,0.8455
0102790,0.8054
0102820,0.7905
0102850,0.8144
0102880,0.7988
0102910,0.6036
0102940,0.9424
0102970,0.4263
0103030,0.9841
0103062,1.0012
0103120,0.9473
0103150,0.7038
0103180,0.7737
0103210,0.9043
0103240,0.9243
0103300,0.8300
0103330,0.8484
0103360,0.8286
0103390,0.8887
0103420,0.7020
0103430,0.9837
0103450,0.8927
0103480,0.6519
0103540,0.7356
0103580,0.8061
0200001,1.2780
0200003,1.0979
0200070,1.1336
0200100,1.0698
0200150,1.0320
0200180,1.0147
0200210,1.2009
0200240,1.0210
0200390,1.0242
0200480,0.9616
0200510,1.0411
0200600,0.9825
0200610,0.9813
0200625,0.8584
0200720,1.2020
0200770,1.1430
0200780,0.9716
0200862,1.1408
0400001,1.0349
0400003,1.1014
0400004,1.0560
0400021,1.1259
0400212,1.1231
0400295,0.9237
0400600,0.8449
0400680,0.9981
0400790,0.9700
0400960,1.1354
0401050,1.0251
0401180,1.0968
0401380,1.0016
0401460,1.1029
0401500,1.0989
0401600,0.9939
0401680,1.0365
0401710,1.0185
0401760,1.0272
0401870,1.1433
0401940,0.9507
0402250,0.9755
0402320,0.9653
0402370,1.1251
0402400,1.0458
0402430,0.9996
0402530,1.0325
0402690,1.0374
0402860,1.0852
0402920,1.1268
0403010,1.1645
0403040,1.0474
0403060,0.9155
0403150,1.1426
0403240,1.0973
0403400,0.9898
0403420,1.1465
0403500,0.9213
0403780,1.1255
0403820,0.8391
0403870,0.8697
0403990,0.9989
0404230,1.0816
0404280,1.0017
0404290,1.0675
0404320,0.9938
0404380,1.1651
0404440,1.2421
0404500,1.1377
0404630,1.0064
0404720,0.9304
0404970,1.0786
0405030,0.9868
0405190,0.9637
0405320,0.7981
0405460,0.9102
0405530,0.8381
0405640,1.0112
0405670,1.0964
0405820,1.0315
0405880,1.0710
0405930,1.0715
0405980,0.8113
0406070,0.9579
0406210,1.0826
0406250,1.1425
0406300,1.4761
0406440,1.0689
0406580,1.1345
0406730,1.0691
0406810,1.0614
0406900,0.9170
0407080,1.0414
0407130,1.1874
0407170,1.2259
0407200,0.8699
0407240,1.1164
0407300,1.0275
0407520,1.0604
0407570,1.0374
0407700,0.8963
0407750,1.0629
0407820,1.1810
0407890,0.9563
0408020,1.0865
0408080,1.0780
0408170,0.9131
0408280,0.9490
0408310,1.0182
0408410,1.0050
0408490,1.0925
0408550,0.8186
0408680,0.9995
0408800,1.0718
0408820,0.8567
0408850,1.0877
0409060,1.0996
0409190,0.8772
0409250,1.0326
0409430,0.8942
0409460,0.9605
0409600,0.9896
0409733,1.0761
0500001,0.7686
0500006,0.9878
0500009,0.9663
0500012,0.7501
0500015,0.8701
0500016,0.8824
0500017,0.8330
0500019,0.9423
0500023,0.9656
0500026,0.8644
0500028,0.8114
0500029,0.9437
0500042,0.6391
0500043,0.9749
0500044,0.8907
0500045,0.9155
0500046,1.0202
0500047,0.8334
0500049,0.8484
0500067,0.8298
0500068,0.8947
0500070,0.7973
0500082,0.7787
0502250,0.9941
0502430,0.9823
0502550,0.9097
0502580,0.7271
0502610,0.9401
0502700,0.8635
0502790,0.8157
0502880,0.8650
0502960,0.9815
0503030,0.9257
0503060,1.0134
0503090,0.9164
0503150,0.9119
0503240,1.0370
0503450,0.9283
0503640,0.9010
0503690,0.8910
0503710,0.8694
0503750,0.8416
0503960,0.9797
0504020,0.8652
0504050,0.8456
0504110,1.0454
0504200,0.7098
0504380,0.9035
0504410,0.7804
0504590,0.9004
0504800,0.8821
0504930,0.8524
0505430,0.7223
0505500,0.7368
0505680,0.9115
0505760,0.9591
0506060,0.7800
0506090,0.7951
0506120,1.0478
0506210,0.7896
0506330,1.0307
0506360,0.8293
0506420,0.8722
0506540,1.0973
0506630,0.6609
0506690,0.8714
0506840,1.1598
0506900,1.0935
0506930,0.8170
0506990,1.0446
0507170,0.8688
0507290,0.9407
0507320,0.8916
0507380,0.8037
0507560,0.9684
0507770,0.8089
0507840,0.7786
0507860,0.8278
0507890,0.7323
0507920,0.9311
0507990,0.7244
0508130,1.0284
0508240,0.9010
0508280,0.9602
0508340,0.9017
0508400,0.7044
0508610,0.7909
0508670,0.8133
0508700,0.8555
0508730,0.7807
0508940,0.8859
0509000,0.8259
0509060,0.8962
0509190,0.7914
0509240,0.8242
0509330,0.9229
0509390,0.8102
0509480,0.8804
0509540,0.9205
0509630,0.7457
0509720,0.7050
0509750,0.8464
0509840,0.9751
0510200,0.8525
0510380,0.8218
0510440,0.8022
0510680,0.7643
0511010,0.9369
0511070,0.8445
0511130,0.9238
0511220,0.8231
0511340,0.8778
0511370,0.6131
0511610,1.0085
0511700,0.7818
0511760,0.9582
0511850,0.6995
0511880,0.8893
0511970,0.9484
0512000,0.6052
0512060,0.8250
0512210,1.1352
0512450,1.0381
0512510,0.9159
0512520,0.6583
0512540,0.8490
0512660,0.8919
0512960,0.9667
0513080,0.9513
0513110,0.6778
0513230,0.7983
0513350,1.0800
0513380,0.9654
0513410,0.9409
0513530,0.8897
0513680,0.8941
0513930,0.7005
0514010,0.9032
0514140,0.9438
0514400,0.7480
0514430,0.7529
0600001,0.9725
0600006,1.1116
0600013,1.1182
0600014,0.8535
0600015,1.3322
0600016,0.9601
0600017,0.9384
0600019,1.1565
0600020,1.2083
0600021,1.2058
0600025,0.8989
0600026,0.9432
0600027,0.9206
0600028,0.9933
0600029,0.9924
0600032,0.9915
0600034,0.8943
0600036,1.0470
0600037,0.8542
0600039,0.9396
0600043,1.0326
0600044,1.0338
0600045,0.9071
0600046,1.0778
0600047,0.9615
0600048,1.0231
0600049,1.1225
0600051,0.9350
0600052,1.0135
0600060,0.9731
0600061,0.9579
0600062,0.8630
0600063,1.2147
0600064,0.9336
0600065,0.9256
0600068,1.0606
0600069,1.0343
0600116,1.0316
0600153,1.0995
0600158,1.0328
0600159,0.9595
0600160,1.1299
0601331,1.1425
0601332,0.9293
0601409,1.1314
0601410,1.0231
0601620,1.0802
0601680,1.0832
0601710,0.6583
0601770,1.0233
0601860,1.1864
0601950,1.1091
0602100,0.8534
0602160,0.9197
0602310,1.2311
0602430,1.0701
0602450,0.8949
0602610,0.8463
0602760,1.0861
0602850,1.0261
0602970,1.0920
0603000,1.1490
0603060,1.2774
0603300,1.0522
0603420,1.0091
0603480,1.1204
0603600,0.9018
0603630,1.0210
0603690,0.8410
0603840,0.5885
0604020,0.9578
0604080,1.0770
0604110,1.1185
0604230,1.0726
0604260,1.0878
0604290,0.8868
0604380,0.9398
0604440,0.9588
0604530,1.1448
0604620,0.9547
0604650,0.9705
0604740,1.0957
0604800,1.0815
0604830,1.1577
0605240,0.9209
0605280,1.1391
0605580,1.0930
0605610,0.9156
0605670,1.0710
0605790,0.9374
0605880,1.0841
0605910,1.0860
0606060,1.3145
0606090,0.9420
0606270,1.0108
0606330,1.2254
0606360,0.8758
0606390,0.9619
0606450,1.0053
0606480,1.2281
0606570,0.7332
0606750,1.0313
0606780,1.0286
0606810,1.0665
0606870,1.1231
0606900,1.1386
0607140,0.9674
0607170,0.8567
0607200,0.9166
0607440,1.1880
0607470,1.1244
0607500,0.9873
0607530,1.0107
0607560,0.9556
0607680,0.8094
0607740,1.0390
0607800,0.9066
0607900,0.8545
0607950,0.9465
0607970,0.8815
0607980,0.9135
0608070,0.8573
0608130,0.8308
0608190,0.9232
0608370,1.1903
0608460,0.9957
0608520,0.8921
0608610,1.0817
0608760,1.0618
0608970,0.8445
0609030,0.9581
0609120,0.7430
0609300,1.1237
0609330,0.8881
0609390,0.9531
0609450,1.0698
0609480,1.0469
0609570,1.1053
0609620,0.7143
0609640,1.1071
0609690,0.6556
0609780,0.7483
0609850,0.9884
0609870,1.0449
0609940,0.8417
0609990,1.0584
0610050,0.9685
0610260,1.0747
0610290,1.1788
0610320,0.8191
0610380,0.9905
0610440,1.1509
0610620,1.2568
0610710,1.1863
0610740,1.1702
0610770,0.9991
0610890,0.9852
0611040,0.7748
0611110,0.9200
0611220,1.1188
0611280,1.0169
0611460,1.0031
0611490,0.9258
0611520,0.9236
0611730,0.9468
0611850,0.9654
0611910,0.9199
0612030,1.0302
0612090,1.0780
0612180,1.1306
0612210,1.0412
0612330,1.0193
0612690,1.0622
0612750,1.0954
0612810,0.9653
0612840,0.9949
0612880,0.9263
0612960,1.0827
0613080,1.0956
0613140,0.9674
0613170,0.9094
0613200,0.9616
0613290,1.2139
0613360,0.9215
0613470,0.9460
0613500,1.1686
0613800,0.9315
0613890,0.9910
0613920,0.7403
0613980,0.8727
0614010,1.1295
0614070,0.8770
0614220,1.1001
0614250,0.9592
0614340,1.0132
0614370,1.1549
0614400,1.1960
0614520,1.0559
0614550,0.6740
0614700,1.0452
0614730,1.1092
0614790,0.8793
0614880,1.1402
0614940,1.1688
0614950,0.8960
0615180,1.0797
0615240,1.0604
0615270,0.9903
0615390,1.1019
0615450,1.0367
0615510,1.0511
0615600,1.2579
0615690,1.0622
0615780,1.1956
0615840,1.1571
0616050,0.8753
0616080,1.0378
0616300,0.9790
0616323,0.8929
0616325,0.8766
0616470,0.9984
0616620,1.3174
0616650,1.0038
0616680,0.8766
0616740,1.0169
0616860,0.9350
0616920,0.8777
0617040,1.0182
0617160,1.2574
0617190,0.9827
0617220,0.8797
0617340,0.9046
0617430,1.1471
0617490,1.1261
0617850,0.8745
0618030,1.0107
0618210,1.0710
0618390,0.6212
0618660,1.0123
0618730,1.0945
0618780,0.9255
0618840,1.1113
0618870,1.0430
0618990,1.0756
0619140,1.1511
0619200,1.0396
0619260,0.8706
0619320,0.9269
0619380,1.2199
0619440,0.8969
0619490,0.9233
0619590,0.7775
0619620,1.1090
0619680,0.8137
0619700,1.0973
0619770,1.1895
0619800,1.0332
0620040,1.1344
0620070,0.7265
0620130,1.1620
0620190,0.7711
0620250,1.0495
0620310,1.0792
0620370,1.1614
0620460,1.0622
0620640,0.9467
0620670,0.9729
0620730,0.9812
0620790,1.0184
0620880,1.0907
0620910,0.9831
0621000,0.9864
0621210,0.9913
0621330,0.9119
0621360,1.0980
0621420,0.8583
0621450,0.8154
0621690,1.0826
0621810,0.9044
0621930,0.9581
0621990,1.0608
0622050,1.0088
0622110,0.9635
0622170,0.9233
0622230,1.0305
0622350,1.0213
0622380,1.0864
0622410,1.0142
0622500,0.9135
0622560,1.0744
0622590,0.9994
0622650,1.1332
0622710,0.7804
0622740,0.8487
0622830,1.1612
0622920,1.0894
0623010,0.9605
0623080,0.9469
0623160,0.8540
0623340,0.8944
0623430,0.8317
0623530,1.0876
0623610,0.9817
0623800,1.1616
0623940,1.0672
0623970,1.0034
0624000,1.1333
0624030,0.8258
0624090,0.8449
0624180,1.0359
0624300,1.0710
0624360,0.9994
0624480,1.2049
0624500,1.2430
0624540,0.9478
0624570,1.1654
0624600,0.8272
0624720,1.2552
0624750,0.9962
0624870,1.1229
0624900,1.0938
0625130,0.8729
0625190,0.9622
