id,p_avg
0100005,-1.4253
0100006,-0.8941
0100007,-1.1879
0100008,-0.6184
0100011,-1.7685
0100012,-1.0406
0100013,-0.5374
0100030,-1.2037
0100060,-1.1868
0100090,-2.2229
0100100,0.2076
0100120,-1.2160
0100180,-1.4473
0100185,-0.2607
0100188,-1.7041
0100189,-0.7782
0100190,-1.4355
0100210,-0.9602
0100240,-0.9713
0100270,-1.0593
0100300,-2.7149
0100330,-2.0768
0100360,-1.6718
0100390,-2.0730
0100420,-1.4457
0100450,-0.9968
0100480,-2.4444
0100510,-1.5980
0100540,-1.0003
0100600,-1.9209
0100630,-1.3047
0100660,-1.3936
0100690,-1.8756
0100720,-1.9941
0100750,-1.4184
0100780,-0.8482
0100810,-1.1145
0100840,-1.3007
0100870,-1.2012
0100900,-1.6994
0100930,-0.8786
0100960,-1.4131
0100990,0.3885
0101020,-0.8653
0101050,-1.1569
0101080,-1.8462
0101110,-2.1012
0101140,-1.6876
0101170,-1.4913
0101200,-1.4366
0101230,-1.1966
0101260,-1.9187
0101290,-1.3651
0101320,-0.7781
0101350,-1.2060
0101380,-0.9119
0101410,-1.7937
0101440,-2.2521
0101470,-1.2276
0101530,-1.2303
0101560,-1.5872
0101590,-0.9378
0101620,-1.7885
0101640,-1.0262
0101660,-1.7484
0101680,-2.3774
0101690,-0.5182
0101710,-1.5151
0101720,-1.2883
0101730,-0.6450
0101740,-1.9733
0101760,-0.8224
0101770,-0.8113
0101800,-1.8292
0101830,-0.8103
0101860,-1.2007
0101890,-1.0496
0101920,-1.5419
0101950,-1.6964
0101980,-2.2783
0102010,-0.9413
0102040,-1.2293
0102070,-1.2473
0102100,-1.6190
0102130,-2.7185
0102160,-2.3219
0102190,-2.2114
0102220,-0.7119
0102250,-1.8926
0102310,-0.7158
0102350,-2.4216
0102370,-1.2722
0102400,-1.9580
0102430,-2.2596
0102480,-1.2537
0102520,-0.2909
0102550,-0.9028
0102580,-1.5978
0102610,-1.4972
0102635,-0.7181
0102640,-1.3668
0102650,-1.1559
0102670,-2.1240
0102700,-1.5745
0102730,-1.6576
0102760,-1.1758
0102790,-1.0171
0102820,-2.0608
0102850,-1.8669
0102880,-1.5472
0102910,-1.1623
0102940,-1.4423
0102970,-2.0945
0103000,-1.5790
0103030,-1.2188
0103062,-1.2569
0103090,-2.5541
0103120,-1.3089
0103150,-1.9077
0103180,-1.2728
0103210,-1.9259
0103240,-1.8984
0103270,-2.2952
0103300,-1.6091
0103330,-1.4393
0103360,-2.0390
0103390,-1.6291
0103420,-1.5901
0103430,-0.7609
0103450,-1.2229
0103480,-1.8880
0103510,-2.3784
0103540,-0.1788
0103580,-1.3391
0200001,-3.8830
0200003,-4.1440
0200004,-4.8994
0200005,-3.4207
0200020,-2.7210
0200050,-1.8986
0200090,-0.1650
0200100,-0.4476
0200120,-1.8505
0200150,-1.1348
0200180,-1.3109
0200210,-1.7207
