id,p_coh
0100005,0.0137
0100006,-0.0053
0100007,0.1063
0100008,0.2232
0100011,0.0921
0100012,-0.0354
0100013,0.1041
0100030,0.0127
0100060,0.0375
0100090,0.0952
0100100,0.0266
0100120,0.0539
0100180,0.0537
0100185,0.1809
0100210,0.1237
0100240,-0.0002
0100270,-0.0228
0100300,0.1189
0100330,-0.1931
0100360,0.0563
0100390,-0.0371
0100420,0.1408
0100450,0.1392
0100480,-0.0082
0100510,0.0336
0100540,0.0536
0100600,0.1391
0100630,0.0797
0100660,0.0687
0100690,-0.1242
0100720,0.0581
0100750,0.1987
0100780,0.0146
0100810,0.0633
0100840,-0.0388
0100870,0.0081
0100900,0.1336
0100930,-0.0717
0100960,0.1588
0100990,0.0374
0101020,0.0170
0101050,0.1639
0101080,0.0874
0101110,0.1022
0101140,0.0790
0101170,0.0646
0101200,0.1766
0101230,0.0159
0101260,0.1463
0101290,0.1084
0101320,0.0936
0101350,-0.0122
0101380,0.0440
0101410,0.1647
0101440,0.0158
0101470,0.0258
0101530,0.0191
0101560,0.0877
0101590,-0.0971
0101620,0.1086
0101640,0.1119
0101660,0.1649
0101680,0.0047
0101690,0.0045
0101710,0.1069
0101720,-0.0109
0101730,0.1291
0101740,0.1498
0101760,0.0946
0101770,0.1297
0101800,0.0955
0101830,0.0079
0101860,0.0775
0101890,0.0704
0101920,0.0568
0101950,0.0644
0101980,0.1657
0102010,0.0335
0102040,0.0073
0102070,0.1690
0102100,0.1143
0102130,0.0336
0102160,0.0750
0102190,0.0004
0102220,0.0796
0102250,0.1890
0102310,0.1045
0102350,-0.0257
0102370,-0.0741
0102400,0.0372
0102430,-0.0478
0102480,0.0881
0102520,0.0589
0102550,0.0977
0102580,0.1510
0102610,0.1727
0102635,0.1077
0102640,0.0082
0102650,0.1007
0102670,-0.1125
0102700,0.1030
0102730,0.0577
0102760,-0.1160
0102790,0.0914
0102820,0.1081
0102850,0.0702
0102880,0.1734
0102910,-0.0691
0102940,0.0332
0102970,-0.0500
0103000,0.1273
0103030,0.1102
0103062,0.0763
0103090,0.0978
0103120,0.0591
0103150,0.0618
0103180,-0.0179
0103210,0.0843
0103240,0.1283
0103270,0.0864
0103300,0.0742
0103330,0.0020
0103360,0.1232
0103390,0.1071
0103420,0.0338
0103430,0.2330
0103450,0.0510
0103480,0.0556
0103510,-0.0759
0103540,0.0018
0103580,0.0726
0200001,-0.0321
0200003,-0.1057
0200004,-0.0865
0200020,-0.0467
0200050,0.0120
0200100,0.1288
0200120,0.1123
0200150,0.1043
0200180,0.0734
0200210,0.0416
0200240,0.0477
0200390,0.0196
0200480,-0.0060
0200510,-0.0427
0200570,0.0196
0200600,-0.0129
0200610,-0.1059
0200625,-0.0775
0200710,-0.0546
0200862,0.0014
0400001,0.0900
0400003,0.0964
0400004,0.0112
0400021,0.1034
0400023,0.2484
0400026,0.0435
0400212,0.1658
0400295,0.0821
0400520,0.2388
0400600,-0.0325
0400680,0.0868
0400790,0.0938
0400840,0.0743
0400960,0.0845
0401050,0.0991
0401080,0.0004
0401180,0.0690
0401380,0.1045
0401460,0.1244
0401500,0.2084
0401600,0.0671
0401680,0.0672
0401710,0.0393
0401760,0.0140
0401870,0.1364
0401940,0.0976
0402320,0.0249
0402370,0.0497
0402400,0.1495
0402430,0.0207
0402530,0.1142
0402690,0.0639
0402790,0.0875
0402860,0.0577
0402920,0.1606
0403010,0.0954
0403040,-0.0072
0403060,0.0760
0403150,0.0768
0403200,0.3676
0403240,0.1257
0403290,0.0340
0403400,0.0776
0403420,0.0649
0403500,0.0115
0403780,0.2162
0403820,0.0489
0403870,0.0081
0403950,0.1663
0403960,-0.0182
0403990,0.1133
0404060,0.0999
0404230,0.0645
0404280,0.0051
0404290,0.1041
0404320,0.0835
0404380,0.2044
