id,p_grd
0100005,0.7901
0100006,0.8656
0100007,1.1512
0100008,1.1597
0100011,1.0534
0100012,0.9813
0100013,0.9045
0100030,0.8404
0100060,0.9394
0100090,0.7890
0100100,0.8847
0100120,0.8884
0100180,0.7645
0100185,0.9968
0100210,0.9226
0100240,0.9839
0100270,0.7624
0100300,0.8356
0100330,0.6676
0100360,0.9411
0100390,0.7888
0100420,0.8464
0100450,0.9697
0100480,0.7169
0100510,0.8691
0100540,0.7489
0100600,0.8905
0100630,0.9197
0100660,0.7519
0100690,0.5931
0100720,0.7559
0100750,0.9306
0100780,0.7533
0100810,0.8456
0100840,0.8319
0100870,0.8072
0100900,0.9503
0100930,0.7691
0100960,0.9572
0100990,1.0098
0101020,0.7822
0101050,1.0641
0101080,0.8579
0101110,0.7885
0101140,0.9010
0101170,0.8646
0101200,1.1230
0101230,0.8158
0101260,0.8426
0101290,0.8608
0101320,0.9211
0101350,0.7658
0101380,0.8198
0101410,0.9681
0101440,0.6704
0101470,0.8623
0101530,0.7519
0101560,1.0541
0101590,0.6292
0101620,0.8370
0101640,0.9472
0101660,0.9973
0101680,0.6692
0101690,0.9247
0101710,0.8236
0101720,0.7088
0101730,1.0334
0101740,0.9141
0101760,1.0356
0101770,0.9436
0101800,0.8589
0101830,0.8263
0101860,0.9954
0101890,0.8480
0101920,0.8448
0101950,0.7220
0101980,0.9500
0102010,0.9182
0102040,0.8044
0102070,0.9481
0102100,0.8732
0102130,0.8606
0102160,0.8775
0102190,0.6274
0102220,0.9266
0102250,0.8740
0102310,0.8545
0102350,0.9803
0102370,0.6485
0102400,0.8155
0102430,0.5812
0102480,0.8905
0102520,1.0896
0102550,0.8678
0102580,0.8719
0102610,0.9038
0102635,0.9659
0102640,0.8682
0102650,0.8659
0102670,0.4987
0102700,0.8898
0102730,0.8952
0102760,0.8993
0102790,0.8543
0102820,0.9147
0102850,0.8515
0102880,0.8165
0102910,0.7031
0102940,0.9826
0102970,0.5362
