id,pn_avg
0100005,-3.8810
0100006,-3.9846
0100007,-3.0187
0100008,-2.8972
0100011,-3.8522
0100012,-3.7992
0100013,-4.1715
0100030,-3.4500
0100060,-3.0949
0100090,-4.7128
0100100,-4.1339
0100120,-3.0906
0100180,-4.0064
0100185,-4.1975
0100189,-4.4732
0100190,-3.8267
0100210,-2.7557
0100240,-3.3129
0100270,-3.5849
0100330,-4.6383
0100360,-3.9975
0100390,-3.8821
0100420,-4.1881
0100450,-3.3034
0100510,-3.6612
0100540,-4.0451
0100600,-3.9540
0100630,-4.0172
0100660,-3.9917
0100690,-4.6113
0100720,-3.4129
0100750,-4.1526
0100780,-4.0814
0100810,-4.0165
0100840,-4.1979
0100900,-4.1162
0100930,-4.3949
0100960,-3.8745
0100990,-3.9325
0101020,-4.0990
0101050,-3.9701
0101080,-4.1618
0101110,-4.0673
0101140,-3.6663
0101170,-3.0216
0101200,-3.1719
0101230,-3.0904
0101290,-3.8200
0101320,-3.4685
0101350,-3.8276
0101380,-4.2304
0101410,-3.5724
0101440,-4.2766
0101470,-4.0498
0101530,-3.0893
0101560,-3.5300
0101590,-4.0302
0101620,-3.0784
0101640,-3.8020
0101660,-3.6792
0101690,-3.6457
0101710,-3.4818
0101720,-3.7947
0101730,-3.8297
0101740,-3.7009
0101760,-2.2835
0101770,-4.0725
0101800,-2.5163
0101830,-4.1698
0101860,-3.6326
0101890,-3.4528
0101920,-3.8479
0101950,-3.8903
0102010,-3.9924
0102040,-4.1348
0102070,-4.1077
0102100,-4.1121
0102220,-3.8350
0102250,-2.2368
0102310,-4.3884
0102350,-4.7894
0102370,-3.5691
0102400,-3.8950
0102430,-3.0998
0102480,-3.9852
0102520,-3.7265
0102550,-3.5089
0102580,-3.1247
0102610,-3.3909
0102635,-3.7680
0102640,-3.6267
0102650,-4.0957
0102700,-3.9493
0102730,-3.8773
0102760,-3.7642
0102790,-3.9429
0102820,-4.0486
0102850,-3.6950
0102880,-4.5693
0102910,-3.9924
0102940,-3.7273
0102970,-4.3519
0103030,-3.5393
0103062,-4.0752
0103120,-3.5933
0103150,-3.8423
0103180,-4.1106
0103210,-3.9132
0103240,-3.6325
0103270,-4.3875
0103300,-3.8242
0103330,-3.3070
0103360,-2.5798
0103390,-3.5638
0103420,-3.8890
0103430,-2.4705
0103450,-4.1662
0103480,-4.0428
0103540,-4.1167
0103580,-4.0254
0200001,-3.5755
0200003,-4.5342
0200090,-4.9173
0200100,-4.6783
0200150,-3.7701
0200180,-3.1592
0200210,-3.1518
0200240,-3.7576
0200390,-4.1815
0200480,-4.0881
0200510,-4.1640
0200570,-5.1171
0200600,-3.8752
0200610,-4.1595
0200625,-3.7270
0200862,-4.3472
0400001,-3.7597
0400003,-4.1910
0400004,-3.9249
0400021,-5.0154
0400026,-3.9817
0400212,-4.0843
0400295,-3.9180
0400600,-4.3682
0400680,-3.3180
0400790,-3.9192
0400960,-3.9909
0401050,-4.9105
0401180,-3.9694
0401380,-4.6662
0401460,-4.0489
0401500,-4.4583
0401600,-4.2375
0401680,-5.4537
0401710,-4.1855
0401760,-3.7143
0401870,-2.9664
0401940,-4.4901
0402250,-4.1540
0402320,-3.5339
0402370,-4.0421
0402400,-4.3037
0402430,-4.9513
0402530,-4.2948
0402690,-3.9608
0402860,-3.0970
0402920,-4.4576
0403010,-4.4684
0403040,-3.6370
0403060,-4.4376
0403150,-4.8047
0403240,-4.8265
0403290,-5.8392
0403400,-4.1355
0403420,-3.7698
0403500,-4.2977
0403780,-4.3980
0403820,-3.7490
0403870,-4.4297
0403950,-4.6836
0403990,-4.4279
0404060,-4.6130
0404230,-3.2070
0404280,-4.3456
0404290,-4.5779
0404320,-3.7267
0404380,-3.8446
0404440,-4.2590
0404500,-3.1079
0404570,-4.5287
0404630,-4.0484
0404720,-3.9440
0404970,-3.4645
0405030,-4.4195
0405190,-4.4946
0405320,-4.5277
0405460,-4.3620
0405530,-4.2221
0405640,-4.4331
0405670,-4.2268
0405820,-3.2214
0405850,-4.5647
0405880,-4.1417
0405930,-3.0672
0405980,-4.1603
0406070,-4.1437
0406210,-4.3181
0406250,-3.7286
0406300,-3.6811
0406440,-4.2325
0406580,-3.6425
0406730,-3.9480
0406740,-4.3783
0406810,-4.3042
0406850,-4.6675
0407080,-5.5122
0407130,-4.4933
0407170,-4.1275
0407200,-5.2596
0407240,-4.0643
0407300,-4.0401
0407520,-4.1614
0407570,-2.8656
0407700,-4.1535
0407750,-3.8625
0407820,-4.2593
0407890,-4.7448
0408080,-4.1354
0408170,-4.7430
0408280,-3.6756
0408310,-3.4233
0408410,-4.6368
0408490,-4.9724
0408550,-4.6982
0408600,-4.5205
0408800,-3.5506
0408820,-4.8701
0408850,-4.2013
0409060,-3.9915
0409190,-3.8470
0409250,-3.8648
0409310,-4.4050
0409430,-5.1698
0409600,-3.8682
0409733,-3.6283
0500001,-3.5312
0500006,-3.3779
0500009,-3.8167
0500012,-4.0281
0500015,-4.0447
0500016,-4.6160
0500017,-3.6871
0500019,-3.6458
0500023,-3.4123
0500026,-3.8191
0500028,-3.7963
0500029,-3.7663
0500042,-4.2315
0500043,-4.0455
0500044,-2.7837
0500045,-3.7678
0500046,-3.6072
0500047,-3.9171
0500049,-4.0477
0500067,-3.5743
0500068,-4.1380
0500070,-4.0825
0500082,-3.9705
0502250,-4.0177
0502280,-4.1945
0502430,-3.1836
0502580,-3.7525
0502610,-3.7978
0502700,-3.9315
0502790,-4.6179
0502820,-4.5755
0502880,-4.1558
0502960,-3.6189
0503030,-4.2673
0503060,-3.6046
0503090,-4.3209
0503150,-4.0521
0503240,-3.8516
0503450,-3.9275
0503640,-4.2346
0503690,-3.7624
0503710,-3.6477
0503750,-4.0479
0503960,-3.6350
0504020,-4.3720
0504050,-3.9728
0504110,-4.1956
0504170,-4.0944
0504200,-3.4112
0504380,-3.7928
0504410,-3.5931
0504590,-3.1847
0504680,-3.9476
0504800,-3.6342
0504890,-3.6939
0504930,-4.0361
0505340,-4.4760
0505430,-4.0793
0505470,-4.4579
0505500,-3.5874
0505580,-4.3042
0505680,-3.0188
0505760,-4.4105
0505850,-3.9951
0505970,-4.3988
0506060,-3.3031
0506090,-3.8544
0506120,-2.7925
0506150,-4.0781
0506210,-3.5466
0506330,-3.1996
0506360,-4.1878
0506420,-4.2961
0506540,-4.3227
0506630,-4.2003
0506690,-4.2597
0506840,-4.1147
0506870,-4.0904
0506900,-4.1029
0506930,-3.9862
0506990,-4.0484
0507110,-3.5319
0507170,-4.6338
0507290,-4.2128
0507320,-4.5122
0507350,-3.9381
0507380,-3.9162
0507560,-3.9514
0507770,-4.1276
0507840,-3.7862
0507860,-4.3392
0507890,-2.9979
0507920,-4.3127
0507990,-4.3259
0508130,-4.2734
0508240,-4.7397
0508280,-2.5861
0508340,-4.0239
0508400,-4.4947
0508610,-4.1874
0508670,-3.7666
0508700,-4.5270
0508730,-3.9545
0508940,-3.9327
0509000,-2.6845
0509060,-3.9042
0509190,-4.0051
0509240,-3.6558
0509330,-3.9689
0509390,-3.6094
0509480,-3.8513
0509540,-4.4319
0509600,-3.7316
0509630,-3.7909
0509720,-3.7689
0509750,-4.1674
0509840,-3.4930
0510080,-3.6115
0510200,-4.1480
0510320,-4.1220
0510380,-3.4889
0510440,-3.5083
0510680,-2.6122
0510980,-4.2384
0511010,-4.1867
0511070,-4.5406
0511130,-4.3477
0511220,-4.0046
0511340,-4.2113
0511370,-4.2143
0511610,-3.9779
0511700,-4.1177
0511730,-4.0925
0511760,-3.9497
0511820,-3.5762
0511850,-3.5329
0511880,-4.1497
0511970,-3.5598
0512000,-4.4930
0512060,-3.5351
0512090,-3.9425
0512210,-3.7029
0512450,-3.3157
0512480,-4.2752
0512510,-3.7288
0512520,-4.1381
0512540,-4.2410
0512570,-4.6704
0512630,-4.6187
0512660,-2.9543
0512960,-3.1808
0513080,-4.0268
0513110,-3.5175
0513230,-4.1244
0513350,-4.4506
0513380,-3.8344
0513410,-3.9340
0513530,-4.3587
0513680,-4.1312
0513930,-4.0996
0514010,-3.8371
0514140,-4.0861
0514430,-3.7821
0514490,-4.0942
0600001,-3.7717
0600006,-3.5168
0600011,-4.6320
0600013,-3.7457
0600014,-4.3062
0600015,-4.0630
0600016,-3.5958
0600017,-3.7881
0600019,-2.9432
0600020,-2.5071
0600026,-4.0577
0600027,-4.2606
0600028,-4.1267
0600029,-4.2567
0600032,-3.5152
0600033,-3.9283
0600034,-3.3990
0600035,-4.8094
0600036,-3.6473
0600039,-4.5748
0600040,-4.5205
0600043,-3.5740
0600044,-3.2052
0600045,-4.0731
0600046,-4.1995
0600047,-3.7286
0600048,-3.6587
0600049,-3.5645
0600051,-4.1291
0600052,-3.7599
0600060,-3.9584
0600061,-4.1540
0600062,-3.8589
0600063,-4.1420
0600064,-3.8153
0600065,-4.2876
0600068,-4.1939
0600069,-3.5534
0600116,-4.3780
0600153,-3.9526
0600158,-3.2452
0600159,-4.4139
0600160,-4.3164
0601331,-4.0407
0601332,-4.1819
0601409,-3.5068
0601410,-4.0811
0601415,-5.0645
0601420,-3.6962
0601423,-3.9236
0601428,-4.4444
0601620,-2.6155
0601680,-3.8558
0601710,-4.3844
0601770,-3.1243
0601860,-3.4056
0601950,-4.7653
0602100,-4.0203
0602160,-4.0277
0602310,-3.9910
0602430,-3.6171
0602450,-4.1679
0602610,-4.0754
0602760,-3.5830
0602850,-3.9929
0602970,-3.4216
0603000,-4.0208
0603060,-3.5361
0603270,-4.8024
0603300,-3.8634
0603420,-4.1194
0603480,-3.5578
0603600,-4.2169
0603630,-3.5905
0603690,-4.5236
0603840,-4.4997
0604020,-3.7008
0604080,-3.8222
0604110,-4.4885
0604230,-3.8509
0604260,-3.7136
0604290,-4.1096
0604380,-4.5480
0604440,-4.0330
0604530,-2.6548
0604620,-3.3357
0604650,-3.4044
0604740,-2.0880
0604800,-3.6761
0604830,-4.1534
0605240,-4.2776
0605280,-4.3600
0605580,-4.1512
0605610,-3.8918
0605670,-3.4744
0605790,-3.9528
0605880,-3.5239
0605910,-3.6394
0606030,-4.5842
0606060,-4.0349
0606090,-3.9508
0606270,-3.4966
0606330,-3.6397
0606360,-3.4668
0606390,-3.8170
0606450,-3.9657
0606480,-2.3916
0606570,-4.0409
0606750,-3.9730
0606780,-2.4097
0606810,-3.1535
0606870,-4.2969
0606900,-4.4014
0607020,-3.9534
0607140,-2.7112
0607170,-4.1403
0607200,-2.5810
0607440,-2.8246
0607470,-3.1857
0607500,-2.7777
0607530,-3.0804
0607560,-3.6028
0607680,-4.7966
0607740,-3.3995
0607800,-3.5688
0607900,-4.4367
0607950,-4.2445
0607970,-3.7523
0607980,-4.1774
0608070,-3.6896
0608130,-4.2430
0608190,-4.2155
0608250,-4.1985
0608370,-3.5418
0608460,-3.3671
0608520,-3.9447
0608610,-4.0084
0608760,-3.7120
0608970,-3.7397
0609030,-3.5832
0609070,-4.4262
0609120,-3.9152
0609300,-4.5773
0609390,-4.1626
0609450,-4.3274
0609480,-4.0899
0609570,-3.6335
0609620,-5.4355
0609640,-2.6699
0609690,-4.1047
0609780,-4.0344
