id,pn_coh
0100005,-0.1138
0100006,-0.0218
0100007,-0.0411
0100008,-0.0948
0100011,-0.0159
0100012,-0.0224
0100013,-0.0758
0100030,-0.0973
0100060,-0.0697
0100090,0.0038
0100100,0.0027
0100120,-0.0552
0100180,0.0377
0100185,-0.0455
0100210,-0.0692
0100240,-0.0568
0100270,-0.0509
0100330,-0.0673
0100360,-0.0714
0100390,-0.0605
0100420,-0.0321
0100450,-0.0511
0100510,-0.0874
0100540,-0.0095
0100600,-0.0845
0100630,0.0401
0100660,-0.0350
0100690,-0.0094
0100720,-0.0955
0100750,-0.0698
0100780,-0.0303
0100810,-0.0826
0100840,0.0243
0100900,-0.0636
0100930,-0.0134
0100960,0.0094
0100990,-0.0886
0101020,0.0120
0101050,-0.0111
0101110,-0.0784
0101140,-0.0235
0101170,-0.1430
0101200,0.0125
0101230,0.0563
0101290,-0.0640
0101320,-0.0133
0101350,0.0108
0101380,-0.0507
0101410,0.0427
0101440,-0.0968
0101470,-0.0820
0101530,-0.0023
0101560,-0.0447
0101590,-0.0318
0101620,-0.0224
0101640,-0.0527
0101660,-0.0867
0101690,-0.0975
0101710,0.0123
0101720,-0.0496
0101730,-0.0865
0101740,-0.1090
0101760,-0.0411
0101770,-0.0034
0101800,-0.1056
0101830,-0.0635
0101860,-0.0254
0101890,-0.1141
0101920,-0.0354
0101950,-0.0225
0102010,-0.0527
0102040,-0.0324
0102070,0.0056
0102100,-0.0594
0102220,-0.0172
0102250,-0.1066
0102310,-0.0585
0102370,-0.0475
0102400,-0.0630
0102430,-0.0543
0102480,-0.0505
0102520,-0.0135
0102550,-0.1196
0102580,-0.0330
0102610,0.0376
0102635,-0.0476
0102640,-0.0241
0102650,-0.0272
0102700,-0.0393
0102730,-0.0308
0102760,0.0046
0102790,-0.0092
0102820,-0.1033
0102850,-0.0816
0102880,-0.0618
0102910,-0.0965
0102940,-0.0552
0102970,-0.0986
0103030,-0.0583
0103062,-0.0162
0103120,-0.0062
0103150,-0.0288
0103180,-0.0617
0103210,-0.0562
0103240,-0.0478
0103300,-0.0224
0103330,-0.0126
0103360,-0.0921
0103390,-0.0111
0103420,-0.0564
0103430,-0.1402
0103450,-0.0449
0103480,-0.1217
0103540,-0.0194
0103580,-0.0273
0200001,0.0988
0200003,0.0814
0200100,-0.0545
0200150,-0.0414
0200180,-0.0336
0200210,0.0339
0200240,0.0722
0200390,0.0081
0200480,-0.0522
0200510,0.0315
0200600,0.0512
0200610,0.0004
0200625,-0.0698
0400001,0.0204
0400003,0.0010
0400021,0.0370
0400212,-0.0113
0400295,0.0869
0400600,-0.0332
0400680,-0.0535
0400790,-0.0156
0400960,0.0562
0401050,-0.0595
0401380,0.0087
0401460,0.0222
0401500,-0.0023
0401600,0.0048
0401680,0.0209
0401710,-0.0782
0401760,0.0520
0401870,-0.0120
0402320,0.1145
0402370,0.0591
0402400,0.0022
0402430,0.1375
0402530,0.0023
0402690,0.0280
0402860,0.0567
0402920,-0.0029
0403010,0.0139
0403040,0.0357
0403060,-0.0515
0403150,0.0242
0403240,-0.0052
0403400,-0.0586
0403420,0.0436
0403500,-0.0155
0403780,-0.0271
0403820,-0.0415
0403870,0.0412
0403990,0.0314
0404230,0.0001
0404280,-0.0183
0404290,-0.0244
0404320,-0.0112
0404380,-0.0540
0404440,0.1388
0404500,-0.0190
0404630,0.0222
0404720,-0.0091
0404970,0.0555
0405030,-0.0706
