id,pn_grd
0100005,-0.0904
0100006,-0.0916
0100007,0.0262
0100008,0.0051
0100011,-0.0289
0100012,0.0471
0100013,-0.0399
0100030,0.0670
0100060,0.0115
0100100,0.0371
0100120,0.0771
0100180,0.0400
0100185,-0.0068
0100210,0.0500
0100240,0.1019
0100270,0.0078
0100330,-0.0787
0100360,-0.0137
0100390,0.0080
0100420,-0.0041
0100450,0.0252
0100510,-0.0164
0100540,0.0214
0100600,-0.0943
0100630,0.1126
0100660,-0.0200
0100690,-0.0345
0100720,0.0201
0100750,-0.0342
0100780,0.0659
0100810,-0.0404
0100840,0.0184
0100900,-0.0295
0100930,0.0374
0100960,0.0061
0100990,-0.0390
0101020,0.0168
0101050,0.0753
0101080,-0.0270
0101110,0.0506
0101140,-0.0354
0101170,0.0294
0101200,-0.0049
0101230,0.0866
0101290,0.0408
0101320,0.0505
0101350,0.0895
0101380,-0.0494
0101410,0.0965
0101470,-0.0650
0101530,0.1439
0101560,0.0149
0101590,0.0168
0101620,0.0268
0101640,0.0333
0101660,-0.0150
0101690,0.0220
0101710,-0.0531
0101720,-0.0228
0101730,0.0340
0101740,-0.0522
0101760,0.0478
0101770,0.0152
0101800,0.1116
0101830,-0.0168
0101860,0.0655
0101890,-0.0739
0101920,-0.0060
0101950,0.0795
0102010,-0.0311
0102040,-0.0369
0102070,0.0662
0102100,-0.0428
0102220,0.0272
0102250,0.0470
0102310,0.0089
0102370,-0.0082
0102400,0.0133
0102430,0.0490
0102480,-0.0018
0102520,-0.0053
0102550,-0.0702
0102580,0.0823
0102610,0.0313
0102635,0.0328
0102640,0.0226
0102650,0.0041
0102700,0.0199
0102730,-0.0512
0102760,-0.0021
0102790,-0.0249
0102820,-0.0871
0102850,-0.0680
0102880,0.0497
0102910,-0.0937
0102940,-0.0090
0102970,-0.0505
0103030,0.0186
0103062,0.0189
0103120,0.0383
0103150,-0.0418
0103180,-0.0370
0103210,-0.0112
0103240,0.0081
0103300,0.0228
0103330,-0.0342
0103360,-0.0346
0103390,0.0237
0103420,-0.0717
0103430,-0.0414
0103450,-0.0281
0103480,-0.0970
0103540,-0.0012
0103580,0.0131
0200001,0.1161
0200003,0.1490
0200100,0.0190
0200150,-0.0173
0200180,0.0094
0200210,0.0425
0200240,0.0386
0200390,-0.0030
0200480,-0.0753
0200510,0.0399
0200600,0.0453
0200610,0.0177
0200625,-0.0769
0200862,0.0809
