id,w_avg
0100005,-0.2938
0100006,-0.4192
0100007,1.4765
0100008,1.9769
0100011,-0.4813
0100012,-0.0302
0100013,0.8212
0100030,0.4546
0100060,0.4917
0100100,1.0860
0100120,0.8290
0100180,-0.8220
0100185,0.5874
0100189,-0.0771
0100190,0.1589
0100194,0.2486
0100210,1.7733
0100240,0.6505
0100270,0.3811
0100360,-0.8114
0100390,-0.6092
0100420,-0.7332
0100450,1.1254
0100510,-0.2054
0100540,-0.2201
0100600,-0.8196
0100630,-0.7564
0100660,-0.6084
0100690,-1.1732
0100720,-0.2382
0100750,-0.7356
0100780,-0.1798
0100810,-0.3513
0100840,-0.7915
0100870,-0.5233
0100900,-0.9358
0100930,-0.3513
0100960,-0.4787
0100990,1.5955
0101020,-0.3061
0101050,-0.1408
0101080,-0.9351
0101110,-0.9171
0101140,-0.9693
0101170,0.7554
0101200,0.4057
0101230,1.1275
0101260,-0.6505
0101290,-0.0712
0101320,0.9249
0101350,-0.1666
0101380,-0.2705
0101410,-0.2043
0101470,-0.3969
0101530,0.6415
0101560,-0.0792
0101590,-0.4296
0101620,-0.1310
0101640,-0.1383
0101660,-0.8395
0101690,0.8108
0101710,0.1293
0101720,-0.5333
0101730,0.7061
0101740,-0.6542
0101760,2.7232
0101770,-0.0136
0101800,1.2651
0101830,-0.4042
0101860,0.2941
0101890,0.5825
0101920,-0.0892
0101950,-0.8531
0102010,-0.0440
0102040,-0.5740
0102070,-0.4061
0102100,-0.7139
0102220,0.5757
0102250,0.8100
0102310,-0.2620
0102370,0.1642
0102400,-0.9153
0102430,0.7745
0102480,-0.4404
0102490,2.7456
0102520,1.2713
0102550,0.5641
0102580,0.8165
0102610,-0.2180
0102635,0.6095
0102640,0.1558
0102650,-0.3824
0102700,-0.0490
0102730,-0.2901
0102760,-0.3671
0102790,0.0799
0102820,-1.3271
0102850,-0.4229
0102880,-1.0751
0102910,-0.1143
0102940,-0.3791
0103000,-0.6505
0103030,0.5424
0103062,-0.3762
0103120,0.2302
0103150,-0.8713
0103180,-0.4815
0103210,-0.9625
0103240,-0.4506
0103300,-0.2082
0103330,0.8246
0103360,1.7334
0103390,-0.2078
0103420,-0.4750
0103430,2.2153
0103450,-0.6897
0103480,-0.7445
0103540,0.5997
0103580,-0.8275
0200070,1.1872
0200090,0.6435
0200100,-0.0048
0200150,0.5135
0200180,1.0283
0200210,0.8348
0200240,0.9709
0200270,1.1082
0200390,0.6994
0200480,0.8253
0200510,0.3718
0200600,0.5267
0200660,1.1103
0200770,0.5427
0200780,1.0891
0200862,-0.5158
0400001,1.4536
0400003,-0.1160
0400004,0.9040
0400021,0.3944
0400026,0.1893
0400212,0.3171
0400295,-0.5672
0400600,-0.2743
0400680,1.1192
0400790,-0.4558
0400960,-0.0968
0401000,-0.7931
0401050,-0.5989
0401080,-0.7913
0401180,-0.1683
0401380,-0.4103
0401460,0.2429
0401500,-0.3362
0401600,-0.4782
