id,w_coh
0100005,-0.0026
0100006,-0.0604
0100007,0.0472
0100008,0.1126
0100011,0.0456
0100012,-0.0450
0100013,0.0545
0100030,-0.0839
0100060,-0.1376
0100100,-0.0245
0100120,-0.0738
0100180,0.0268
0100185,0.1126
0100210,0.0666
0100240,-0.0936
0100270,-0.0535
0100360,-0.0134
0100420,0.1070
0100450,0.0031
0100510,-0.0920
0100540,0.0191
0100600,0.0484
0100630,0.0627
0100660,0.0178
0100690,-0.1890
0100720,-0.0001
0100750,0.1078
0100780,0.0122
0100810,-0.0067
0100840,-0.0775
0100900,0.0301
0100930,-0.0781
0100960,0.1121
0100990,-0.0615
0101020,0.0059
0101050,0.1304
0101080,0.0194
0101110,0.0891
0101140,0.0440
0101170,-0.0518
0101200,0.1028
0101230,0.0283
0101260,0.1067
0101290,0.0380
0101320,0.0192
0101350,-0.0009
0101380,-0.0060
0101410,0.1435
0101470,-0.0283
0101530,0.0949
0101560,0.0542
0101590,-0.1440
0101620,0.0530
0101640,0.0729
0101660,0.0890
0101690,-0.1120
0101710,0.1085
0101720,0.0036
0101730,0.0283
0101740,0.0454
0101760,0.0248
0101770,0.0900
0101800,-0.0232
0101830,-0.0516
0101860,0.0633
0101890,-0.0818
0101920,-0.0074
0101950,-0.0107
0102010,0.0072
0102040,-0.0249
0102070,0.1205
0102100,0.0651
0102220,0.0148
0102250,0.0077
0102310,0.0380
0102370,-0.0808
0102400,0.0016
0102430,-0.0123
0102480,0.0067
0102490,-0.1031
0102520,0.0572
0102550,-0.0165
0102580,0.1182
0102610,0.1609
0102635,0.0884
0102640,-0.0146
0102650,0.0446
0102700,0.0888
0102730,0.0256
0102760,-0.0528
0102790,0.0571
0102820,0.0461
0102850,0.0418
0102880,0.1312
0102910,-0.1120
0102940,-0.0051
0103000,0.0820
0103030,0.0630
0103062,0.0367
0103120,0.0395
0103150,-0.0514
0103180,-0.0465
0103210,-0.0202
0103240,0.0494
0103300,-0.0207
0103330,-0.0652
0103360,0.0722
0103390,0.0950
0103420,0.0047
0103430,0.0699
0103450,0.0093
0103480,-0.0817
0103540,-0.0273
0103580,0.0316
0200100,0.0738
0200150,-0.0028
0200180,0.0512
0200210,0.0663
0200240,0.0938
0200390,0.0322
0200480,-0.0651
0200510,-0.0180
0200600,0.0225
0200660,0.0058
0200770,0.1389
0200780,0.0099
0200862,0.0093
0400001,0.1128
0400003,0.0334
0400004,-0.0887
0400021,0.1081
0400026,0.1031
0400212,0.1626
0400295,0.0937
0400600,-0.0543
