id,w_grd
0100005,0.8073
0100006,0.7946
0100007,1.1585
0100008,1.1511
0100011,1.0074
0100012,1.0130
0100013,0.8703
0100030,0.8850
0100060,0.8868
0100100,0.8450
0100120,0.9050
0100180,0.7291
0100185,0.9298
0100189,0.8248
0100210,0.9672
0100240,1.0232
0100270,0.7980
0100360,0.9328
0100420,0.8343
0100450,0.9120
0100510,0.7489
0100540,0.7281
0100600,0.8037
0100630,0.9507
0100660,0.7266
0100690,0.5105
0100720,0.8512
0100750,0.9105
0100780,0.7854
0100810,0.8031
0100840,0.7901
0100900,0.9575
0100930,0.8063
0100960,0.8904
0100990,0.9858
0101020,0.7983
0101050,1.1160
0101080,0.8504
0101110,0.9655
0101140,0.8455
0101170,0.8831
0101200,1.0097
0101230,0.8951
0101260,0.9438
0101290,0.8584
0101320,0.9412
0101350,0.8278
0101380,0.7848
0101410,0.9976
0101470,0.8089
0101530,1.0237
0101560,1.0184
0101590,0.5942
0101620,0.8260
0101640,0.9674
0101660,0.9754
0101690,0.9235
0101710,0.7833
0101720,0.7767
0101730,1.0604
0101740,0.8899
0101760,1.0612
0101770,0.9310
0101800,0.9626
0101830,0.7788
0101860,1.0319
0101890,0.7138
0101920,0.8259
0101950,0.7125
0102010,0.9166
0102040,0.7766
0102070,0.9411
0102100,0.8341
0102220,0.9237
0102250,0.9340
0102310,0.8083
0102370,0.7263
0102400,0.8607
0102430,0.8751
0102480,0.8337
0102490,1.0145
0102520,1.1079
0102550,0.8481
0102580,0.9953
0102610,0.8987
0102635,1.0162
0102640,0.9065
0102650,0.8393
0102700,0.9021
0102730,0.8527
0102760,0.8956
0102790,0.8299
0102820,0.8578
0102850,0.9307
0102880,0.8161
0102910,0.7009
0102940,0.9722
0103000,0.8634
0103030,0.9779
0103062,0.9645
0103120,0.9395
0103150,0.6866
0103180,0.7888
0103210,0.9034
0103240,0.8845
0103300,0.7922
0103330,0.8081
0103360,0.9633
0103390,0.8832
0103420,0.7503
0103430,0.9883
0103450,0.9239
0103480,0.6640
0103540,0.7671
0103580,0.7748
0200090,1.0252
0200100,1.0460
0200150,1.0044
0200180,1.0341
0200210,1.2298
0200240,0.9980
0200390,1.0458
0200480,1.0039
0200510,1.0270
0200600,0.9910
0200660,1.0574
0200770,1.2019
0200780,1.0456
0200862,1.1156
0400001,1.0317
0400003,1.0284
0400004,1.0103
0400021,1.1420
0400026,1.1445
0400212,1.1396
0400295,0.8833
0400600,0.8649
0400680,1.0205
0400790,0.9632
0400960,1.0914
0401050,0.9715
0401080,0.9337
0401180,1.1373
0401380,1.0555
0401460,1.0347
0401500,1.1025
0401600,1.0386
0401680,1.0226
0401710,1.0738
0401760,1.0328
0401870,1.1096
0402250,1.0142
0402320,0.9461
0402370,1.1194
0402400,1.1982
0402430,0.9970
0402600,0.9438
0402690,1.0016
0402860,1.0801
0402920,1.1497
0403010,1.0584
0403040,1.0249
0403060,0.8112
0403150,1.1679
0403400,1.0532
0403420,1.0270
0403500,0.9927
0403780,1.1353
0403820,0.8058
0403870,0.8536
0403990,1.0265
0404010,1.1778
0404230,1.0776
0404280,0.9816
0404290,1.0997
0404320,1.0488
0404380,1.1764
0404440,1.2207
0404500,1.0809
0404630,0.9956
0404720,0.9270
0404770,1.2162
0404820,0.8679
0404970,1.0632
0405030,1.0933
0405190,1.0890
0405320,0.7688
0405460,0.8828
0405640,1.2109
0405670,1.1480
0405820,1.0080
0405880,1.0520
0405930,1.0541
0405980,1.0424
0406070,0.9015
0406210,1.1216
0406250,1.1018
0406300,1.3510
0406440,1.0742
0406580,1.1487
0406730,1.0963
0406810,1.0309
0407080,1.1629
0407130,1.1961
0407170,1.3347
0407240,1.1289
0407300,0.9768
0407570,0.9906
0407700,0.9052
0407750,1.0787
0407820,1.1686
0408020,1.1001
0408080,1.2453
0408170,0.8538
0408280,0.9179
0408310,1.0578
0408410,1.0207
0408550,0.9227
0408600,0.9644
0408800,1.0993
0408820,0.9459
0408850,1.0966
0409060,1.0990
0409190,0.9277
0409250,1.1304
0409310,1.0262
0409460,0.9817
0409600,1.0154
0409733,1.1297
0500001,0.7224
0500006,0.9329
0500009,0.7711
0500012,0.7466
0500015,0.8509
0500016,0.7850
0500017,0.8556
0500019,0.9422
0500020,0.7788
0500021,0.9006
0500023,0.9122
0500028,0.7809
0500029,0.8677
0500032,0.9382
0500041,0.7637
0500042,0.6462
0500043,0.9020
0500044,0.9447
0500045,0.9205
0500046,0.9974
0500047,0.7643
0500048,0.8533
0500049,0.9186
0500051,0.9378
0500067,0.8595
0500068,0.9365
0500070,0.7239
0500071,0.8865
0500072,0.7507
0500073,0.7233
0500076,0.9410
0500079,0.6705
0500082,0.8461
0500405,0.5943
0502250,0.9607
0502280,0.7892
0502430,0.9554
0502550,0.9313
0502580,0.7379
0502610,0.9456
0502700,0.8981
0502730,0.6230
0502790,0.7991
0502820,0.7748
0502880,0.8343
0502960,0.9526
0503030,0.9616
0503060,1.0143
0503090,0.9215
0503150,0.9125
0503240,1.0149
0503300,0.9219
0503320,0.8005
0503420,0.8962
0503450,0.9208
0503480,0.6901
0503640,0.8478
0503690,0.9100
0503710,0.8595
0503750,0.8560
0503770,0.7082
0503840,0.8341
0503960,0.8187
0504020,0.8380
0504050,0.8046
0504080,0.9808
0504110,1.0542
0504170,0.8338
0504200,0.7481
0504370,0.7763
0504380,0.8232
0504410,0.8370
0504560,0.9439
0504590,0.9115
0504680,0.8885
0504740,0.7639
0504800,0.8160
0504860,0.5947
0504890,0.6645
0504930,0.8661
0504980,0.8503
0505190,1.0648
0505340,0.9661
0505430,0.7251
0505470,0.7461
0505500,0.7962
0505580,0.9164
0505680,0.9224
0505760,0.9856
0505850,0.6827
0505970,0.8957
0506060,0.8237
0506090,0.8015
0506120,1.0725
0506150,0.8946
0506210,0.8051
0506240,0.8930
0506270,0.8631
0506330,1.0205
0506360,0.8602
0506420,0.8359
0506540,1.1195
0506630,0.7395
0506690,0.8787
0506840,1.1696
0506870,0.8611
0506900,1.0774
0506930,0.7524
0506990,1.0143
0507110,0.8185
0507140,0.7381
0507170,0.8163
0507230,0.7398
0507290,0.8769
0507320,0.9387
0507350,0.7022
0507380,0.7827
0507530,0.9421
0507560,0.9057
0507620,0.5914
0507740,0.8969
