id,wa_coh
0100007,-0.0660
0100008,-0.1369
0100210,-0.0815
0100270,-0.0140
0101800,-0.0474
0102220,0.0402
0102370,-0.1220
0102430,-0.0596
0103030,-0.0304
0103430,-0.1533
0200180,0.0378
0200210,0.0286
0200480,-0.0306
0200510,-0.0586
0200600,0.0445
0400600,-0.2815
0400680,-0.0976
0401760,-0.0711
0401870,-0.0819
0402690,-0.0063
0403400,-0.0395
0403420,-0.1136
0403780,0.0424
0404230,-0.0129
0404290,-0.0069
0404380,-0.0223
0404630,0.0277
0404720,0.0014
0404970,0.0047
0405930,-0.0592
0406210,-0.1003
0406250,-0.1222
0406300,-0.3691
0407570,-0.0051
0407750,0.0024
0408310,0.0829
0408800,-0.0403
0408850,0.0420
0409060,-0.0825
0503060,-0.1277
0506120,-0.0143
0506330,-0.0463
0509000,-0.0160
0511850,-0.1918
0511970,0.0540
0512660,-0.0591
0600013,-0.0577
0600014,0.0671
0600016,0.0137
0600017,0.0174
0600019,-0.1423
0600020,0.0047
0600025,-0.0134
0600027,-0.0723
0600028,0.0162
0600029,-0.0074
0600032,0.0588
0600036,-0.0308
0600047,0.0046
0600052,0.0291
0600153,-0.0752
0600158,-0.0411
0601332,0.0530
0601620,-0.0011
0601770,-0.0661
0601860,0.0713
0602160,-0.0145
0602430,0.0267
0602610,-0.0196
0602850,-0.0332
0602970,0.0431
0603420,-0.0014
0603630,0.0061
0604290,0.0531
0604440,0.0254
0604530,-0.0313
0604740,-0.1585
0604800,0.0832
0604830,-0.0356
0605580,-0.0645
0605610,-0.0440
0605880,-0.0386
0605910,-0.0342
0606270,0.0805
0606390,0.0220
0606450,0.0343
0606480,-0.0018
0606810,-0.0299
0607140,-0.0465
0607200,0.0529
0607440,0.0261
0607500,0.0327
0607800,0.0389
0607900,-0.0108
0607950,-0.0628
0607970,-0.0744
0608070,-0.0951
0608130,-0.0736
0608190,-0.0111
0608370,-0.1248
0608460,0.0036
0608610,-0.0738
0608760,0.0219
0609030,-0.0629
0609390,0.0019
0609640,0.0339
0609850,-0.0061
0610050,0.0558
0610260,-0.0521
0610290,0.0603
0610440,-0.0307
0610620,-0.0045
0610740,0.0182
0611110,-0.0518
0611460,-0.0116
0611490,-0.0144
0611850,-0.0829
0612090,0.1142
0612330,-0.0564
0612750,-0.0074
0612810,0.0001
0612880,-0.0535
0612960,-0.0227
0613080,-0.0394
0613140,-0.1205
0613360,-0.0411
0613890,-0.0532
0613920,-0.1322
0614220,-0.0184
0614370,-0.0227
0614400,0.0066
0614550,-0.0675
0614730,-0.0053
0614880,-0.0701
0615180,-0.0096
0615240,-0.0455
0615270,-0.0286
0615510,0.0720
0616050,-0.0960
0616325,0.0780
0616740,-0.1090
0616920,-0.0060
0617190,0.0131
0618030,-0.0427
0618840,-0.0072
0620130,-0.0003
0620250,-0.0205
0620310,0.0600
0620880,-0.1637
0621000,-0.0239
0621210,-0.0881
0621690,0.0047
0622110,0.0072
0622230,-0.0455
0622410,-0.0288
0622500,0.0445
0622590,-0.0035
0622650,-0.0147
0622710,0.0286
0622830,-0.0132
0623430,-0.1156
0623610,-0.0349
0624090,-0.0471
0624500,-0.0590
0624540,-0.0951
0624600,-0.1324
0625130,-0.0764
0625470,0.0055
0625690,0.0375
0625740,0.0089
0625770,-0.0116
0625800,0.0057
0625830,-0.0214
0626370,0.0121
0626640,-0.1025
0626910,-0.0815
0627060,0.0363
0627180,-0.0549
0627240,-0.0011
0627690,0.0221
0627720,0.0687
0627810,0.0354
0627850,0.1080
0628050,-0.0396
0628140,-0.0379
0628250,0.0198
0628470,-0.0900
0628650,-0.0116
0628860,0.0513
0629100,-0.0672
0629220,-0.0008
0629490,-0.0272
0629550,-0.0533
0629580,-0.0547
0629610,-0.0232
0629700,-0.0201
0629940,-0.0702
0630330,0.0311
0630660,-0.0289
0630990,0.0208
0631320,0.0096
0631530,-0.0325
0632070,-0.0639
0632130,-0.0240
0632310,-0.0563
0632370,0.0273
0632550,0.0421
0632640,0.0685
0633150,-0.0449
0633240,-0.0816
0633480,0.0147
0633600,-0.0346
0633840,0.0724
0633860,0.0447
0633930,-0.0291
0634170,-0.0016
0634290,0.0536
0634320,-0.0273
0634410,0.0007
0634425,-0.0080
0634590,0.0198
0634620,0.0696
0634710,-0.0901
0634800,0.0280
0634860,0.0947
0634880,0.0073
0634920,-0.0561
0635090,0.0081
0635130,0.0235
0635250,0.0211
0635310,0.0146
0635430,-0.0575
0635700,0.0347
0635810,-0.0546
0635830,-0.0203
0635910,0.0026
0635970,-0.0781
0636840,0.0039
0636990,0.0328
0637380,0.0668
0637500,-0.0666
0637530,-0.0705
0637950,-0.0638
0638010,-0.1410
0638220,0.0282
0638460,-0.0365
0638670,-0.0623
0638980,-0.0475
0639180,-0.0149
0639420,-0.0604
0640150,-0.0249
0640320,-0.0967
0640590,0.0429
0640740,-0.0288
0640980,0.0641
0641040,-0.0849
0641160,-0.0793
0641190,-0.0059
0641250,0.0075
0641280,0.0272
0641580,0.0463
0641880,-0.1732
0642000,-0.0498
0642120,0.0199
0642140,0.0254
0642150,0.0149
0642510,-0.0470
0643080,-0.0274
0643470,-0.0546
0684500,0.0130
0691135,-0.0128
0900120,-0.0738
0900450,-0.0355
0900750,0.0071
0901020,-0.0695
0901260,-0.0178
0901320,-0.0234
0901530,0.0002
0901560,-0.1250
0901620,-0.0776
0901710,-0.1452
0901770,-0.0159
0901860,0.0069
0901920,-0.2022
0902310,-0.0007
0902520,-0.0053
0902790,-0.0534
0902880,-0.0260
0903090,-0.0270
0903120,-0.0071
0903210,-0.2318
0903840,-0.0215
0904050,-0.0438
0904110,-0.0875
0904170,-0.0554
0904320,-0.0001
0904620,-0.0661
0904740,0.0230
0904830,-0.0900
0904920,-0.0107
0905040,-0.0696
0905130,-0.1048
1000080,-0.0289
1000180,-0.0427
1000200,-0.0907
1000230,-0.0375
1001240,0.0685
1001300,-0.0999
1100030,0.0152
1200090,-0.0699
1200180,-0.0501
1200270,-0.1459
1200300,-0.0710
1200330,-0.0306
1200390,0.0062
1200480,-0.0671
1200510,-0.0034
1200540,-0.0836
1200810,0.0041
1200870,-0.0788
1200930,-0.2229
1201050,-0.0435
1201080,-0.0727
1201110,-0.1248
1201230,-0.0597
1201260,-0.0926
1201290,-0.0030
1201440,-0.0639
1201470,-0.0340
1201500,-0.0684
1201530,-0.0536
1201560,-0.0533
1201590,-0.0649
1201650,-0.0668
1201680,-0.1022
1201710,-0.0777
1201740,-0.1239
1201770,-0.0873
1201920,-0.0442
1300120,-0.1217
1300290,-0.0061
1300420,-0.0339
1301020,-0.0391
1301110,-0.0171
1301230,-0.1242
1301290,-0.0811
1301410,0.0140
1301500,-0.0457
1301740,0.0089
1301860,0.0322
1302130,-0.0805
1302220,-0.1304
1302280,-0.0468
1302550,-0.0408
1302610,-0.0395
1302820,-0.0531
1302880,-0.0072
1303870,-0.0948
1303960,-0.0920
1304020,-0.0490
1304380,0.0709
1304410,0.0670
1305390,0.0517
1500030,0.0269
1600360,-0.0407
1602100,0.0189
1703900,-0.0155
1704140,-0.0979
1704710,0.0052
1704800,-0.0239
1705050,-0.1156
1707830,-0.0979
1708550,-0.1316
1709420,-0.1463
1709930,0.0251
1710380,-0.0200
1710470,-0.0559
1711350,-0.0571
1712120,-0.0337
1712540,-0.0178
1712700,-0.0790
1713140,-0.0581
1713710,-0.1316
1713770,-0.0425
1713970,-0.0891
1714460,-0.1006
1714820,-0.0198
1715930,-0.0421
1716800,-0.0945
1716920,-0.1061
1717040,-0.1364
1717520,-0.0454
1718570,-0.0121
1719290,-0.0519
1719830,-0.0999
1721030,-0.1311
1721270,-0.0583
1721900,-0.0507
1723090,-0.1323
1723100,-0.0843
1723460,-0.0784
1724000,-0.0145
1724420,-0.1031
1724780,-0.0924
1726820,0.0820
1726850,-0.0943
1727710,0.0073
1728620,-0.0120
1729250,-0.1384
1730220,-0.0107
1730270,-0.1489
1730420,-0.1270
1731230,-0.0657
1731740,-0.1429
1732970,-0.0822
1733870,-0.1484
1734510,-0.0692
1734740,-0.1239
1736450,-0.1304
1736480,-0.0258
1737080,-0.0890
1737170,-0.1517
1740070,-0.0784
1740350,-0.0200
1740500,-0.0621
1741690,-0.0412
1741700,-0.0386
1742180,-0.0292
1742210,-0.1272
1742600,-0.0814
1743110,-0.0682
1800030,-0.0931
1800270,-0.0305
1800360,-0.0125
1801200,-0.0771
1801890,-0.1512
1802850,-0.2172
1803630,-0.0810
1805450,0.0091
1808760,0.0118
1808820,-0.2435
1810650,-0.0438
1812870,0.0263
1903540,-0.0764
1906540,0.1413
1908580,-0.0425
1908970,0.0851
1914700,-0.0593
1915450,0.0294
1917220,-0.1135
1923110,-0.0189
1926400,-0.0549
1930510,-0.1480
1930930,0.0375
2005460,-0.0312
2006390,-0.2536
2007950,0.0499
2008400,-0.0976
2009140,-0.1022
2009180,0.0632
2010140,-0.0803
2011640,0.0333
2012000,-0.1007
2012990,-0.0798
2100510,-0.0805
2101860,0.0602
2102490,0.0504
2102990,-0.0286
2105730,-0.0434
2200270,-0.0376
2200300,-0.1301
2200330,-0.0412
2200540,-0.1144
2200720,-0.0170
2200840,-0.1274
2200870,-0.0956
2201170,-0.0387
2201290,-0.1052
2201650,-0.0359
2309930,-0.0675
2400060,-0.0169
2400090,0.0354
2400120,0.0077
2400150,0.0231
2400210,-0.0419
2400270,-0.0096
2400330,-0.0949
2400390,-0.0878
2400420,-0.0520
2400480,-0.0796
2400510,-0.0288
2400600,-0.0783
2400660,-0.0593
2400690,-0.0484
2501680,-0.0990
2501710,-0.0811
2501950,-0.1587
2501980,0.0202
2502190,-0.0018
2502400,-0.1073
2502490,-0.0553
2502790,-0.0178
2502940,0.0065
2503090,-0.0001
2503240,-0.0650
2503270,0.0054
2503510,-0.0555
2504770,-0.0786
2504830,-0.0432
2504890,-0.0284
2504980,-0.0941
2505010,-0.1692
2505370,-0.0870
2506840,-0.0640
2507020,-0.0460
2507110,-0.0393
2507170,0.0080
2507320,-0.1189
2507560,0.0723
2508340,-0.0545
2508370,-0.0949
2508610,-0.0293
2508700,-0.0192
2509870,-0.0222
2509930,-0.0790
2510050,-0.0500
2510620,-0.0455
2510770,-0.0912
2510890,0.1080
2511130,-0.0057
2511340,-0.1012
2512210,-0.0411
2512270,-0.1091
2512600,-0.0850
2512660,-0.0045
2512750,-0.0571
2512840,-0.1968
2513110,0.0305
2513200,-0.0982
2513230,0.0487
2602820,-0.0102
2603690,-0.0507
2605850,-0.0838
2606090,-0.1054
2609570,-0.0103
2612000,0.0514
2612600,-0.0557
2614070,-0.0305
2614460,-0.0367
2614610,-0.0893
2616350,0.0783
2617520,0.0059
2620340,-0.0407
2621150,-0.0690
2621840,-0.0931
2623820,-0.0561
2625980,-0.0868
2626130,-0.0763
2626280,-0.0717
2628560,-0.0993
2628950,-0.0521
2629940,0.0188
2634260,-0.0470
2634470,-0.1274
2634560,-0.0853
2635160,-0.0443
2635190,-0.0860
2635820,-0.1050
2635910,-0.1200
2636485,-0.0564
2636660,-0.1060
2703180,0.0004
2705790,-0.0170
2707290,-0.0212
2708100,-0.1039
2708190,-0.0358
2711250,-0.1134
2711370,-0.0207
2711670,-0.0397
2711820,-0.0114
2714220,-0.1020
2714260,-0.0347
2717780,-0.0120
2721240,-0.0589
2722950,-0.0808
2723850,-0.0618
2725200,0.0051
2730060,-0.0268
2731750,-0.0032
2731780,0.0448
2731800,-0.0083
2732390,-0.0923
2732430,0.0850
2733000,-0.0159
2733330,0.0202
2733510,-0.0201
2733810,-0.0354
2733840,0.0327
2738190,-0.0218
2742160,-0.0742
2742360,-0.0009
2744160,-0.0379
2801320,-0.0690
2801770,-0.0342
2802160,-0.0183
2802790,-0.0262
2901000,0.0375
2905310,-0.0126
2908370,-0.0817
2915480,-0.0526
2916400,0.0974
2917820,-0.1391
2918300,-0.0433
2918540,-0.0607
2920670,-0.0306
2922800,-0.0843
2923550,-0.0003
2923580,-0.0598
2926850,-0.0131
2928860,-0.0124
2928950,-0.0838
2929280,0.0155
2931650,-0.0539
3003870,0.0438
3172840,0.0084
3173740,-0.0719
3174820,0.0952
3200060,-0.0248
3200480,0.0064
3304980,-0.0931
3400004,-0.0725
3401260,-0.1033
3401350,-0.0114
3401500,0.0167
3401650,-0.0234
3401830,-0.0096
3402280,0.0014
3402460,-0.0183
3402820,-0.0193
3403000,-0.0574
3403300,-0.0060
3403390,-0.0457
3403600,0.0155
3403990,-0.1601
3404110,0.0149
3404320,-0.0386
3404500,-0.1264
3404560,-0.0830
3404590,-0.0774
3404660,0.0814
3404890,-0.0821
3404980,-0.0590
3405190,-0.0332
3405310,-0.0390
3405490,-0.0422
3405640,-0.0218
3405730,-0.0786
3406030,0.0005
3406120,-0.1487
3406540,-0.0994
3406690,-0.0114
3407230,-0.0883
3407410,-0.0072
3407530,-0.0966
3407560,-0.1039
3407740,-0.0652
3407830,-0.0618
3408400,-0.0392
3408520,-0.0519
3408820,-0.0749
3409270,-0.0425
3409330,-0.0456
3409390,-0.0418
3409720,-0.0053
3409990,-0.0337
3410200,-0.0409
3410500,-0.1334
3410560,-0.0399
3410590,-0.0518
3410650,-0.0946
3410710,-0.0648
3410950,-0.0654
3410980,-0.0619
3411280,-0.0422
3411310,-0.0537
3411340,-0.1561
3411490,-0.1039
3411880,-0.0449
3412060,-0.0312
3412180,-0.1335
3412420,-0.0663
3412480,-0.0902
3412690,-0.1291
3412870,-0.0140
3413050,-0.0320
3413410,-0.0511
3413650,-0.0256
3413770,-0.0771
3413830,-0.0832
3413890,-0.0357
3414130,-0.1193
3414460,-0.0361
3414640,-0.1162
3414670,-0.0258
3414850,-0.1067
3415210,-0.0755
3415360,-0.0431
3415900,-0.0237
3416080,-0.1429
3416110,-0.0854
3416230,-0.0754
3416500,-0.0182
3416830,-0.0139
3416980,-0.0327
3417070,-0.0728
3417100,0.0293
3417280,-0.0229
3417610,-0.0271
3417700,0.0075
3417760,-0.0327
3418120,-0.1390
3500010,-0.1471
3500060,-0.0467
3501500,-0.1135
3605850,-0.1489
3608130,0.0151
3609840,-0.0630
3612510,-0.1287
3613290,-0.0802
3614280,-0.0011
3614340,-0.0923
3615810,-0.0201
3619200,-0.1484
3619650,-0.0302
3620340,-0.0740
3620400,-0.0431
3620580,-0.0203
3620880,-0.1310
3623160,-0.0466
3623220,-0.0364
3623580,-0.0102
3625170,-0.0460
3625350,0.0155
3625950,-0.0428
3626010,-0.0977
3626670,-0.0565
3628560,-0.0462
3629370,-0.1566
3629430,-0.0350
3629880,-0.0960
3631470,-0.1692
3631920,0.0152
3700011,-0.0217
3700012,-0.0977
3700030,-0.0439
3700450,-0.0039
3700480,-0.0847
3700530,-0.1477
3700690,-0.0706
3701260,0.0587
3701500,0.0543
3701620,-0.0463
3701920,-0.0913
3702310,-0.1461
3702970,-0.1103
3703310,-0.2380
3703330,0.0994
3703450,-0.1083
3704320,-0.1001
3704620,-0.0914
3704720,-0.0248
3806780,0.1831
3904348,0.1071
3904364,-0.0589
3904373,0.0684
3904375,0.0664
3904378,0.0435
3904380,0.2104
3904463,-0.0091
3904480,-0.0965
3904484,-0.0751
3904486,-0.0183
3904487,-0.0157
3904493,0.0381
3904504,0.0854
3904513,0.0024
3904611,-0.0410
3904660,-0.0195
3904676,-0.0778
3904689,0.0149
3904699,0.0304
3904701,-0.0030
3904702,-0.0437
3904724,0.1419
3905007,-0.0507
3905045,0.0022
4005490,-0.0763
4010590,-0.0268
4010920,0.0512
4015720,0.0365
4017250,-0.0015
4019950,-0.0677
4020250,-0.0604
4021000,0.0111
4021720,-0.0569
4022770,0.0524
4023280,-0.0599
4025290,-0.0838
4030240,0.0658
4030600,-0.0769
4100023,-0.0927
4101920,-0.0751
4102800,-0.0266
4103480,-0.0411
4103940,-0.0051
4106000,-0.0108
4107230,-0.1640
4108040,-0.1134
4108830,-0.0435
4109480,-0.1413
4110040,0.0363
4110520,0.0615
4110820,0.0159
4112240,-0.0311
4113170,0.0325
4202040,-0.1389
4202400,-0.1074
4203330,-0.0770
4203570,-0.0264
4205310,-0.0812
4205400,0.1316
4205760,-0.0398
4206960,-0.0125
4207110,-0.1385
4207590,-0.0764
4207710,-0.1481
4208550,0.0111
4208850,-0.0948
4209300,-0.1717
4210070,-0.0088
4210590,0.0416
4210620,0.0147
4210870,-0.0879
4211610,-0.0498
4211670,-0.0321
4211790,-0.0226
4213140,-0.0004
4214190,-0.0095
4214250,-0.0009
4214580,-0.1462
4216410,0.0224
4217010,-0.0567
4217280,-0.0567
4218510,-0.1029
4218840,-0.0581
4218930,-0.0586
4218990,-0.0041
4219170,0.0575
4219920,-0.0332
4221090,0.0506
4221870,-0.0912
4222560,-0.0437
4222770,-0.0485
4223640,-0.0471
4224210,0.0432
4224320,0.0127
4224390,-0.0889
4224480,-0.0623
4224570,0.0401
4224790,0.0215
4225290,-0.0255
4226580,-0.0546
4400240,-0.0091
4400900,0.0153
4401110,-0.0822
4401200,-0.0372
4501170,0.0549
4501440,-0.0044
4502010,-0.0191
4502130,0.0486
4502310,-0.0337
4502490,-0.0793
4502700,-0.0153
4502820,-0.0316
4503390,-0.0369
4503510,-0.0186
4503630,-0.0122
4503870,-0.0101
4503900,-0.0606
4666270,0.0562
4701590,-0.0602
4702220,-0.0157
4702940,-0.0982
4703030,0.0431
4703150,-0.0414
4703180,0.0079
4703690,-0.0473
4703810,-0.0243
4704020,-0.0638
4704530,0.0429
4704550,-0.0417
4807350,-0.0609
4807440,-0.0194
4807710,-0.0969
4807830,-0.0657
4807890,-0.0920
4808090,-0.1331
4808130,-0.1183
4808700,-0.0408
4808940,0.0220
4809670,0.0059
4810230,-0.0524
4813020,0.0647
4813050,-0.0852
4814280,-0.0156
4814730,-0.0605
4815000,-0.0713
4815210,-0.1258
4815270,-0.1094
4815910,-0.1339
4816110,-0.0307
4816230,0.0605
4816740,0.0043
4817070,0.0668
4817640,-0.0383
4817700,-0.0190
4817760,-0.0499
4818000,0.0600
4818180,-0.0834
4818300,-0.0331
4819650,-0.0321
4819700,0.1705
4819950,-0.0415
4820010,-0.0651
4820340,-0.0642
4821150,-0.0851
4821420,-0.0434
4821660,-0.0142
4823640,-0.0042
4823910,-0.0005
4824060,-0.0016
4824420,-0.1632
4824990,-0.0066
4825170,-0.0448
4825260,-0.0203
4825660,0.0471
4825740,0.0213
4826470,-0.0749
4826580,-0.0402
4827030,-0.0855
4827300,-0.0531
4828500,-0.0517
4828920,-0.0440
4829670,-0.1212
4829850,-0.0569
4830390,-0.0271
4830570,0.1334
4830640,0.0234
4832280,-0.0329
4832940,-0.0302
4833120,-0.0075
4833180,-0.1152
4834320,-0.0594
4834440,0.0257
4834830,0.0003
4835100,-0.0076
4837020,0.0865
4837650,-0.0034
4838080,-0.0374
4839480,0.0531
4841100,-0.0562
4841220,0.0023
4841880,-0.0328
4842960,-0.0018
4843470,0.0019
4845780,-0.1344
4846530,-0.0448
4900030,0.0453
4900142,-0.0096
4900210,0.0895
4900360,0.0728
4900420,0.0854
4900510,-0.0279
4900630,-0.0287
4900810,0.0223
4900870,0.1067
4901140,0.0030
4901200,0.0286
5100090,-0.0155
5100120,-0.0335
5100270,-0.0576
5100810,-0.0484
5100840,-0.0136
5101260,-0.0695
5101800,-0.0534
5101830,-0.0514
5101890,-0.0554
5102250,-0.0875
5102360,0.0422
5102520,-0.1213
5102640,-0.0243
5102670,-0.0573
5103130,-0.0352
5103330,-0.0626
5103640,-0.0514
5103660,-0.0295
5103840,-0.0345
5104020,0.0138
5104150,0.0303
5300300,0.1134
5300390,-0.1107
5300420,-0.0236
5300480,-0.0106
5301080,-0.0178
5302400,-0.0432
5302670,0.0435
5302700,0.0137
5302820,0.0850
5303540,0.0691
5303750,-0.0344
5303960,0.0761
5304230,-0.0605
5304860,-0.0551
5305430,0.0294
5305850,-0.0085
5305910,-0.0462
5305940,0.1104
5306180,0.0128
5306960,0.0951
5307230,-0.0560
5307710,-0.0629
5307920,0.0033
5308160,0.0178
5308250,0.2262
5308700,0.0366
5309270,0.2027
5400600,0.0297
5400930,-0.0169
5500390,-0.0552
5501770,-0.1807
5504050,-0.0767
