id,wa_grd
0100007,-0.1365
0100008,-0.1912
0100210,-0.1572
0100270,-0.1395
0101800,-0.1695
0102220,-0.1070
0102370,-0.2129
0102430,-0.1757
0103030,-0.0907
0103430,-0.2479
0200180,-0.0422
0200210,-0.0340
0200480,-0.1056
0200510,-0.1203
0200600,-0.0258
0400600,-0.2330
0400680,-0.1348
0400960,-0.2178
0401760,-0.1187
0401870,-0.1988
0402690,-0.1369
0403400,-0.1173
0403420,-0.2053
0403780,-0.0022
0404230,-0.1480
0404290,-0.1806
0404380,-0.1639
0404630,-0.0831
0404970,-0.0371
0405930,-0.0880
0406210,-0.2100
0406250,-0.2680
0406300,-0.2226
0407570,-0.1960
0407750,0.0032
0408310,0.0057
0408800,-0.1854
0408850,-0.0149
0409060,-0.0776
0503060,-0.1943
0506120,-0.1087
0506330,-0.0760
0509000,-0.1925
0511850,-0.1262
0511970,-0.0132
0512660,-0.0399
0600013,-0.0903
0600014,-0.0501
0600016,-0.0487
0600017,-0.0896
0600019,-0.2349
0600020,-0.1462
0600025,-0.0753
0600027,-0.1386
0600028,-0.0624
0600029,-0.0608
0600032,-0.0714
0600036,-0.0445
0600047,-0.1048
0600052,0.0336
0600153,-0.0826
0600158,-0.0658
0601332,0.0643
0601410,-0.0768
0601620,-0.0565
0601770,-0.1174
0601860,-0.0164
0602160,-0.0720
0602430,-0.1084
0602610,-0.0717
0602850,0.0288
0602970,-0.0166
0603420,-0.1198
0603630,-0.0526
0604290,-0.1161
0604440,-0.0563
0604530,-0.1176
0604620,-0.1332
0604740,-0.0759
0604800,-0.1175
0604830,-0.1158
0605580,-0.0667
0605610,-0.0735
0605880,-0.1662
0605910,-0.0283
0606270,-0.0449
0606360,-0.1582
0606390,-0.0739
0606450,-0.0606
0606480,-0.0634
0606810,-0.0904
0607140,-0.0956
0607200,-0.0175
0607440,-0.1025
0607500,-0.1216
0607800,-0.0412
0607900,-0.1312
0607950,-0.0770
0607970,-0.1420
0608070,-0.1251
0608130,-0.1084
0608190,-0.0920
0608370,-0.1793
0608460,-0.0577
0608610,-0.0913
0608760,-0.0710
0609030,-0.1526
0609390,-0.0675
0609640,-0.0879
0609850,-0.0748
0609940,-0.0441
0610050,-0.0829
0610260,-0.1827
0610290,-0.0748
0610440,-0.2433
0610620,-0.0768
0610740,-0.1698
0611110,-0.1088
0611460,-0.1166
0611490,-0.1043
0611850,-0.1379
0612090,-0.0474
0612330,-0.1205
0612750,-0.0446
0612810,-0.0691
0612880,-0.0658
0612960,-0.1467
0613080,-0.1451
0613140,-0.0243
0613360,-0.1466
0613890,-0.0846
0613920,-0.1311
0614220,-0.2099
0614400,-0.1055
0614550,-0.1482
0614730,-0.1604
0614880,-0.1295
0615180,-0.1066
0615240,-0.1312
0615270,-0.1756
0616050,-0.1456
0616325,-0.0026
0616740,-0.1250
0616920,-0.1259
0617190,-0.0627
0617850,-0.1395
0618030,-0.2061
0618840,-0.1121
0618870,-0.1722
0619260,-0.0863
0620130,-0.1070
0620250,-0.1347
0620310,-0.0645
0620460,0.0756
0620880,-0.1295
0621000,-0.1692
0621210,-0.0927
0621690,-0.0853
0622110,-0.0589
0622230,-0.1567
0622410,-0.0685
0622500,-0.0065
0622590,-0.0280
0622650,-0.0672
0622710,-0.0406
0622830,-0.1273
0623430,-0.1624
0623610,-0.1155
0624090,-0.1624
0624500,-0.0578
0624540,-0.1271
0624570,-0.0359
0624600,-0.1754
0624870,0.0659
0624900,-0.1402
0625130,-0.0570
0625530,-0.1225
0625690,-0.0586
0625740,-0.1093
0625770,-0.0507
0625800,-0.0665
0625830,-0.1070
0626280,0.0276
0626370,-0.0327
0626640,-0.0564
0626910,-0.1148
0627060,-0.0207
0627240,-0.1102
0627690,-0.0383
0627720,-0.0012
0627810,-0.0220
0627850,-0.0464
0628050,-0.1559
0628080,-0.0779
0628140,-0.1830
0628250,-0.0102
0628470,-0.1377
0628650,-0.1421
0628860,0.0038
0629100,-0.1327
0629220,-0.1001
0629490,-0.0297
0629550,-0.0737
0629580,-0.1160
0629610,-0.1700
0629700,-0.1195
0629940,-0.1422
0630330,-0.0505
0630660,-0.1352
0630990,-0.0582
0631320,-0.0136
0631530,-0.0953
0632070,-0.1016
0632130,0.0260
0632310,-0.1219
0632370,-0.0350
0632550,-0.0877
0633150,-0.1271
0633480,-0.1592
0633600,-0.0876
0633750,-0.1733
0633840,-0.0259
0633860,-0.0436
0633930,-0.1436
0634170,-0.0909
0634230,-0.0472
0634290,0.0773
0634320,-0.0557
0634410,0.0092
0634425,-0.3142
0634590,-0.1625
0634620,-0.0892
0634680,-0.1572
0634710,-0.2216
0634800,-0.0076
0634860,-0.1350
0634880,-0.0997
0634920,-0.0836
0635090,-0.0168
0635130,-0.1200
0635250,-0.0882
