id,wb_avg
0100007,-2.9966
0100008,-3.0974
0100011,-3.7944
0100013,-3.9558
0100030,-3.4773
0100060,-3.2132
0100120,-3.1042
0100180,-4.2906
0100185,-3.8592
0100190,-3.8449
0100210,-2.5311
0100240,-3.4623
0100270,-3.1936
0100360,-3.9698
0100390,-4.3570
0100450,-2.7059
0100510,-3.6651
0100540,-4.1032
0100600,-4.1036
0100630,-4.9195
0100660,-3.9928
0100690,-4.6615
0100720,-3.6488
0100750,-4.0311
0100840,-4.4539
0100870,-4.8474
0100900,-4.3520
0100960,-4.0984
0101050,-3.6267
0101080,-4.3208
0101110,-4.1789
0101170,-3.0578
0101200,-3.4260
0101230,-2.9087
0101260,-3.8781
0101290,-3.6944
0101320,-3.3590
0101350,-3.8276
0101380,-4.2117
0101410,-3.6328
0101470,-3.7180
0101530,-3.4572
0101620,-3.6863
0101660,-3.9453
0101710,-3.7188
0101740,-3.7578
0101760,-2.0805
0101770,-4.0375
0101800,-2.2751
0101830,-3.8188
0101860,-3.8209
0101890,-3.1987
0101920,-3.9110
0101950,-4.0395
0102010,-3.8496
0102040,-4.2893
0102070,-4.3021
0102100,-4.4063
0102220,-4.1766
0102250,-2.5621
0102370,-3.7870
0102400,-4.3683
0102430,-2.6500
0102480,-3.5912
0102520,-3.3846
0102580,-3.0478
0102610,-3.5521
0102635,-3.8930
0102640,-3.5929
0102650,-4.2615
0102700,-3.8648
0102730,-3.9368
0102790,-3.9815
0102820,-4.1140
0102850,-3.5294
0102880,-4.7123
0103000,-4.1086
0103030,-3.6665
0103062,-4.0554
0103120,-3.5449
0103150,-4.1881
0103180,-4.3276
0103210,-4.0416
0103240,-3.3196
0103300,-3.6449
0103330,-3.1492
0103360,-1.8368
0103390,-3.8056
0103420,-4.0178
0103430,-2.3388
0103450,-4.2982
0103480,-3.8270
0200180,-2.9922
0200510,-4.4267
0200600,-3.8467
0400600,-4.0093
0400680,-3.2094
0400960,-3.8946
0401050,-3.6239
0401380,-4.3631
0401460,-4.5904
0401680,-4.4437
0401710,-3.4955
0401870,-3.6219
0402320,-3.5702
0402400,-4.0389
0402430,-3.5868
0402690,-4.1187
0402920,-4.4203
0403060,-3.9947
0403150,-4.6846
0403400,-3.7890
0403420,-4.2800
0403780,-4.0259
0403990,-4.2307
0404230,-3.2705
0404290,-3.4627
0404320,-4.1253
0404380,-3.7222
0404440,-4.0812
0404500,-3.4212
0404630,-4.4033
0404720,-3.4795
0404970,-3.4682
0405670,-4.0811
0405930,-3.5582
0406210,-3.9410
0406250,-3.9891
0406300,-2.6307
0406810,-4.3052
0407080,-3.9467
0407300,-4.3141
0407570,-3.2923
0407750,-3.9402
0408170,-4.5715
0408310,-3.2488
0408490,-4.1391
0408800,-3.3866
0408820,-3.9333
0408850,-4.2404
0409060,-3.8058
0409600,-4.4892
0500006,-3.5693
0500023,-3.7390
0500028,-4.0142
0500029,-3.9168
0500042,-3.6885
0500044,-3.0669
0500045,-4.2701
0500065,-4.2463
0500067,-3.7371
0502430,-3.3927
0502580,-3.5552
0502730,-5.1528
0502960,-3.4355
0503060,-4.2348
0503320,-3.9151
0503630,-4.1365
0503690,-3.7885
0503750,-4.2738
0504590,-3.4708
0504800,-3.8919
0505470,-4.1789
0505500,-4.2015
0505680,-2.9216
0505850,-3.9977
0506060,-3.7620
0506120,-2.9044
0506210,-3.3658
0506270,-4.3865
0506330,-3.5865
0507110,-3.5694
0507290,-3.6341
0507840,-4.1406
0507890,-3.4980
0508040,-2.9828
0508280,-3.0421
0508340,-3.8864
0508670,-3.6932
0509000,-2.0465
0509060,-4.3243
0509240,-3.8975
0509390,-3.8486
0509420,-4.4566
0509630,-3.8667
0509840,-3.5011
0510380,-3.2339
0510440,-3.6272
0510680,-2.5672
0510950,-3.9478
0511820,-4.4420
0511850,-3.7417
0511970,-4.3357
0512060,-3.4934
0512210,-3.3741
0512520,-4.4832
0512660,-3.4027
0512960,-3.3367
0513110,-3.5833
0513930,-4.3081
0514140,-4.3155
0514430,-3.6817
0600014,-3.7444
0600016,-3.5515
0600017,-3.8191
0600019,-3.4289
0600020,-3.7649
0600027,-4.6813
0600028,-4.2749
0600029,-4.0856
0600032,-3.9655
0600036,-3.0054
0600047,-3.9902
0600158,-4.1111
0601332,-3.9638
0601410,-3.9588
0601620,-4.2211
0601710,-4.1014
0601770,-2.5038
0602160,-3.9338
0602310,-3.7876
0602430,-4.4440
0602610,-4.5088
0602850,-3.5512
0603420,-4.7290
0603630,-3.4224
0603840,-4.6745
0604020,-3.6530
0604290,-4.1927
0604440,-3.8114
0604620,-3.3459
0604740,-0.7816
0604800,-3.9150
0605610,-3.8066
0605910,-3.8656
0606360,-3.8654
0606390,-3.6865
0606450,-4.3585
0606810,-4.2673
0607200,-3.2856
0607440,-3.7829
0607500,-3.2882
0607800,-3.7643
0607900,-4.6366
0607950,-4.3257
0607970,-3.5236
0608070,-4.1881
0608130,-4.2778
0608370,-3.8389
0608460,-4.3679
0608610,-3.9419
0608760,-3.6325
0609030,-3.9787
0609390,-4.3471
0609640,-3.7649
0609850,-4.4713
0610050,-4.1786
0610260,-3.5187
0610290,-2.7478
0610440,-4.6151
0610620,-3.1711
0611110,-3.9437
0611460,-4.1024
0611490,-3.9672
0611520,-4.1692
0611910,-4.2084
0612330,-3.0755
0612690,-4.0995
0612880,-3.6698
0612960,-4.0848
0613140,-3.0086
0613360,-3.3698
0613500,-4.2325
0613890,-3.0890
0613920,-4.4128
0614370,-3.6155
0614400,-3.5957
0614550,-3.0726
0614730,-3.4324
0614880,-4.2681
0615240,-4.5278
0616050,-4.1538
0616300,-4.4406
0616325,-4.3182
0616470,-4.0434
0616680,-4.7630
0616740,-3.9824
0616920,-3.6834
0617850,-4.1876
0618840,-3.9480
0618870,-3.9699
0618990,-3.4009
0619260,-4.0673
0619440,-3.6418
0620250,-3.3453
0620880,-3.5853
0621000,-4.2767
0621210,-4.1361
0621330,-3.9840
0621360,-4.2169
0621690,-3.6846
0622110,-3.4123
0622230,-3.3925
0622410,-3.8933
0622500,-2.7682
0622590,-3.9625
0622710,-2.3886
0622740,-3.9818
0623340,-3.6173
0623430,-4.9444
0623610,-4.1653
0624090,-4.3454
0624500,-3.3396
0624540,-4.4184
0624600,-3.2884
0625130,-3.6355
0625230,-3.4655
0625320,-3.3614
0625530,-3.7698
0625800,-3.8542
0625830,-3.7669
0625860,-4.2381
0626220,-3.8313
0626370,-2.9133
0626640,-3.6215
0626910,-3.5825
0627060,-3.7197
0627180,-3.9852
0627240,-3.2551
0627690,-3.7318
0627720,-2.3837
0627780,-3.0185
0627810,-3.7082
0628050,-1.2810
0628080,-3.9727
0628250,-3.6903
0628470,-4.2372
0628650,-3.6339
0628950,-4.3018
0629220,-4.2465
0629550,-3.6306
0629580,-3.6383
0629610,-2.2645
0629640,-3.0012
0629700,-4.4858
0629850,-4.0976
0629940,-2.7614
0630030,-4.3843
0630180,-4.3732
0630600,-4.4426
0630660,-3.9371
0630990,-3.5951
0631320,-3.5208
0631530,-3.8226
0632070,-3.4611
0632370,-4.2904
0632550,-2.7101
0633150,-3.8188
0633240,-4.1990
0633390,-5.1764
0633480,-4.5793
0633600,-4.7330
0633750,-3.7746
0633840,-3.0498
0633860,-3.8169
0633930,-4.1533
0634170,-3.8669
0634320,-2.8143
0634410,-1.4642
0634440,-4.2979
0634590,-3.0987
0634620,-3.2976
0634680,-3.6079
0634710,-3.8954
0634880,-4.0162
0634920,-2.5209
0635130,-3.7893
0635310,-3.7365
0635430,-3.4837
0635700,-2.7162
0635810,-3.2556
0635830,-3.2564
0635970,-4.4715
0636800,-4.1650
0636820,-4.4457
0636840,-4.5823
0636970,-3.7453
0637380,-4.1760
0637620,-3.8367
0637950,-3.4873
0638010,-4.1419
0638220,-4.0729
0638460,-2.5396
0638670,-4.1097
0639420,-3.9855
0639630,-4.4720
0639870,-4.0229
0640150,-3.2030
0640590,-3.7806
0640740,-3.7248
0640980,-3.5432
0641040,-3.4453
0641160,-3.4882
0641190,-3.6916
0641280,-4.3492
0641580,-3.9124
0641880,-3.9574
0642000,-4.2742
0642120,-4.0441
0642510,-3.8980
0642810,-3.9965
0642990,-4.5083
0643470,-3.9090
0684500,-3.3691
0691026,-3.3028
0691029,-4.3723
0691078,-2.8027
0691135,-4.2458
0801920,-3.6112
0802340,-3.5989
0802580,-4.1468
0802910,-3.1352
0803060,-3.4781
0803360,-1.6926
0803450,-3.6823
0803870,-4.0912
0803990,-3.7609
0804080,-4.4224
0804410,-2.1806
0804530,-4.2994
0804800,-3.1321
0805310,-2.9184
0805370,-3.9315
0806120,-3.8093
0806480,-4.5269
0806900,-3.8975
0900060,-3.8016
0900070,-3.6638
0900450,-4.4332
0900510,-4.0104
0900700,-3.2469
0901020,-4.0203
0901110,-3.6464
0901260,-4.2806
0901470,-3.8723
0901530,-3.1760
0901710,-2.5574
0901770,-3.6162
0901860,-3.1304
0901920,-3.3418
0902310,-3.4583
0902400,-3.6278
0902490,-3.2008
0902520,-4.2724
0902640,-3.8539
0902670,-4.3499
0902790,-3.0094
0902820,-3.9996
0902880,-4.1817
0903090,-2.8840
0903120,-3.6881
0904050,-3.7872
0904110,-2.5979
0904170,-3.8425
0904320,-2.3953
0904440,-3.7748
0904590,-4.4215
0904620,-3.8850
0904680,-3.5768
0904830,-3.9862
0904920,-2.7119
0904950,-4.0229
0905190,-4.5433
0905220,-3.2235
1000080,-4.1209
1000170,-3.4564
1000180,-3.8915
1000190,-4.0401
1000200,-3.2176
1000230,-4.4323
1000270,-3.8267
1000680,-3.6432
1000790,-3.9389
1000810,-4.0084
1001080,-3.7316
1001240,-2.7671
1001300,-2.5045
1001530,-3.6456
1001620,-4.3340
1001850,-4.0414
1100030,-0.6726
1200030,-2.1776
1200060,-3.7160
1200090,-3.6049
1200120,-4.0151
1200150,-3.3228
1200180,-3.2736
1200210,-3.7630
1200240,-3.9370
1200270,-3.9787
1200300,-4.3070
1200330,-3.0157
1200360,-3.7172
1200390,-2.8631
1200420,-3.8561
1200480,-3.5535
1200510,-3.2508
1200540,-3.8147
1200600,-4.8245
1200690,-3.8229
1200720,-3.6458
1200750,-4.2065
1200780,-3.7790
1200810,-4.0413
1200840,-3.5384
1200870,-3.0914
1200930,-3.2358
1200960,-3.7085
1200990,-4.5216
1201050,-3.7016
1201080,-3.4628
1201110,-2.8557
1201140,-3.9681
1201200,-2.9735
1201230,-3.0093
1201260,-3.7151
1201290,-3.1320
1201320,-3.5682
1201350,-3.9587
1201410,-3.8498
1201440,-3.1428
1201470,-3.9978
1201500,-2.9078
1201530,-4.2334
1201560,-2.7990
1201590,-3.7905
1201620,-3.9371
