id,wb_coh
0100007,-0.0364
0100008,-0.0618
0100011,-0.0015
0100013,-0.0661
0100030,-0.0533
0100060,-0.0655
0100120,-0.1242
0100180,-0.0405
0100185,-0.0520
0100210,-0.0519
0100240,-0.0488
0100270,-0.0390
0100360,-0.0995
0100450,-0.0524
0100510,-0.0582
0100540,-0.0053
0100600,-0.0558
0100660,-0.0201
0100690,-0.0850
0100720,-0.0549
0100750,-0.0316
0100840,-0.0196
0100900,-0.0719
0100960,0.0339
0101050,0.0095
0101080,-0.0687
0101110,0.0179
0101170,-0.1078
0101200,-0.0143
0101230,0.0318
0101290,-0.0558
0101320,-0.0274
0101350,0.0601
0101380,-0.0475
0101410,0.0151
0101470,0.0349
0101530,0.0527
0101620,-0.0353
0101660,-0.0892
0101710,0.0600
0101740,-0.1239
0101760,-0.0769
0101770,-0.0206
0101800,-0.0678
0101860,-0.0514
0101890,-0.0536
0101920,-0.0042
0101950,-0.0722
0102040,0.0347
0102070,0.0279
0102100,-0.0233
0102220,-0.0374
0102250,-0.1123
0102370,-0.0450
0102400,0.0453
0102430,0.0388
0102520,0.0326
0102580,-0.0289
0102610,-0.0031
0102635,-0.0089
0102640,-0.0241
0102650,-0.0496
0102700,0.0211
0102730,-0.0209
0102790,-0.0565
0102820,-0.0767
0102850,-0.0512
0102880,0.0081
0103000,-0.0351
0103030,-0.0325
0103062,-0.0094
0103120,0.0179
0103150,-0.0721
0103180,-0.0162
0103210,-0.0705
0103240,-0.0563
0103300,-0.0881
0103330,-0.0229
0103360,-0.0051
0103390,-0.0003
0103420,0.0295
0103430,-0.0340
0103450,0.0323
0103480,-0.1123
0200180,-0.0306
0200600,0.0347
0400600,-0.0294
0400680,0.0344
0400960,0.0136
0401050,-0.2060
0401380,-0.0157
0401680,-0.0200
0401710,0.0531
0401870,0.0059
0402320,0.0218
0402430,0.1231
0402690,0.0226
0402920,0.0292
0403060,-0.0830
0403400,0.0276
0403420,-0.0478
0403780,0.0330
0404230,0.0124
0404290,-0.0058
0404320,-0.0075
0404380,-0.0605
0404440,0.0488
0404500,-0.0386
0404630,0.0703
0404720,-0.0719
0404970,0.0344
0405670,0.1305
0405930,0.0643
0406210,-0.0701
0406250,0.0475
0406300,0.0003
0407080,0.1407
0407570,-0.0563
0407750,0.0207
0408170,-0.0365
0408310,0.0323
0408800,0.0096
0408820,-0.0069
0408850,0.0961
0409060,0.0242
0409600,0.0146
0500006,0.0396
0500023,0.0464
0500028,-0.0108
0500029,0.0566
0500042,-0.0418
0500044,-0.0658
0500045,-0.0250
0502430,-0.0053
0502580,-0.0489
0502960,-0.0093
0503060,-0.0101
0503320,-0.0486
0503690,-0.0259
0504590,0.0214
0504800,-0.0384
0505500,0.0175
0505680,-0.0727
0505850,-0.0894
0506060,-0.0577
0506120,0.0927
0506210,-0.1327
0506270,-0.0531
0506330,-0.0085
0507840,-0.0911
0507890,-0.0234
0508040,-0.0316
0508280,-0.0014
0508670,-0.0053
0509000,0.0180
0509060,0.0791
0509240,-0.0057
0509390,-0.0727
0509630,-0.0446
0509840,-0.0067
0510380,-0.0136
0510440,-0.0354
0510680,-0.0641
0511820,-0.0326
0511850,0.0170
0512060,0.0423
0512210,0.0734
0512520,-0.0007
0512660,-0.0316
0512960,-0.0476
0513110,-0.0078
0513930,-0.1670
0514140,-0.0536
0514430,-0.0311
0600014,0.0015
0600016,-0.0190
0600017,-0.0100
0600027,0.0873
0600028,0.1194
0600029,0.0220
0600032,0.0167
0600036,0.0858
0600047,-0.0335
0600158,0.0853
0601332,0.0816
0601620,0.0143
0601710,-0.0339
0601770,0.0763
0602160,0.0825
0602430,0.0239
0602610,0.0337
0602850,0.0221
0603630,0.0644
0603840,-0.0553
0604020,0.0064
0604290,0.0843
0604440,0.0675
0604740,0.0257
0605610,0.0769
0605910,0.0343
0606390,0.0032
0606450,0.0362
0606810,-0.0076
0607200,0.0556
0607440,0.0116
0607800,0.0219
0607900,0.0830
0607950,0.0225
0607970,0.0050
0608130,-0.0586
0608370,-0.0040
0608460,0.0530
0608610,0.0478
0608760,0.0735
0609030,0.0321
0609390,0.0484
0609640,0.1001
0609850,0.0291
0610050,0.0250
0610260,0.0896
0611110,0.0402
0611460,-0.0074
0611490,0.0171
0611910,-0.0726
0612330,0.0620
0612880,0.0376
0612960,0.0585
0613360,0.0161
0613890,0.0476
0613920,0.0297
0614400,-0.0095
0614550,0.0568
0614730,0.0577
0614880,0.0153
0616050,-0.0252
0616470,0.0636
0616740,-0.0810
0616920,0.1133
0619260,-0.0159
0620250,0.0535
0620880,-0.0381
0621210,0.0004
0621330,-0.0271
0621690,0.0962
0622230,0.0903
0622410,0.0524
0622500,0.1033
0622710,0.0418
0623340,0.0312
0623430,-0.0267
0623610,0.0705
0624090,0.0461
0624540,0.0830
0624600,0.0067
0625130,0.0414
0625320,0.0123
0625800,0.0330
0625860,0.0353
0626220,0.0401
0626370,0.1333
0627180,0.0300
0627690,-0.0169
0627810,0.0275
0628050,0.0063
0628080,-0.0028
0628250,0.0208
0628470,0.0345
0628650,-0.0045
0629220,-0.0204
0629550,0.0613
0629580,0.0040
0629940,0.0137
0630030,-0.0179
0630180,0.0145
0630660,-0.0137
0630990,-0.0043
0631320,-0.0205
0631530,0.0202
0632070,0.0572
0632370,0.0207
0632550,0.1306
0633150,0.0328
0633240,-0.0228
0633480,0.0233
0633600,0.0051
0633840,0.0741
0633860,0.0520
0634170,-0.0039
0634320,0.1678
0634410,0.2176
0634440,0.0063
0634590,-0.0183
0634620,0.0394
0634880,0.0122
0635130,-0.0978
0635700,0.0126
0635970,-0.0451
0636800,-0.0165
0636970,0.0358
0637380,0.0199
0638010,-0.0022
0638220,-0.0389
0638670,0.0666
0639420,0.0233
0639870,0.0268
0640150,-0.0214
0640590,0.0094
0640740,0.0058
0641040,0.0739
0641160,0.0386
0641190,0.0185
0641580,0.0935
0642000,-0.0497
0642120,0.0217
0642510,-0.0392
0684500,0.0730
0691135,0.0921
0802340,0.0110
0802910,0.0128
0803360,0.0303
0900060,0.0262
0900070,-0.0276
0900450,-0.0518
0900510,0.0687
0900700,0.0107
0901020,-0.0299
0901260,0.0289
0901470,0.0890
0901710,-0.0138
0901770,0.0233
0901860,0.0969
0901920,0.0663
0902310,0.0078
0902400,-0.0330
0902490,0.0708
0902520,-0.0016
0902640,0.0165
0902670,-0.0615
0902790,-0.0452
0902820,0.0339
0902880,-0.0300
0903090,-0.0141
0903120,0.0074
0904110,0.0107
0904170,0.0742
0904320,0.0088
0904440,-0.0136
0904620,-0.0538
0904680,-0.0539
0904830,0.0384
0904920,-0.0438
0904950,0.0583
0905220,-0.0013
1000080,0.0270
1000170,0.0326
1000180,0.0445
1000190,0.0079
1000200,0.0588
1000230,-0.0268
1000270,0.0387
1000680,0.0642
1000790,0.0549
1000810,0.0391
1001080,0.0253
1001240,0.0272
1001300,0.0582
1001530,0.0319
1001620,-0.0197
1001850,0.0237
1100030,-0.0124
1200030,-0.0414
1200060,-0.0106
1200090,0.0139
1200120,0.0090
1200180,0.0090
