id,wb_grd
0100007,0.0266
0100008,0.0391
0100011,0.0078
0100013,-0.0220
0100030,0.0619
0100060,0.0258
0100120,0.0276
0100180,-0.0528
0100185,-0.0320
0100210,0.0749
0100240,0.0775
0100270,0.0093
0100360,-0.0626
0100450,0.0479
0100510,-0.0545
0100540,-0.0619
0100600,-0.0765
0100630,-0.0512
0100660,-0.0632
0100690,-0.0820
0100720,0.0693
0100750,0.0434
0100840,-0.0783
0100900,0.0308
0100960,-0.0373
0101050,0.0914
0101080,0.0122
0101110,0.1370
0101170,-0.0054
0101200,0.0189
0101230,0.1198
0101260,0.0592
0101290,0.0291
0101320,0.0280
0101350,0.0780
0101380,0.0630
0101410,0.0655
0101470,-0.0039
0101530,0.1915
0101620,0.0110
0101660,0.0134
0101710,0.0094
0101740,-0.0277
0101760,0.0611
0101770,0.0269
0101800,0.1539
0101860,0.0052
0101890,-0.0371
0101920,0.0412
0101950,-0.0186
0102010,0.0505
0102040,-0.0073
0102070,0.0314
0102100,-0.0406
0102220,0.0260
0102250,0.0494
0102370,0.0285
0102400,0.1371
0102430,0.2533
0102520,0.0693
0102580,0.1100
0102610,-0.0133
0102635,0.0486
0102640,0.0218
0102650,-0.0369
0102700,0.0358
0102730,-0.0280
0102790,-0.0358
0102820,-0.0260
0102850,0.0473
0102880,0.0067
0103000,0.0273
0103030,-0.0120
0103062,-0.0440
0103120,0.0363
0103150,-0.0661
0103180,-0.0318
0103210,-0.0096
0103240,-0.0100
0103300,-0.0312
0103330,-0.0050
0103360,0.1088
0103390,0.0020
0103420,0.0525
0103430,0.0098
0103450,0.0703
0103480,-0.0532
0200180,0.0731
0200510,-0.0524
0200600,0.0349
0400600,0.0337
0400680,0.0639
0400960,-0.0430
0401050,-0.1028
0401380,0.0078
0401460,0.0163
0401680,0.0329
0401710,0.0701
0401870,0.0397
0402320,0.0670
0402430,0.0876
0402690,-0.0083
0402920,-0.0039
0403060,-0.1355
0403400,0.0479
0403420,-0.0198
0403780,0.0238
0404230,0.0852
0404290,0.0190
0404320,0.0106
0404380,0.0149
0404440,0.0614
0404500,0.0130
0404630,0.0552
0404720,-0.0158
0404970,0.0784
0405670,0.0621
0405930,0.0844
0406210,-0.0135
0406250,0.0496
0406300,0.1544
0407080,0.1306
0407570,-0.0166
0407750,0.0730
0408170,0.0386
0408310,0.1207
0408800,0.1072
0408820,-0.0219
0408850,0.0394
0409060,0.0652
0409600,0.0494
0500006,0.0782
0500023,0.0252
0500028,-0.0162
0500029,0.0245
0500042,0.0264
0500044,-0.0047
0500045,0.0982
0502430,0.0561
0502580,-0.0295
0502960,0.0349
0503060,-0.0069
0503320,-0.0254
0503690,0.0432
0504590,0.0747
0504800,-0.0295
0505500,0.0143
0505680,0.0569
0505850,0.0069
0506060,0.0114
0506120,0.1056
0506210,0.0354
0506270,0.0549
0506330,0.0891
0507840,-0.0500
0507890,0.0600
0508040,-0.0333
0508280,0.1226
0509000,0.0386
0509060,0.0227
0509240,0.0627
0509390,0.0278
0509630,-0.0265
0509840,0.0515
0510380,0.0422
0510440,-0.0132
0510680,0.0954
0511820,0.0370
0511850,0.0066
0511970,0.0060
0512060,0.0512
0512210,0.1205
0512520,-0.0440
0512660,0.0279
0512960,0.0760
0513110,0.0418
0513930,-0.0535
0514140,-0.0289
0514430,-0.0356
0600014,-0.0786
0600016,0.0380
0600017,0.0028
0600020,0.0099
0600027,0.0670
0600028,0.0604
0600029,0.0146
0600032,0.1017
0600036,0.1155
0600047,-0.0399
0600158,0.0633
0601332,0.1716
0601620,0.0782
0601710,-0.0627
0601770,0.1659
0602160,0.0168
0602430,0.0398
0602610,0.0348
0602850,0.1145
0603630,0.1128
0603840,0.0087
0604020,0.0004
0604290,0.0371
0604440,0.0825
0604740,0.1308
0605610,0.0900
0605910,0.0395
0606390,0.0250
0606450,0.0307
0606810,0.0160
0607200,0.0800
0607440,-0.0079
0607800,0.0449
0607900,0.0533
0607950,-0.0078
0607970,0.0237
0608130,-0.0360
0608370,0.0326
0608460,0.0481
0608610,0.0305
0608760,0.0423
0609030,-0.0159
0609390,0.0042
0609640,0.0823
0609850,0.0235
0610050,0.0502
0610260,0.0651
0611110,0.0160
0611460,0.0268
0611490,0.0504
0611910,0.0244
0612330,0.1195
0612880,0.0587
0612960,0.0827
0613360,0.0718
0613890,0.0520
0613920,0.0174
0614400,0.0936
0614550,0.0567
0614730,0.0769
0614880,0.0159
0616050,-0.0050
0616300,-0.0053
0616470,0.0156
0616740,0.0421
0616920,0.1090
0619260,0.0153
0620250,0.0561
0620880,0.0611
0621210,0.0357
0621330,0.0097
0621690,0.0844
0622110,0.0107
0622230,0.0494
0622410,0.0274
0622500,0.0950
