id,wb_seg
0100005,0.0000
0100006,0.0957
0100007,0.0335
0100008,0.0060
0100011,0.0000
0100012,0.0005
0100013,0.0000
0100030,0.0009
0100060,0.0003
0100090,0.0535
0100100,0.0000
0100120,0.0036
0100180,0.0007
0100185,0.0000
0100188,0.0000
0100210,0.0080
0100240,0.0998
0100270,0.1372
0100300,0.0000
0100330,0.0911
0100360,0.1151
0100390,0.1623
0100420,0.0861
0100450,0.0000
0100480,0.0059
0100510,0.0736
0100540,0.1246
0100600,0.1773
0100630,0.1384
0100660,0.0356
0100690,0.0716
0100720,0.0061
0100750,0.0111
0100780,0.1488
0100810,0.1488
0100840,0.1882
0100870,0.1243
0100900,0.0000
0100930,0.1235
0100960,0.0184
0100990,0.0402
0101020,0.2580
0101050,0.0742
0101080,0.0000
0101110,0.3972
0101140,0.3130
0101170,0.1076
0101200,0.0000
0101230,0.1889
0101260,0.0000
0101290,0.0772
0101320,0.0219
0101350,0.3021
0101380,0.1779
0101410,0.0000
0101440,0.0809
0101470,0.1230
0101530,0.0592
0101560,0.0000
0101590,0.1686
0101620,0.1858
0101640,0.0000
0101660,0.0115
0101680,0.1603
0101690,0.0001
0101710,0.4081
0101720,0.0000
0101730,0.0545
0101740,0.1355
0101760,0.0301
0101770,0.1046
0101800,0.3672
0101830,0.2551
0101860,0.0000
0101890,0.1228
0101920,0.3323
0101950,0.0104
0101980,0.0000
0102010,0.1372
0102040,0.3295
0102070,0.1207
0102100,0.1861
0102130,0.0000
0102160,0.1360
0102190,0.3088
0102220,0.0749
0102250,0.4066
0102310,0.1149
0102350,0.0000
0102370,0.4324
0102400,0.3766
0102430,0.3462
0102480,0.1063
0102490,0.0952
0102520,0.0000
0102550,0.0000
0102580,0.0311
0102610,0.0000
0102635,0.0068
0102640,0.0026
0102650,0.0168
0102670,0.1156
0102700,0.1345
0102730,0.3831
0102760,0.0000
0102790,0.1136
0102820,0.0691
0102850,0.0000
0102880,0.0853
0102910,0.0000
0102940,0.0101
0102970,0.2917
0103000,0.0000
0103030,0.0637
0103062,0.0349
0103090,0.2147
0103120,0.0000
0103150,0.1514
0103180,0.1317
0103210,0.1570
0103240,0.0000
0103270,0.0001
0103300,0.0000
0103330,0.0000
0103360,0.4320
0103390,0.2260
0103420,0.0000
0103430,0.0209
0103450,0.1654
0103480,0.1820
0103510,0.1244
0103540,0.0000
0103580,0.1706
0200001,0.0358
0200007,0.3598
0200030,0.0259
0200050,0.2051
0200060,0.0006
0200070,0.2667
0200090,0.0931
0200100,0.0286
0200120,0.2617
0200150,0.1263
0200180,0.1958
0200210,0.0428
0200240,0.0288
0200270,0.0187
0200300,0.0000
0200390,0.0972
0200480,0.0971
0200485,0.2986
0200510,0.0502
0200540,0.0000
0200570,0.1147
0200600,0.1138
0200610,0.0874
0200625,0.0696
0200660,0.0000
0200680,0.0000
0200690,0.0000
0200700,0.1846
0200720,0.0000
0200730,0.3831
0200770,0.1080
0200780,0.0013
0200800,0.0203
0200810,0.0000
0200862,0.0045
0400001,0.0707
0400003,0.0271
0400004,0.0000
0400005,0.0000
0400021,0.1872
0400022,0.0000
0400023,0.0000
0400026,0.0677
0400163,0.0000
0400212,0.0396
0400295,0.0451
0400463,0.3212
0400480,0.0000
0400520,0.0000
0400600,0.0704
0400630,0.0000
0400680,0.1767
0400790,0.0564
0400840,0.0000
0400870,0.0000
0400910,0.0000
0400960,0.1166
0401000,0.0000
0401050,0.1218
0401080,0.0000
0401180,0.0000
0401260,0.0000
0401290,0.0000
0401380,0.0330
0401460,0.0395
0401500,0.0416
0401600,0.1166
0401650,0.0000
0401680,0.0856
0401710,0.0535
0401760,0.0211
0401870,0.0730
0401940,0.1895
0402130,0.0000
0402190,0.0000
0402220,0.0000
0402250,0.0000
0402320,0.0943
0402370,0.1158
0402400,0.0820
0402430,0.1837
0402480,0.0000
0402490,0.0000
0402530,0.3229
0402600,0.0000
0402690,0.0617
0402740,0.0000
0402760,0.0000
0402790,0.0000
0402860,0.1125
0402920,0.0183
0403010,0.0749
0403040,0.0197
0403060,0.0216
0403080,0.0555
0403150,0.0006
0403240,0.1571
0403290,0.0000
0403310,0.0000
0403400,0.0408
0403420,0.0515
0403500,0.0703
0403550,0.0000
0403730,0.0000
0403780,0.0388
0403820,0.0008
0403860,0.2686
0403870,0.0894
0403960,0.1919
0403990,0.0271
0404010,0.0012
0404060,0.0252
0404170,0.0000
0404230,0.0876
0404280,0.0725
0404290,0.0686
0404320,0.0895
0404380,0.0790
0404410,0.0000
0404440,0.0559
0404500,0.1208
0404530,0.0000
0404570,0.0220
0404630,0.0242
0404720,0.0431
0404770,0.0000
0404820,0.0074
0404920,0.0000
0404970,0.1416
0405030,0.0002
0405100,0.0000
0405190,0.0892
0405220,0.0000
0405320,0.0000
0405340,0.0000
0405360,0.0000
0405400,0.3171
0405460,0.0639
0405530,0.3427
0405640,0.0883
0405670,0.0582
0405820,0.0091
0405850,0.0000
0405880,0.0482
0405930,0.1083
0405980,0.0042
0406070,0.0215
0406150,0.0000
0406210,0.0545
0406250,0.0871
0406300,0.3463
0406360,0.0000
0406440,0.0880
0406480,0.0000
0406510,0.0000
0406580,0.0000
0406630,0.0000
0406730,0.0878
0406740,0.0000
0406780,0.1732
0406810,0.0427
0406850,0.0000
0406870,0.5088
0406900,0.0000
0406960,0.0000
0407020,0.0000
0407080,0.3546
0407130,0.0005
0407170,0.0928
0407240,0.0626
0407300,0.0288
0407430,0.0000
0407520,0.3277
0407570,0.1099
0407630,0.0000
0407700,0.0803
0407750,0.0732
0407770,0.0000
0407820,0.0532
0407860,0.0000
0407890,0.0863
0407920,0.0000
0408020,0.0000
0408080,0.0000
0408130,0.0000
0408170,0.1125
0408230,0.0000
0408280,0.0675
0408310,0.1541
0408410,0.0000
0408490,0.0517
0408550,0.0291
0408600,0.0222
0408640,0.0000
0408680,0.0079
0408800,0.1385
0408820,0.0219
0408850,0.0272
0408880,0.0000
0409060,0.1160
0409090,0.0000
0409120,0.0000
0409160,0.3320
0409190,0.1869
0409250,0.0000
0409310,0.0299
0409390,0.0000
0409430,0.1863
0409460,0.0172
0409510,0.0000
0409540,0.0000
0409600,0.0964
0409733,0.1394
0409734,0.0954
0500001,0.0164
0500006,0.0000
0500009,0.0000
0500012,0.0812
0500015,0.0095
