id,wh_avg
0100005,-4.0957
0100006,-4.7186
0100007,-2.8883
0100008,-3.8450
0100011,-4.1005
0100012,-3.9379
0100120,-3.2266
0100190,-3.5162
0100194,-3.7678
0100210,-3.5723
0100240,-4.9208
0100270,-3.9357
0100390,-4.5608
0100420,-4.4343
0100540,-4.9107
0100660,-4.6789
0100990,-3.5045
0101020,-4.6556
0101140,-4.1019
0101170,-3.1245
0101230,-4.0785
0101290,-4.5137
0101320,-4.1534
0101380,-4.3100
0101530,-3.9489
0101560,-3.5856
0101590,-4.3648
0101620,-3.4950
0101660,-4.6969
0101760,-1.9832
0101800,-2.6027
0101830,-4.8735
0101920,-3.9575
0102070,-5.0664
0102100,-4.6027
0102220,-4.6333
0102370,-4.7549
0102430,-2.6961
0102480,-3.9686
0102550,-4.0227
0102580,-3.6573
0102635,-3.8574
0102700,-4.9608
0102910,-4.2672
0103030,-3.6518
0103062,-4.8255
0103360,-2.2225
0103390,-4.1299
0200180,-3.6862
0200210,-4.1404
0200390,-4.9174
0200510,-4.8469
0200600,-4.5271
0400001,-3.8596
0400003,-4.4577
0400212,-4.6721
0400295,-4.7884
0400600,-4.5620
0400680,-3.6207
0400790,-4.6848
0400960,-4.2008
0401050,-4.6265
0401180,-3.9085
0401380,-4.4481
0401460,-4.3368
0401500,-4.4820
0401600,-4.2017
0401680,-4.9980
0401710,-4.1909
0401760,-4.2378
0401870,-3.2661
0402250,-3.8761
0402320,-3.9158
0402370,-4.1632
0402400,-3.8755
0402430,-4.3835
0402690,-4.1031
0402860,-3.3988
0402920,-4.6158
0403010,-4.5906
0403060,-4.5747
0403150,-4.8509
0403400,-4.1688
0403420,-4.8939
0403500,-4.6001
0403780,-4.4694
0403820,-3.8198
0403870,-4.4624
0403990,-4.3268
0404230,-3.8543
0404280,-4.6329
0404290,-4.2490
0404320,-4.0083
0404380,-4.0992
0404440,-4.4088
0404500,-3.1621
0404570,-4.7499
0404630,-4.6540
0404720,-4.0216
0404770,-4.4216
0404970,-3.4408
0405030,-5.0877
0405190,-4.7822
0405320,-5.0469
0405460,-4.5682
0405640,-4.2173
0405670,-4.2503
