id,wh_coh
0100005,-0.0159
0100006,-0.0170
0100007,-0.0597
0100008,-0.0383
0100012,-0.0614
0100120,-0.1028
0100270,0.0153
0100420,-0.0291
0100540,0.0134
0100660,-0.0254
0101020,-0.0151
0101140,0.0245
0101170,-0.0365
0101230,0.0404
0101290,-0.0097
0101320,0.0314
0101560,-0.0121
0101590,-0.0899
0101620,0.0270
0101760,-0.0413
0101800,-0.0198
0101920,-0.0183
0102070,0.0515
0102100,-0.0040
0102220,-0.0438
0102370,-0.0359
0102430,0.0229
0102480,-0.0899
0102550,-0.0544
0102635,-0.0219
0102910,-0.0074
0103030,-0.0557
0103360,0.0445
0103390,0.0791
0200180,-0.0167
0200390,-0.0329
0200510,-0.0487
0200600,0.0178
0400001,-0.0594
0400003,-0.0780
0400212,-0.0222
0400295,-0.0296
0400600,-0.0335
0400680,-0.0296
0400790,-0.0030
0400960,0.0287
0401050,-0.0970
0401380,-0.0397
0401460,0.0095
0401500,-0.0235
0401600,-0.0025
0401680,-0.0470
0401710,-0.0276
0401760,0.0200
0401870,-0.0595
0402320,0.0605
0402370,0.0024
0402400,0.0028
0402430,0.1156
0402690,-0.0247
0402860,0.0026
0402920,-0.0315
0403010,-0.0117
0403060,-0.1453
0403400,-0.0016
0403420,-0.0742
0403500,-0.0188
0403780,-0.0221
0403870,0.0015
0403990,-0.0176
0404230,-0.0187
0404280,-0.0192
0404290,0.0040
0404320,-0.0153
0404380,-0.0242
0404440,0.0617
0404500,-0.0261
0404630,-0.0002
0404720,-0.0383
0404770,-0.0224
0404970,0.0163
0405030,-0.0112
0405190,-0.0860
0405320,-0.0156
0405460,-0.0307
0405640,-0.0205
0405670,0.1584
0405880,-0.0567
0405930,-0.0391
0406070,-0.0397
0406210,-0.0643
0406250,-0.0158
0406300,0.0042
0406580,-0.0382
0406730,-0.1116
0406810,-0.0495
0407080,0.0914
0407130,0.0664
0407170,-0.0145
0407240,-0.0026
0407300,-0.0479
0407570,-0.0537
0407700,0.0102
0407750,-0.0556
0407820,-0.0194
0408170,-0.0280
0408280,-0.0405
0408310,0.0271
0408550,-0.0293
0408800,0.0024
0408820,-0.0114
0408850,-0.0088
0409060,-0.0242
0409190,0.0474
0409250,-0.0772
0409460,-0.0668
0409600,0.0012
0409733,-0.0731
0500006,0.0710
0500019,-0.0820
0500049,-0.0475
0502960,-0.0019
0503060,-0.0646
0503150,-0.0144
0503690,-0.0230
0503750,-0.0318
0504380,-0.0135
0504590,-0.0005
0504890,-0.1124
0504930,-0.0271
0505680,-0.1249
0506120,-0.0598
0506330,-0.0664
0506870,-0.0628
0507840,-0.1163
0507890,-0.0746
0508280,-0.0467
0508610,-0.0771
0508670,-0.0127
0509000,0.0477
0510380,-0.0156
0510680,-0.0938
0511850,0.0355
0511970,-0.0297
0512060,-0.0270
0512450,-0.0322
0512660,-0.0676
0513410,-0.0318
0600001,0.0046
0600013,-0.0071
0600014,-0.0056
0600015,0.0160
0600016,-0.0302
0600017,-0.0020
0600019,0.0165
0600020,-0.0690
0600025,-0.0321
0600027,0.0125
0600028,0.0396
0600029,-0.0182
0600032,0.0118
0600033,-0.0156
0600034,0.0026
0600036,-0.0419
0600043,0.0534
0600044,-0.0103
0600045,0.0023
0600047,-0.0398
0600048,0.0148
0600051,-0.0914
0600052,-0.0617
0600060,0.0176
0600061,-0.0207
0600062,-0.0278
0600063,0.0326
0600064,0.0298
0600065,-0.1405
0600068,-0.0081
0600069,-0.0462
0600153,-0.0581
0600158,-0.0015
0601332,0.0446
0601620,-0.0013
0601710,-0.0513
0601770,-0.0918
0601860,-0.0090
0601950,-0.1063
0602100,-0.0349
0602160,0.0120
0602430,0.0462
0602450,-0.0316
0602610,-0.0082
0602850,-0.0106
0602970,-0.0007
0603300,-0.0624
0603420,-0.0160
0603480,-0.0779
0603600,-0.0591
0603630,-0.0140
0603840,-0.0184
0604020,-0.0360
0604230,-0.0043
0604260,0.0161
0604290,0.0314
0604380,0.0067
0604440,0.0385
0604530,-0.0654
0604620,-0.0291
0604650,-0.0192
0604740,-0.0536
0604800,0.0930
0604830,-0.0397
0605580,-0.0602
0605610,-0.0249
0605790,-0.0592
0605880,-0.0224
0605910,-0.0154
0606270,-0.0290
0606330,0.0198
0606360,-0.0154
0606390,-0.0660
0606450,0.0253
0606480,0.0125
0606570,-0.0344
0606750,-0.0240
0606780,-0.0539
0606810,-0.0450
0606870,-0.0041
0607140,-0.0427
0607200,0.0190
0607440,0.0300
0607500,-0.0167
0607530,-0.0248
0607560,-0.0123
0607680,0.0379
0607740,-0.0032
0607800,-0.0178
0607900,0.0476
0607950,-0.0243
0607970,0.0079
0607980,0.0086
0608070,0.0061
0608130,-0.0518
0608190,0.0418
0608250,0.0614
0608370,-0.0098
0608460,-0.0227
0608520,-0.0108
0608610,0.0277
0608760,0.0264
0608970,-0.0582
0609030,-0.0145
0609120,0.0218
0609390,-0.0103
0609570,0.0086
0609640,0.0258
0609780,-0.0606
0609850,-0.0343
0609870,-0.0595
0609940,-0.0297
0610050,-0.0481
0610260,0.0230
0610290,-0.0048
0610440,-0.0360
0610620,-0.0236
0610740,-0.0759
0610770,-0.0013
0611040,-0.0484
0611110,0.0027
0611220,0.0720
0611280,-0.0780
0611460,-0.0376
0611490,-0.0089
0611520,-0.0362
0611850,-0.0421
0611910,-0.0814
0612030,0.0494
0612090,0.0833
0612210,0.0262
0612330,-0.0006
0612690,-0.0524
0612750,-0.0730
0612810,0.0039
0612840,-0.0093
0612880,-0.0389
0612960,0.0172
0613080,-0.1049
0613140,0.0089
0613200,-0.0231
0613360,-0.0129
0613500,-0.0262
0613800,-0.0625
0613890,-0.0009
0613920,-0.0244
0614070,-0.0283
0614220,-0.0386
0614250,-0.0353
0614370,-0.0170
0614400,-0.0369
0614550,-0.0040
0614700,-0.0235
0614730,0.0093
0614790,-0.0577
0614880,0.0153
0614950,-0.0144
0615180,0.0155
0615240,0.0043
0615270,0.0031
0615510,-0.0057
0615780,0.0867
0616050,-0.0619
0616300,-0.0141
0616323,-0.0797
0616325,0.0446
0616470,-0.0278
0616650,0.0078
0616740,-0.0499
0616920,-0.0060
0617160,-0.0420
0617220,-0.0752
0617340,-0.0403
0617490,0.0496
0617850,-0.0454
0618030,0.0187
0618210,0.0211
0618730,0.0187
0618840,-0.0507
0619140,-0.0191
0619260,-0.0087
0619320,-0.0338
0619440,-0.0939
0619490,-0.0471
0619620,0.0418
0619700,-0.0341
0619770,-0.0490
0619800,-0.0717
0620070,0.0116
0620130,-0.0075
0620190,-0.0027
0620250,0.0259
0620310,-0.0171
0620370,-0.0070
0620460,0.0343
0620640,0.0075
0620670,-0.0559
0620730,-0.0548
0620790,-0.0327
0620880,-0.0612
0621000,0.0021
0621210,-0.0200
0621330,-0.0253
0621360,-0.0056
0621690,0.0257
0621810,-0.0457
0621930,-0.0426
0621990,-0.0583
0622050,0.0118
0622110,-0.0122
0622230,-0.0003
0622410,-0.0193
0622500,0.0404
0622560,0.0538
0622590,-0.0201
0622650,0.0099
0622710,-0.0093
0622740,-0.0353
0622830,-0.0134
0623010,-0.0035
0623080,-0.0260
0623340,-0.0235
0623430,-0.0432
0623530,-0.0028
0623610,0.0014
0623940,0.0112
0624000,-0.0965
0624030,-0.0254
0624090,-0.0219
0624180,0.0091
0624360,-0.0550
0624540,-0.0304
0624570,-0.0851
0624600,-0.0337
0624720,-0.0597
0624750,-0.0583
0625130,-0.0406
0625230,-0.0117
0625320,0.0335
