id,wh_grd
0100005,0.0316
0100006,-0.0657
0100007,-0.1138
0100008,-0.0112
0100012,0.0305
0100120,-0.0405
0100270,0.0234
0100420,-0.0846
0100540,-0.0930
0100660,0.0319
0101020,-0.0588
0101140,-0.0648
0101170,0.0672
0101230,0.0414
0101290,-0.0509
0101320,0.0314
0101560,-0.0143
0101590,-0.0960
0101620,-0.0040
0101760,0.0080
0101800,0.0756
0101920,0.0023
0102070,-0.0482
0102100,-0.0681
0102220,-0.0619
0102370,-0.0689
0102430,0.1308
0102480,-0.0235
0102635,-0.0155
0102910,-0.0305
0103030,-0.0652
0103062,-0.0055
0103360,0.0321
0103390,0.0531
0200180,0.0209
0200210,-0.0669
0200390,0.0102
0200510,0.0161
0200600,-0.0189
0400001,0.0122
0400003,-0.0590
0400212,0.0345
0400295,-0.0741
0400600,-0.0231
0400680,-0.0344
0400790,-0.0933
0400960,-0.0393
0401050,-0.0808
0401380,-0.0174
0401460,0.0022
0401500,-0.0383
0401600,0.0941
0401680,0.0021
0401710,0.0045
0401760,0.0079
0401870,-0.0574
0402320,0.0132
0402370,0.0258
0402400,0.0384
0402430,-0.0385
0402690,-0.0388
0402860,0.0580
0402920,-0.0312
0403010,-0.0036
0403060,-0.1584
0403400,-0.0026
0403420,-0.0607
0403500,-0.0093
0403780,-0.0474
0403870,-0.0214
0403990,-0.0017
0404230,0.0304
0404280,-0.0256
0404290,-0.0351
0404320,-0.0625
0404380,-0.0231
0404440,0.0270
0404500,0.0020
0404630,-0.0167
0404720,-0.0413
0404770,0.0089
0404970,0.0618
0405030,-0.0160
0405190,-0.0684
0405320,-0.0689
0405460,-0.0524
0405640,0.1361
0405670,-0.0201
0405880,-0.0044
0405930,-0.0143
0406070,-0.0365
0406210,-0.0412
0406250,-0.0032
0406300,0.2052
0406580,-0.0390
0406730,-0.0252
0406810,-0.0239
0407080,0.0527
0407130,0.0351
0407170,0.0098
0407240,-0.0111
0407300,-0.0758
0407570,-0.0361
0407700,0.0144
0407750,-0.0858
0407820,0.0246
0408170,-0.0064
0408280,-0.0906
0408310,0.0661
0408410,0.1019
0408550,0.0393
0408800,0.1040
0408820,-0.0609
0408850,0.0188
0409060,-0.0034
0409190,-0.0209
0409250,0.0103
0409460,-0.0024
0409600,0.0086
0500006,0.0406
0500019,-0.0315
0500049,0.0331
0500405,-0.0724
0502960,-0.0213
0503060,-0.0797
0503150,-0.0131
0503690,0.0137
0503750,-0.0221
0504380,0.0649
0504590,0.0722
0504890,-0.0301
0504930,-0.0100
0505680,-0.0557
0506120,-0.0103
0506330,0.0419
0506870,-0.0411
0507840,-0.1112
0507890,-0.0357
0508280,0.0071
0508610,-0.0123
0508670,-0.0461
0509000,0.0152
0510380,0.0226
0510680,-0.0051
0511850,-0.0243
0511970,0.0167
0512060,0.0030
0512210,-0.0595
0512450,0.0351
0512660,-0.0791
0513410,-0.0626
0600001,0.0514
0600013,-0.0166
0600014,-0.0567
0600015,0.0844
0600016,0.0159
0600017,0.0267
0600019,0.0042
0600020,-0.0654
0600025,0.0079
0600027,-0.0471
0600028,-0.0089
0600029,0.0094
0600032,0.0357
0600033,-0.0127
0600034,-0.0558
0600036,-0.0747
0600043,-0.0012
0600044,-0.0070
0600045,-0.0032
0600047,-0.0806
0600048,0.0133
0600051,-0.0593
0600052,0.0380
0600060,-0.0088
0600061,-0.0641
0600062,-0.0379
0600063,0.0712
0600064,0.1152
0600065,-0.0443
0600068,0.0144
0600069,-0.1072
0600153,0.0041
0600158,-0.0287
0601332,0.0899
0601410,0.0453
0601620,0.0231
0601710,-0.0767
0601770,-0.0035
0601860,0.0417
0602100,-0.0505
0602160,-0.0217
0602430,0.0121
0602450,-0.0984
0602610,-0.0862
0602850,0.0340
0602970,0.0657
0603300,-0.0051
0603420,-0.0294
0603480,-0.0279
0603600,-0.0918
0603630,0.0372
0603840,-0.0013
0604020,-0.0597
0604230,-0.0357
0604260,0.0067
0604290,-0.0191
0604440,0.0405
0604530,0.0127
0604620,-0.0315
0604740,0.0153
0604800,0.0731
0605580,-0.0199
0605610,-0.0151
0605670,-0.0415
0605790,0.0058
0605880,-0.0202
0605910,-0.0492
0606270,-0.0513
0606330,0.0115
0606360,-0.0437
0606390,-0.0356
0606450,0.0801
0606480,0.0587
0606570,-0.0749
0606750,-0.0287
0606780,-0.0231
0606810,-0.0196
0606870,-0.0329
0607140,-0.0464
0607200,0.0607
0607440,-0.0025
0607500,-0.0441
0607530,-0.0617
0607560,0.0388
0607680,-0.0279
0607740,-0.0011
0607800,0.0293
0607900,0.0823
0607950,-0.0487
0607970,-0.0213
0607980,-0.0191
0608070,-0.0322
0608130,-0.0594
0608190,-0.0166
0608250,0.0281
0608370,0.0014
0608460,-0.0302
0608520,0.0113
0608610,0.0241
0608760,0.0468
0608970,-0.0529
0609030,0.0002
0609120,-0.0667
0609390,-0.0204
0609570,0.0220
0609640,0.0274
0609780,-0.0849
0609850,-0.0323
0609870,-0.0804
0609940,-0.0613
0610050,-0.0757
0610260,0.0489
0610290,0.0416
0610440,-0.1387
0610620,0.0213
0610710,-0.0041
0610740,-0.0466
0610770,-0.0059
0611040,-0.0844
0611110,-0.0047
0611220,0.0517
0611280,-0.0726
0611460,-0.0300
0611490,-0.0142
0611520,-0.0467
0611850,-0.0311
0611910,-0.0806
0612030,0.0180
0612090,0.0387
0612210,-0.0454
0612330,0.0245
0612690,-0.0412
0612750,-0.0913
0612810,-0.0421
0612840,-0.0823
0612880,-0.0327
0612960,0.0173
0613080,-0.1248
0613140,0.1172
0613200,-0.0026
0613360,0.0113
0613500,0.0222
0613800,0.0184
0613890,-0.0175
0613920,-0.0562
0614070,-0.0640
0614220,-0.0447
0614400,0.0507
0614550,0.0148
0614700,-0.0012
0614730,0.0243
0614790,-0.1059
0614880,0.0028
0614950,0.0029
0615180,-0.0013
0615240,0.0155
0615270,0.0052
0615510,0.0024
0616050,-0.0754
0616300,0.0012
0616323,-0.0638
0616325,0.0931
0616470,-0.0886
0616650,-0.0227
0616740,-0.0317
0616920,0.0146
0617160,0.0566
