id,all_coh
0100001,-9999.0000
0100002,-9999.0000
0100003,-9999.0000
0100005,-0.0268
0100006,-0.0681
0100007,0.0552
0100008,0.1336
0100011,0.0427
0100012,-0.0737
0100013,0.0598
0100018,-9999.0000
0100030,-0.0638
0100060,-0.0755
0100090,0.0626
0100100,-0.0342
0100120,-0.0149
0100180,0.0340
0100185,0.1278
0100188,-9999.0000
0100189,-9999.0000
0100190,-9999.0000
0100194,-9999.0000
0100210,0.0746
0100240,-0.0854
0100270,-0.0469
0100300,0.0732
0100330,-0.1780
0100360,0.0187
0100390,-0.0609
0100420,0.1045
0100450,0.0828
0100480,-0.0464
0100510,-0.0710
0100540,0.0189
0100600,0.0820
0100630,0.0681
0100660,0.0196
0100690,-0.1287
0100720,0.0364
0100750,0.1325
0100780,0.0085
0100810,0.0044
0100840,-0.0762
0100870,-0.0315
0100900,0.0745
0100930,-0.0736
0100960,0.1005
0100990,-0.0705
0101020,-0.0010
0101050,0.1249
0101080,0.0361
0101110,0.0726
0101140,0.0445
0101170,-0.0128
0101200,0.0994
0101230,0.0003
0101260,0.1344
0101290,0.0495
0101320,0.0220
0101350,-0.0344
0101380,-0.0112
0101410,0.1238
0101440,-0.0089
0101470,-0.0319
0101530,0.0675
0101560,0.0474
0101590,-0.1427
0101620,0.0715
0101640,0.0555
0101660,0.1035
0101680,-0.0367
0101690,-0.1187
0101710,0.0688
0101720,-0.0028
0101730,0.0376
0101740,0.1026
0101760,0.0858
0101770,0.0895
0101800,0.0316
0101830,-0.0487
0101860,0.0718
0101890,-0.0562
0101920,-0.0165
0101950,0.0104
0101980,0.1094
0102010,0.0090
0102040,-0.0279
0102070,0.1134
0102100,0.0639
0102130,0.0112
0102160,0.0323
0102190,-0.0081
0102220,0.0220
0102250,0.1750
0102310,0.0450
0102350,-0.0747
0102370,-0.0511
0102400,-0.0239
0102430,-0.0655
0102480,0.0040
0102490,-0.1154
0102520,0.0347
0102550,0.0205
0102580,0.1321
0102610,0.1649
0102635,0.0748
0102640,-0.0134
0102650,0.0450
0102670,-0.1662
0102700,0.0812
0102730,0.0463
0102760,-0.0503
0102790,0.0802
0102820,0.0564
0102850,0.0601
0102880,0.1256
0102910,-0.1294
0102940,0.0036
0102970,-0.0924
0103000,0.1063
0103030,0.0772
0103062,0.0394
0103090,0.0667
0103120,0.0197
0103150,0.0011
0103180,-0.0290
0103210,0.0307
0103240,0.0655
0103270,0.0603
0103300,0.0229
0103330,-0.0454
0103360,0.1201
0103390,0.0804
0103420,0.0020
0103430,0.0557
0103450,0.0088
0103480,-0.0208
0103510,-0.0807
0103540,-0.0307
0103580,0.0290
0200001,-0.0636
0200003,-0.1467
0200004,-0.1156
0200005,-0.1225
0200007,-9999.0000
0200010,-9999.0000
0200020,-0.0511
0200030,-9999.0000
0200050,-0.0688
0200060,-0.0897
0200070,-0.0608
0200090,0.0578
0200100,0.0873
0200120,0.0767
0200130,-9999.0000
0200150,0.0341
0200180,0.0506
0200210,0.0472
0200240,0.0847
0200270,-9999.0000
0200300,-9999.0000
0200330,-9999.0000
0200360,-9999.0000
0200390,0.0200
0200450,-9999.0000
0200480,-0.0485
0200485,0.0444
0200510,-0.0337
0200520,-9999.0000
0200525,-0.1033
0200540,-9999.0000
0200570,0.0135
0200600,0.0092
0200610,-0.1317
0200625,-0.1425
0200630,-9999.0000
0200660,0.0441
0200670,-9999.0000
0200680,-9999.0000
0200690,-9999.0000
0200700,-9999.0000
0200710,-0.0660
0200715,-9999.0000
0200720,0.0461
0200730,-9999.0000
0200760,0.0237
0200770,0.1285
0200775,-9999.0000
0200780,-0.0195
0200800,-9999.0000
0200810,-9999.0000
0200840,-9999.0000
0200862,-0.0015
0400001,0.1096
0400003,0.0651
0400004,-0.0359
0400005,-9999.0000
0400021,0.1117
0400022,-9999.0000
0400023,0.2396
0400026,0.0849
0400082,-9999.0000
0400163,-9999.0000
0400212,0.1631
0400295,0.0841
0400315,-9999.0000
0400419,-9999.0000
0400434,-9999.0000
0400450,-9999.0000
0400456,-9999.0000
0400457,-9999.0000
0400458,-9999.0000
0400463,-9999.0000
0400480,-9999.0000
0400520,0.1575
0400600,-0.0333
0400630,-9999.0000
0400680,0.0623
0400720,-9999.0000
0400750,-9999.0000
0400790,0.0408
0400803,-9999.0000
0400840,0.0241
0400870,-9999.0000
0400885,-9999.0000
0400892,-9999.0000
0400904,-9999.0000
0400910,-9999.0000
0400960,0.0962
0401000,0.0787
0401050,0.0639
0401080,-0.0315
0401160,-9999.0000
0401180,0.0983
0401230,-9999.0000
0401260,-9999.0000
0401290,-9999.0000
0401330,-9999.0000
0401380,0.1089
0401410,-9999.0000
0401460,0.1167
0401500,0.1875
0401600,0.0478
0401650,-9999.0000
0401680,0.0500
0401710,0.0052
0401740,-9999.0000
0401760,0.0449
0401810,-9999.0000
0401870,0.1300
0401920,-9999.0000
0401940,0.1075
0402110,-9999.0000
0402130,-9999.0000
0402190,0.0399
0402220,-9999.0000
0402250,0.0261
0402320,0.0612
0402370,0.0622
0402400,0.1011
0402430,0.0254
0402460,-9999.0000
0402480,-9999.0000
0402490,-9999.0000
0402530,0.1061
0402600,-0.0037
0402690,0.0651
0402710,-9999.0000
0402740,-9999.0000
0402760,-9999.0000
0402790,0.0773
0402820,-9999.0000
0402860,0.0698
0402920,0.1360
0403010,0.0722
0403040,0.0456
0403060,0.0595
0403080,-0.0875
0403150,0.0750
0403200,0.2490
0403240,0.1590
0403290,0.0100
0403310,0.1350
0403400,0.0672
0403420,0.0447
0403450,-9999.0000
0403500,-0.0023
0403550,0.0365
0403660,-9999.0000
0403730,-0.0523
0403780,0.1974
0403820,0.0045
0403860,-9999.0000
0403870,0.0023
0403900,-9999.0000
0403950,0.1877
0403960,-0.0199
0403990,0.1153
0404010,0.1466
0404060,0.0827
0404170,-9999.0000
0404200,-9999.0000
0404230,0.0339
0404280,-0.0086
0404290,0.0944
0404320,0.0684
0404380,0.1519
0404410,0.1455
0404440,0.1437
0404500,0.0309
0404530,-9999.0000
0404570,0.0032
0404630,0.0545
0404720,0.1277
0404770,0.1085
0404820,0.0036
0404860,-9999.0000
0404920,-9999.0000
0404970,0.0168
0405030,0.0577
0405070,-9999.0000
0405100,-9999.0000
0405190,0.1203
0405220,-9999.0000
0405320,0.0687
