id,all_grd
0100001,-9999.0000
0100002,-9999.0000
0100003,-9999.0000
0100005,0.7923
0100006,0.8033
0100007,1.1599
0100008,1.1491
0100011,1.0066
0100012,0.9784
0100013,0.8638
0100018,-9999.0000
0100030,0.8601
0100060,0.9142
0100090,0.7650
0100100,0.8308
0100120,0.9168
0100180,0.7475
0100185,0.9337
0100188,-9999.0000
0100189,0.8163
0100190,-9999.0000
0100194,-9999.0000
0100210,0.9494
0100240,0.9977
0100270,0.7982
0100300,0.7999
0100330,0.6630
0100360,0.9449
0100390,0.7849
0100420,0.8456
0100450,0.9821
0100480,0.6655
0100510,0.7572
0100540,0.7358
0100600,0.8440
0100630,0.9499
0100660,0.7296
0100690,0.5722
0100720,0.7744
0100750,0.9092
0100780,0.7803
0100810,0.8075
0100840,0.7987
0100870,0.7630
0100900,0.9640
0100930,0.7838
0100960,0.8979
0100990,0.9763
0101020,0.8045
0101050,1.0945
0101080,0.8150
0101110,0.8010
0101140,0.8910
0101170,0.8700
0101200,1.0114
0101230,0.8074
0101260,0.9108
0101290,0.8412
0101320,0.9217
0101350,0.7695
0101380,0.7791
0101410,0.9582
0101440,0.6603
0101470,0.8078
0101530,0.9409
0101560,1.0424
0101590,0.6023
0101620,0.8066
0101640,0.9493
0101660,0.9720
0101680,0.6258
0101690,0.9159
0101710,0.7758
0101720,0.7737
0101730,1.0530
0101740,0.9020
0101760,1.0516
0101770,0.9212
0101800,0.9455
0101830,0.7852
0101860,1.0042
0101890,0.7440
0101920,0.8068
0101950,0.7131
0101980,0.9227
0102010,0.9098
0102040,0.7851
0102070,0.9368
0102100,0.8414
0102130,0.8101
0102160,0.8471
0102190,0.6549
0102220,0.9064
0102250,0.9311
0102310,0.8141
0102350,0.9283
0102370,0.7179
0102400,0.7769
0102430,0.5813
0102480,0.8402
0102490,1.0052
0102520,1.0721
0102550,0.8764
0102580,0.9049
0102610,0.8982
0102635,0.9985
0102640,0.8616
0102650,0.8410
0102670,0.4519
0102700,0.8576
0102730,0.8810
0102760,0.8789
0102790,0.8455
0102820,0.8684
0102850,0.8866
0102880,0.8050
0102910,0.6917
0102940,0.9731
0102970,0.5055
0103000,0.8571
0103030,0.9950
0103062,0.9676
0103090,0.8477
0103120,0.9254
0103150,0.7273
0103180,0.8074
0103210,0.9358
0103240,0.8951
0103270,0.7008
0103300,0.7907
0103330,0.8971
0103360,0.8995
0103390,0.8681
0103420,0.7359
0103430,0.9427
0103450,0.9184
0103480,0.7173
0103510,0.5909
0103540,0.7503
0103580,0.7735
0200001,1.1823
0200003,0.8612
0200004,0.9094
0200005,1.0593
0200007,-9999.0000
0200010,-9999.0000
0200020,0.9400
0200030,-9999.0000
0200050,1.1131
0200060,0.6929
0200070,1.0896
0200090,1.0430
0200100,1.0404
0200120,0.9138
0200130,-9999.0000
0200150,1.0479
0200180,1.0433
0200210,1.2174
0200240,1.0288
0200270,1.1413
0200300,-9999.0000
0200330,-9999.0000
0200360,-9999.0000
0200390,1.0381
0200450,-9999.0000
0200480,1.0017
0200485,0.9991
0200510,1.0189
0200520,-9999.0000
0200525,0.9553
0200540,-9999.0000
0200570,1.0779
0200600,0.9849
0200610,0.9836
0200625,0.9376
0200630,-9999.0000
0200660,1.1025
0200670,-9999.0000
0200680,-9999.0000
0200690,-9999.0000
0200700,-9999.0000
0200710,0.9852
0200715,-9999.0000
0200720,1.2438
0200730,-9999.0000
0200760,1.0877
0200770,1.1624
0200775,0.8947
0200780,1.0053
0200800,-9999.0000
0200810,-9999.0000
0200840,-9999.0000
0200862,1.0650
0400001,1.0286
0400003,1.0675
0400004,1.0621
0400005,-9999.0000
0400021,1.1393
0400022,-9999.0000
0400023,1.0945
0400026,1.1897
0400082,-9999.0000
0400163,-9999.0000
0400212,1.1122
0400295,0.8877
0400315,-9999.0000
0400419,-9999.0000
0400434,-9999.0000
0400450,-9999.0000
0400456,-9999.0000
0400457,-9999.0000
0400458,-9999.0000
0400463,-9999.0000
0400480,-9999.0000
0400520,1.2804
0400600,0.8774
0400630,-9999.0000
0400680,1.0427
0400720,-9999.0000
0400750,-9999.0000
0400790,0.9901
0400803,-9999.0000
0400840,1.0647
0400870,-9999.0000
0400885,-9999.0000
0400892,-9999.0000
0400904,-9999.0000
0400910,-9999.0000
0400960,1.1337
0401000,0.9003
0401050,1.0683
0401080,1.0337
0401160,-9999.0000
0401180,1.0915
0401230,-9999.0000
0401260,-9999.0000
0401290,-9999.0000
0401330,-9999.0000
0401380,1.0554
0401410,-9999.0000
0401460,1.0689
0401500,1.1196
0401600,1.0064
0401650,-9999.0000
0401680,1.0031
0401710,1.0571
0401740,-9999.0000
0401760,1.0144
0401810,-9999.0000
0401870,1.1488
0401920,-9999.0000
0401940,1.0868
0402110,-9999.0000
0402130,-9999.0000
0402190,-9999.0000
0402220,-9999.0000
0402250,0.9828
0402320,0.8824
0402370,1.0989
0402400,1.1620
0402430,1.0319
0402460,-9999.0000
0402480,-9999.0000
0402490,-9999.0000
0402530,1.0570
0402600,0.9826
0402690,1.0195
0402710,-9999.0000
0402740,-9999.0000
0402760,-9999.0000
0402790,1.2248
0402820,-9999.0000
0402860,1.0563
0402920,1.1545
0403010,1.0735
0403040,1.0044
0403060,1.0103
0403080,0.9891
0403150,1.1555
0403200,1.0443
0403240,1.1905
0403290,0.8272
0403310,1.1090
0403400,1.0522
0403420,1.0837
0403450,-9999.0000
0403500,0.9457
0403550,1.0280
0403660,-9999.0000
0403730,0.9110
0403780,1.1408
0403820,0.8633
0403860,-9999.0000
0403870,0.8386
0403900,-9999.0000
0403950,1.1148
0403960,0.9897
0403990,1.0177
0404010,1.1150
0404060,1.0931
0404170,-9999.0000
0404200,-9999.0000
0404230,1.0449
0404280,0.9769
0404290,1.1215
0404320,1.0817
0404380,1.1810
0404410,1.0091
0404440,1.1926
0404500,1.0404
0404530,-9999.0000
0404570,0.7986
0404630,0.9907
0404720,0.9117
0404770,1.2360
0404820,0.8696
0404860,-9999.0000
0404920,-9999.0000
0404970,1.0160
0405030,1.0982
0405070,-9999.0000
0405100,-9999.0000
0405190,1.1151
0405220,-9999.0000
0405320,0.8274
0405340,-9999.0000
0405360,-9999.0000
0405400,1.1382
0405430,1.0643
0405460,0.9065
0405500,-9999.0000
0405530,1.0589
0405640,1.0575
