id,all_ses
0100001,0.6114
0100003,-0.0025
0100005,-0.6363
0100006,-0.2154
0100007,1.2438
0100008,1.3470
0100011,0.0476
0100012,-0.1019
0100013,1.4345
0100030,-0.4932
0100060,-1.4819
0100090,-2.2052
0100100,-0.2036
0100120,-0.3244
0100180,-0.9870
0100185,-0.5230
0100210,0.7125
0100240,0.3771
0100270,0.1422
0100300,-1.1551
0100330,-2.6749
0100360,0.0771
0100390,-2.2229
0100420,-0.2266
0100450,-1.4729
0100480,-2.1376
0100510,-1.7349
0100540,-0.3723
0100600,-0.4824
0100630,-0.3416
0100660,-0.6848
0100690,-1.3933
0100720,-1.2770
0100750,-0.1944
0100780,-0.4358
0100810,-0.1661
0100840,-0.3449
0100870,-1.9781
0100900,-1.0459
0100930,-0.4394
0100960,-0.6679
0100990,-0.7113
0101020,-0.0185
0101050,-0.5791
0101080,-0.2346
0101110,-2.0240
0101140,-0.6464
0101170,-0.7887
0101200,-0.3314
0101230,-0.7951
0101260,-1.4625
0101290,0.0054
0101320,-0.1912
0101350,-1.3050
0101380,0.2811
0101410,-1.7802
0101440,-1.9541
0101470,-0.0973
0101530,-1.0920
0101560,-0.4540
0101590,-0.1707
0101620,-1.7077
0101640,-0.0229
0101660,-0.7785
0101680,-2.0779
0101690,-0.8571
0101710,-1.7245
0101720,-0.7647
0101730,0.4817
0101740,-1.1718
0101760,1.1018
0101770,-0.3895
0101800,-0.2454
0101830,-0.3517
0101860,-0.1253
0101890,-0.7113
0101920,0.1671
0101950,-0.8391
0101980,-2.5587
0102010,0.1396
0102040,-0.3020
0102070,-0.0543
0102100,0.3021
0102130,-1.6930
0102160,-2.3712
0102190,-2.2473
0102220,0.7371
0102250,-0.6405
0102310,-0.4542
0102350,-0.9549
0102370,-1.1647
0102400,-2.0446
0102430,-1.0462
0102480,0.3692
0102490,2.3751
0102520,0.4733
0102550,-0.2257
0102580,-0.8336
0102610,-1.5119
0102635,-0.3532
0102640,-0.6230
0102650,-0.3531
0102670,-2.6694
0102700,-1.5738
0102730,-1.9160
0102760,-0.7616
0102790,-1.7544
0102820,-0.0719
0102850,-1.8946
0102880,-1.1626
0102910,-0.8972
0102940,-0.3016
0102970,-3.1235
0103000,-1.3498
0103030,0.6669
0103062,0.2585
0103090,-3.0190
0103120,-1.3253
0103150,-2.1185
0103180,-0.6071
0103210,-0.7831
0103240,-0.0115
0103270,-2.7315
0103300,-0.6145
0103330,-1.1826
0103360,-0.6588
0103390,0.3545
0103420,-0.1534
0103430,1.9518
0103450,-0.8537
0103480,-0.4287
0103510,-2.8384
0103540,-0.5182
0103580,-0.4160
0200001,-0.8269
0200003,-2.2676
0200004,-2.4482
0200005,-3.4661
0200007,0.4622
0200020,-2.5584
0200050,-1.7321
0200070,0.0550
0200090,-0.0282
0200100,0.9152
0200120,0.8273
0200150,0.2518
0200180,0.6004
0200210,0.9355
0200240,0.9668
0200390,0.3764
0200480,0.1159
0200485,-0.8573
0200510,0.3846
0200520,-1.4727
0200525,-1.4951
0200600,0.7212
0200610,-0.6786
0200625,-1.6496
0200700,0.2775
0200710,-1.6567
0200720,1.1024
0200730,-0.8250
0200760,-1.0884
0200780,1.5341
0200862,-2.1416
0400001,1.7798
0400003,-0.3626
0400021,-0.2019
0400023,-2.8527
0400082,-0.9850
0400212,0.2049
0400295,-0.7954
0400450,0.2763
0400600,-1.8268
0400680,0.0636
0400720,-0.0357
0400790,-0.0422
0400960,-0.0926
0401000,0.9157
0401050,-1.4257
0401180,-1.3807
0401380,0.2136
0401410,0.2635
0401460,0.3716
0401500,-2.0049
0401600,-0.4087
0401680,-1.2024
0401710,-0.6359
0401740,-1.1193
0401760,1.8011
0401810,-1.9817
0401870,0.9753
0401940,-2.0892
0402320,-0.3843
0402370,-0.3882
0402400,-1.0170
0402430,-1.5379
0402530,-1.4406
0402690,0.2942
0402790,-3.6911
0402860,0.5381
0402920,0.3978
0403010,-0.6293
0403040,1.0948
0403060,-0.9151
0403080,-0.3250
0403150,0.1232
0403200,-3.0406
0403240,-2.0580
0403290,-2.0513
0403310,-1.2361
0403400,0.9570
0403420,-1.2678
0403450,-0.6313
0403500,-0.0706
0403780,1.0091
0403820,-1.1877
0403870,-0.1570
0403960,-1.6460
0403990,0.3067
0404010,0.5411
0404060,-1.7541
0404230,0.9736
0404280,-0.1559
0404290,0.3112
0404320,0.5421
0404380,0.5566
0404410,-0.6035
0404440,-0.4380
0404500,0.4402
0404570,-0.6641
0404630,0.5103
0404720,0.7023
0404770,-1.9081
0404970,0.1248
0405030,-1.1526
0405070,0.8709
0405190,-0.2841
0405320,0.4589
0405400,-2.0096
0405430,-0.8940
0405460,0.2818
0405530,-1.8147
0405670,-1.9919
0405820,-0.9261
0405850,0.2966
0405880,-0.5263
0405930,0.7370
0405980,-1.3910
0406070,-0.7687
0406210,-0.2455
0406250,0.5489
0406300,-2.2381
0406330,-0.9885
0406440,0.5778
0406580,0.0063
0406730,0.5025
0406740,-1.3609
0406810,1.0780
0406850,-0.2884
0406870,-1.6885
0406900,0.9081
0406960,-2.1287
0407020,-0.6975
0407080,-1.2552
0407130,0.0139
0407170,0.4877
0407200,-2.9785
0407240,-0.3558
0407300,0.7878
0407500,-0.0321
0407520,-0.5538
0407530,-2.1490
0407570,1.1206
0407700,-0.3018
0407750,0.9357
0407820,0.6902
0407860,-0.2745
0407890,-2.0876
0408170,-1.5778
0408280,1.4712
0408310,-0.7888
0408340,0.6217
0408410,0.0077
0408490,-0.9460
0408520,-0.1972
0408600,-0.6053
0408680,-1.3909
0408800,-0.6757
0408820,-0.0883
0408850,1.0994
0408910,-1.0404
0409060,-0.5478
0409090,-0.8322
0409160,-3.5621
0409190,-1.3012
0409250,0.1556
0409310,-0.7018
0409390,-1.3278
0409430,-2.6178
0409460,-0.6252
0409600,-0.9690
0409630,-1.3118
0409733,0.5508
0499997,-0.8595
