id,diffexplch_blkwht
0100005,0.0000
0100006,-0.0026
0100007,0.0244
0100008,0.0020
0100011,0.0000
0100012,0.0003
0100013,0.0000
0100030,-0.0000
0100060,-0.0000
0100090,0.0322
0100100,0.0000
0100120,0.0072
0100180,0.0001
0100185,0.0000
0100188,0.0000
0100210,0.0030
0100240,0.0560
0100270,0.0741
0100300,0.0000
0100330,0.0188
0100360,0.0349
0100390,0.0320
0100420,-0.0252
0100450,0.0000
0100480,0.0016
0100510,0.0418
0100540,0.0705
0100600,0.1188
0100630,0.0317
0100660,0.0019
0100690,0.0441
0100720,0.0025
0100750,0.0039
0100780,0.0165
0100810,0.0199
0100840,0.0353
0100870,0.0433
0100900,0.0000
0100930,0.0626
0100960,0.0030
0100990,0.0214
0101020,0.0885
0101050,0.0861
0101080,0.0000
0101110,0.1919
0101140,0.1517
0101170,0.1071
0101200,0.0000
0101230,0.2185
0101260,0.0000
0101290,0.0161
0101320,0.0273
0101350,0.1732
0101380,0.0005
0101410,0.0000
0101440,-0.0167
0101470,0.0050
0101530,0.0690
0101560,0.0000
0101590,-0.0487
0101620,0.1318
0101640,0.0000
0101660,0.0006
0101680,-0.0130
0101690,0.0000
0101710,0.2805
0101720,0.0000
0101730,0.0425
0101740,0.1331
0101760,0.0167
0101770,0.0803
0101800,0.3149
0101830,0.0615
0101860,0.0000
0101890,0.1162
0101920,0.1779
0101950,0.0026
0101980,0.0000
0102010,-0.0184
0102040,0.1697
0102070,0.0841
0102100,0.0263
0102130,0.0000
0102160,-0.0011
0102190,-0.0010
0102220,-0.0197
0102250,0.2708
0102310,-0.0207
0102350,0.0000
0102370,0.2004
0102400,0.2053
0102430,0.3240
0102480,0.0224
0102490,0.0030
0102520,0.0000
0102550,0.0000
0102580,0.0366
0102610,0.0000
0102635,-0.0042
0102640,0.0026
0102650,0.0036
0102670,0.0096
0102700,0.1377
0102730,0.2192
0102760,0.0000
0102790,0.0874
0102820,0.0201
0102850,0.0000
0102880,-0.0234
0102910,0.0000
0102940,0.0055
0102970,0.1042
0103000,0.0000
0103030,0.0673
0103062,0.0223
0103090,0.0245
0103120,0.0000
0103150,0.0954
0103180,0.0810
0103210,0.0808
0103240,0.0000
0103270,0.0000
0103300,0.0000
0103330,0.0000
0103360,0.3492
0103390,0.1108
0103420,0.0000
0103430,0.0054
0103450,0.0648
0103480,0.1064
0103510,0.0000
0103540,0.0000
0103580,0.0105
0200001,-0.0288
0200003,-0.0079
0200007,0.0945
0200020,0.3773
0200030,0.0275
0200050,0.0640
0200060,-0.0003
0200070,-0.0428
0200090,-0.2674
0200100,0.0140
0200120,-0.1152
0200150,0.0312
0200180,0.2238
0200210,0.0148
0200240,-0.0009
0200270,0.0208
0200300,0.0000
0200390,0.0085
0200480,0.0332
0200485,0.0179
0200510,0.0049
0200540,0.0000
0200570,0.0287
0200600,0.0571
0200610,-0.0799
0200625,-0.0564
0200660,0.0000
0200680,0.0000
0200690,0.0000
0200700,-0.0254
0200720,0.0000
0200730,0.3215
0200770,-0.0326
0200780,-0.0004
0200800,-0.0178
0200810,0.0000
0200862,-0.0064
0400001,-0.0016
0400003,0.0059
0400004,0.0000
0400005,0.0000
0400021,0.0442
0400022,0.0000
0400023,0.0000
0400026,-0.0132
0400163,0.0000
0400212,-0.0087
0400295,-0.0134
0400463,0.1783
0400480,0.0000
0400520,0.0000
0400600,0.0490
0400630,0.0000
0400680,0.1336
0400790,-0.0002
0400840,0.0000
0400870,0.0000
0400910,0.0000
0400960,0.1012
0401000,0.0000
0401050,0.0224
0401080,0.0000
0401180,0.0000
0401260,0.0000
0401290,0.0000
0401380,0.0358
0401460,0.0278
0401500,0.0045
0401600,0.0418
0401650,0.0000
0401680,-0.0067
0401710,0.0487
0401760,0.0021
0401870,0.1067
0401940,-0.0331
0402130,0.0000
0402190,0.0000
0402220,0.0000
0402250,0.0000
0402320,0.1682
0402370,-0.0104
0402400,-0.0133
0402430,0.0807
0402480,0.0000
0402490,0.0000
0402530,0.0517
0402600,0.0000
0402690,0.0822
0402740,0.0000
0402760,0.0000
0402790,0.0000
0402860,0.0704
0402920,-0.0095
0403010,0.0204
0403040,0.0071
0403060,0.0021
0403080,-0.0382
0403150,0.0000
0403240,-0.2517
0403290,0.0000
0403310,0.0000
0403400,0.0226
0403420,0.0344
0403500,0.0039
0403550,0.0000
0403730,0.0000
0403780,0.0218
0403820,-0.0007
0403860,0.0134
0403870,0.0266
0403960,0.0171
0403990,0.0147
0404010,-0.0000
0404060,0.0396
0404170,0.0000
0404230,0.0760
0404280,0.0307
0404290,0.0485
0404320,0.0320
0404380,0.0626
0404410,0.0000
0404440,0.0673
0404500,0.1269
0404530,0.0000
0404570,-0.0094
0404630,-0.0072
0404720,0.0490
0404770,0.0000
0404820,0.0051
0404920,0.0000
0404970,0.1539
0405030,-0.0001
0405100,0.0000
0405190,0.0366
0405220,0.0000
0405320,0.0000
0405340,0.0000
0405360,0.0000
0405400,0.0130
0405460,0.0108
0405530,-0.0055
0405640,0.0349
0405670,0.0315
0405820,0.0072
0405850,0.0000
0405880,0.0056
0405930,0.1661
0405980,-0.0049
0406070,0.0009
0406150,0.0000
0406210,0.0344
0406250,0.1140
0406300,0.2190
0406360,0.0000
0406440,0.0003
0406480,0.0000
0406510,0.0000
0406580,0.0000
0406630,0.0000
0406730,0.0418
0406740,0.0000
0406780,-0.0086
0406810,0.0113
0406850,0.0000
0406870,-0.0909
0406900,0.0000
0406960,0.0000
0407020,0.0000
0407080,0.0799
0407130,0.0006
0407170,-0.0730
0407240,0.0300
0407300,-0.0068
0407430,0.0000
0407520,0.0818
0407570,0.1524
0407630,0.0000
0407700,0.0068
0407750,0.0908
0407770,0.0000
0407820,-0.0012
0407860,0.0000
0407890,0.0020
0407920,0.0000
0408020,0.0000
0408080,0.0000
0408130,0.0000
0408170,0.0265
0408230,0.0000
0408280,-0.0018
0408310,0.1234
0408410,0.0000
0408490,-0.0024
0408550,0.0094
0408600,0.0002
0408640,0.0000
0408680,-0.0001
0408800,0.1483
0408820,0.0137
0408850,0.0062
0408880,0.0000
0409060,0.0404
0409090,0.0000
0409120,0.0000
0409160,0.0155
0409190,-0.1579
0409250,0.0000
0409310,0.0074
0409390,0.0000
0409430,-0.0269
0409460,-0.0010
0409510,0.0000
0409540,0.0000
0409600,0.0476
0409733,0.0656
0409734,0.0042
0500001,0.0071
0500006,0.0000
0500009,0.0000
0500012,-0.0179
0500015,0.0004
0500016,0.0000
0500017,0.0026
0500019,0.0358
0500020,0.0000
0500021,0.0000
0500023,0.0000
0500026,0.0104
0500028,-0.0000
0500029,0.0000
0500030,0.0000
0500032,0.0000
0500035,0.0000
0500036,0.0000
0500041,0.0000
0500042,0.0201
0500043,0.0000
0500044,0.0000
0500045,0.0486
0500046,0.0000
0500047,0.0000
0500048,0.0066
0500049,0.0062
0500051,0.0000
0500065,0.0000
0500067,0.0083
0500068,0.0765
0500070,0.0124
0500071,0.0000
0500072,-0.1158
0500073,-0.0158
0500076,0.0461
0500079,-0.0013
0500082,-0.0231
0500390,-0.0085
0500405,-0.0079
0502250,0.0000
0502280,0.0000
0502430,0.0000
0502550,0.0000
0502580,0.0000
0502610,0.0000
0502670,0.0014
0502700,0.0000
0502730,0.0000
0502790,-0.0001
0502820,0.0000
0502880,0.0017
0502960,0.0449
0503030,0.0000
0503060,0.0104
0503090,0.0000
0503150,0.0000
0503240,0.0000
0503300,0.0030
0503320,-0.0063
0503420,0.0000
0503450,0.0000
0503480,0.0000
0503510,0.0000
0503630,0.0000
0503640,0.0000
0503690,0.0240
0503710,0.0050
0503750,0.0092
0503770,0.0000
0503960,0.0000
0504020,0.0000
0504050,-0.0034
0504080,0.0000
0504110,0.0000
0504170,0.0000
0504200,0.0000
0504350,0.0000
0504370,0.0000
0504380,0.0000
0504410,0.0000
0504590,0.0377
0504680,0.0000
0504740,0.0000
0504800,0.0000
0504860,0.0000
0504890,0.0000
0504930,0.0000
0504980,0.0000
0505070,0.0000
0505170,0.0000
0505190,0.0000
0505340,0.0000
0505410,-0.0008
0505430,0.0000
0505470,0.0000
0505500,0.0000
0505550,0.0000
0505580,0.0000
0505680,0.0316
0505760,0.0000
0505850,0.0000
0505970,0.0000
0506060,0.0000
0506090,0.0018
0506120,0.1332
0506150,0.0000
0506210,0.0000
0506240,0.0000
0506270,0.0004
0506330,0.1818
0506360,0.0000
0506420,0.0000
0506540,0.0000
0506630,0.0000
0506690,0.0000
0506840,0.0000
0506870,0.0000
0506900,0.0027
0506930,0.0000
0506990,0.0019
0507110,0.0000
0507140,0.0000
0507170,-0.0011
0507230,0.0000
0507290,0.0098
0507320,0.0000
0507350,0.0258
0507380,-0.0156
0507410,0.0000
0507530,0.0000
0507560,0.0000
0507620,0.0000
0507680,-0.0116
0507710,0.0000
0507740,0.0000
0507770,0.0000
0507840,0.0003
0507860,0.0022
0507890,0.0337
0507920,0.0000
0507990,0.0000
0508010,0.0000
0508040,0.0565
0508130,0.0311
0508240,-0.0089
0508280,0.0862
0508340,0.0019
0508400,0.0235
0508490,0.0000
0508610,0.0000
0508640,0.0013
0508670,0.0000
0508700,0.0000
0508730,0.0000
0508940,-0.0362
0509000,0.2679
0509060,0.0000
0509150,0.0000
0509190,0.0000
0509240,0.0000
0509270,0.0000
0509330,0.0000
0509360,0.0000
0509390,0.0000
0509420,0.0003
0509480,-0.0093
0509510,-0.0001
0509540,0.0000
0509570,0.0000
0509600,0.0000
0509630,0.0000
0509720,-0.0029
0509750,0.0000
0509780,-0.0019
0509840,-0.0001
0509990,0.0000
0510080,0.0000
0510170,0.0000
0510200,-0.0188
0510260,0.0000
0510290,0.0000
0510320,0.0070
0510380,0.0000
0510410,0.0000
0510440,0.0005
0510560,0.0000
0510620,0.0000
0510680,0.2330
0510920,0.0000
0510950,0.0190
0510980,0.0000
0511010,0.0000
0511070,0.0000
0511130,0.0000
0511220,0.0000
0511340,0.0000
0511370,0.0000
0511610,0.0000
0511700,0.0000
0511730,0.0000
0511760,0.0000
0511820,0.0000
0511850,0.0633
0511880,0.0000
0511970,0.0076
0512000,0.0000
0512060,0.0267
0512090,0.0000
0512180,0.0000
0512210,0.0196
0512420,0.0000
0512450,0.0000
0512480,-0.0049
0512510,0.0000
0512520,-0.0000
0512540,0.0000
0512570,0.0000
0512630,0.0000
0512660,0.0875
0512870,0.0000
0512930,0.0000
0512960,0.0000
0513080,-0.0004
0513110,0.0235
0513230,0.0000
0513260,0.0000
0513350,0.0000
0513380,0.0000
0513410,0.0148
0513530,0.0098
0513560,0.0000
0513680,0.0000
0513930,0.0000
0513950,0.0000
0514010,0.0000
0514040,0.0000
0514140,0.0021
0514160,0.0015
0514370,0.0000
0514400,0.0000
0514430,0.0000
0514490,0.0000
0600001,0.0085
0600002,0.0000
0600003,0.0000
0600006,0.0010
0600007,0.0000
0600011,0.1314
0600012,0.0294
0600013,0.0196
0600014,0.0361
0600015,0.0840
0600016,0.2228
0600017,0.1392
0600018,0.0025
0600019,-0.0021
0600020,0.0002
0600021,0.0000
0600022,-0.0059
0600025,0.0003
0600026,-0.0280
0600027,0.0326
0600028,0.0191
0600029,0.0159
0600031,-0.0353
