id,diffexplch_flnfl
0100005,0.0000
0100006,0.0510
0100007,0.0439
0100008,0.0055
0100011,0.0000
0100012,0.0001
0100013,0.0000
0100030,0.0000
0100060,0.0000
0100090,0.0392
0100100,0.0000
0100120,0.0173
0100180,0.0001
0100185,0.0000
0100188,0.0000
0100210,0.0029
0100240,0.0568
0100270,0.1169
0100300,0.0000
0100330,0.0202
0100360,0.0098
0100390,0.1249
0100420,0.0500
0100450,0.0000
0100480,0.0047
0100510,0.0250
0100540,0.0492
0100600,0.0865
0100630,0.0208
0100660,0.0107
0100690,0.0261
0100720,0.0075
0100750,0.0029
0100780,0.0119
0100810,0.0045
0100840,0.0087
0100870,0.0315
0100900,0.0000
0100930,0.0325
0100960,0.0020
0100990,0.0344
0101020,0.0183
0101050,0.0791
0101080,0.0000
0101110,0.1208
0101140,0.0648
0101170,0.1484
0101200,0.0000
0101230,0.2267
0101260,0.0000
0101290,0.0188
0101320,0.0496
0101350,0.1149
0101380,0.0620
0101410,0.0000
0101440,0.0496
0101470,0.0022
0101530,0.0887
0101560,0.0000
0101590,0.0371
0101620,0.1905
0101640,0.0000
0101660,0.0109
0101680,0.0123
0101690,0.0000
0101710,0.1741
0101720,0.0000
0101730,0.0260
0101740,0.0967
0101760,0.0110
0101770,0.0515
0101800,0.2964
0101830,0.0326
0101860,0.0000
0101890,0.0712
0101920,0.1160
0101950,0.0167
0101980,0.0000
0102010,0.0461
0102040,0.0566
0102070,0.0577
0102100,0.0789
0102130,0.0000
0102160,0.0039
0102190,0.0017
0102220,0.0515
0102250,0.1981
0102310,0.0137
0102350,0.0000
0102370,0.1516
0102400,0.1045
0102430,0.2916
0102480,0.0456
0102490,0.0066
0102520,0.0000
0102550,0.0000
0102580,0.0396
0102610,0.0000
0102635,0.0028
0102640,0.0027
0102650,0.0065
0102670,0.0054
0102700,0.1431
0102730,0.1511
0102760,0.0000
0102790,0.0636
0102820,0.0306
0102850,0.0000
0102880,0.0523
0102910,0.0000
0102940,0.0043
0102970,0.0206
0103000,0.0000
0103030,0.1219
0103062,0.0737
0103090,0.0319
0103120,0.0000
0103150,0.0672
0103180,0.0553
0103210,0.0382
0103240,0.0000
0103270,0.0000
0103300,0.0000
0103330,0.0000
0103360,0.2291
0103390,0.0988
0103420,0.0000
0103430,0.0118
0103450,0.0328
0103480,0.0732
0103510,0.0033
0103540,0.0000
0103580,0.0060
0200001,0.1267
0200003,0.0395
0200004,0.0312
0200005,0.0000
0200007,0.0582
0200010,0.0124
0200020,0.1058
0200030,0.0076
0200050,0.1119
0200060,0.0001
0200070,0.0352
0200090,0.5288
0200100,0.0156
0200120,0.0260
0200130,0.0000
0200150,0.0291
0200180,0.2371
0200210,0.0283
0200240,0.0012
0200270,0.0157
0200300,0.0000
0200330,0.0000
0200360,0.0000
0200390,0.0798
0200450,0.0000
0200480,0.0666
0200485,0.1509
0200510,0.0697
0200520,0.1273
0200525,0.0000
0200540,0.0000
0200570,0.0923
0200600,0.0627
0200610,0.1044
0200625,0.1145
0200630,0.0000
0200660,0.0000
0200670,0.0171
0200680,0.0000
0200690,0.0000
0200700,0.0780
0200710,0.0615
0200715,0.0000
0200720,0.0000
0200730,0.2485
0200760,0.1310
0200770,0.0308
