id,diffexplch_hspwht
0100005,0.0000
0100006,0.0937
0100007,0.0486
0100008,0.0022
0100011,0.0000
0100012,0.0002
0100013,0.0000
0100030,0.0001
0100060,0.0000
0100090,-0.0216
0100100,0.0000
0100120,0.0109
0100180,-0.0000
0100185,0.0000
0100188,0.0000
0100210,0.0006
0100240,-0.0349
0100270,0.0933
0100300,0.0000
0100330,0.0079
0100360,0.0058
0100390,0.0362
0100420,0.0910
0100450,0.0000
0100480,0.0000
0100510,0.0278
0100540,0.0326
0100600,0.0117
0100630,-0.0117
0100660,0.0096
0100690,0.0448
0100720,-0.0044
0100750,0.0028
0100780,0.0295
0100810,0.0063
0100840,0.0260
0100870,0.0572
0100900,0.0000
0100930,0.0186
0100960,-0.0015
0100990,0.0412
0101020,0.0239
0101050,0.0270
0101080,0.0000
0101110,0.0897
0101140,0.1177
0101170,0.2015
0101200,0.0000
0101230,0.1058
0101260,0.0000
0101290,0.0128
0101320,0.0339
0101350,0.0590
0101380,0.0663
0101410,0.0000
0101440,0.0129
0101470,0.0010
0101530,0.0933
0101560,0.0000
0101590,0.0769
0101620,0.1801
0101640,0.0000
0101660,0.0040
0101680,-0.0032
0101690,0.0000
0101710,0.0382
0101720,0.0000
0101730,0.0470
0101740,0.0656
0101760,0.0149
0101770,-0.0002
0101800,0.3214
0101830,0.0171
0101860,0.0000
0101890,0.0312
0101920,0.1745
0101950,0.0033
0101980,0.0000
0102010,0.0124
0102040,0.0673
0102070,0.0568
0102100,0.1119
0102130,0.0000
0102160,0.0000
0102190,0.0003
0102220,-0.0135
0102250,0.1238
0102310,-0.0193
0102350,0.0000
0102370,0.0569
0102400,0.0220
0102430,0.2941
0102480,0.0633
0102490,0.0000
0102520,0.0000
0102550,0.0000
0102580,0.0929
0102610,0.0000
0102635,-0.0028
0102640,-0.0014
0102650,0.0107
0102670,0.0000
0102700,0.0849
0102730,-0.0334
0102760,0.0000
0102790,0.1342
0102820,0.0197
0102850,0.0000
0102880,-0.0578
0102910,0.0000
0102940,-0.0045
0102970,0.0724
0103000,0.0000
0103030,0.0584
0103062,0.0699
0103090,-0.0014
0103120,0.0000
0103150,0.1626
0103180,0.0356
0103210,-0.0022
0103240,0.0000
0103270,0.0001
0103300,0.0000
0103330,0.0000
0103360,0.2872
0103390,0.1260
0103420,0.0000
0103430,0.0002
0103450,0.0169
0103480,0.1157
0103510,0.0265
0103540,0.0000
0103580,0.0105
0200001,-0.0289
0200007,0.0197
0200010,0.0007
0200030,0.0230
0200050,0.0206
0200060,-0.0002
0200070,0.0034
0200090,-0.1737
0200100,0.0192
0200120,0.0202
0200130,0.0000
0200150,0.0228
0200180,0.1463
0200210,0.0117
0200240,0.0029
0200270,0.0141
0200300,0.0000
0200390,-0.0001
0200450,0.0000
0200480,0.0445
0200485,0.1048
0200510,0.0030
0200520,0.0118
0200525,0.0000
0200540,0.0000
0200570,0.0932
0200600,0.0336
0200610,-0.0743
0200625,-0.0638
0200660,0.0000
0200670,0.0000
0200690,0.0000
0200700,-0.0068
0200710,-0.0854
0200720,0.0000
0200730,0.0343
0200760,0.0000
0200770,-0.0122
0200775,0.2345
0200780,-0.0004
0200800,0.0250
0200810,0.0000
0200840,0.0460
0200862,-0.0016
0400001,0.0033
0400003,0.0059
0400004,0.0000
0400005,0.0000
0400021,0.0327
0400022,0.0000
0400023,0.0000
0400026,0.0001
0400163,0.0000
0400212,-0.0059
0400295,0.0357
0400434,0.0000
0400463,0.1417
0400480,0.0000
0400520,0.0000
0400600,0.0648
0400630,0.0000
0400680,0.1215
0400750,0.0000
0400790,0.0175
0400840,0.0000
0400870,0.0000
0400910,0.0000
0400960,0.1751
0401000,0.0000
0401050,-0.0897
0401080,0.0000
0401180,0.0000
0401260,0.0000
0401290,0.0000
0401330,0.0000
0401380,0.0684
0401460,0.0242
0401500,0.0309
0401600,0.0475
0401650,0.0000
0401680,-0.0021
0401710,0.0490
0401760,0.0002
0401810,0.0000
0401870,0.2547
0401940,-0.0012
0402110,0.0000
0402130,0.0000
0402190,0.0000
0402220,0.0000
0402250,0.0000
0402320,0.1923
0402370,0.0451
0402400,0.0102
0402430,0.1078
0402480,0.0000
0402490,0.0000
0402530,0.0499
0402600,0.0000
0402690,0.1381
0402740,0.0000
0402760,0.0000
0402790,0.0000
0402860,0.1271
0402920,0.0156
0403010,0.0719
0403040,0.0011
0403060,0.0244
0403080,-0.0206
0403150,-0.0000
0403200,0.0000
0403240,-0.1036
0403290,0.0839
0403310,0.0000
0403400,0.0246
0403420,0.0506
0403500,-0.0030
0403550,0.0000
0403660,0.0000
0403730,0.0000
0403780,0.0116
0403820,0.0030
0403860,-0.0102
0403870,0.0260
0403900,0.0000
0403950,0.0162
0403960,0.0054
0403990,0.0225
0404010,0.0002
0404060,0.0000
0404170,0.0000
0404230,0.0594
0404280,0.0456
0404290,0.0908
0404320,0.1350
0404380,0.0330
0404410,0.0000
0404440,0.0899
0404500,0.1612
0404530,0.0000
0404570,0.0073
0404630,0.0008
0404720,0.0529
0404770,0.0000
0404820,0.0045
0404920,0.0000
0404970,0.2393
0405030,-0.0000
0405100,0.0000
0405190,0.0162
0405220,0.0000
0405320,0.0000
0405340,0.0000
0405360,0.0009
0405400,0.0020
0405430,0.0000
0405460,0.0090
0405530,0.0293
0405640,-0.0006
0405670,0.0430
0405730,0.0000
0405760,0.0000
0405820,0.0019
0405850,0.0000
0405880,0.0027
0405930,0.2914
0405980,0.0647
0406000,0.1484
0406070,-0.0017
0406150,0.0000
0406210,0.0491
0406250,0.1372
0406300,0.2782
0406360,0.0000
0406440,0.0037
0406480,0.0000
0406510,0.0000
0406580,0.0000
0406630,0.0000
0406730,0.0421
0406740,0.0000
0406780,0.0023
0406810,0.0235
0406850,0.0000
0406870,-0.0454
0406900,0.0000
0406960,0.0000
0407020,0.0000
0407080,0.0368
0407130,-0.0010
0407170,-0.0077
0407200,0.0099
0407240,0.0188
0407300,0.0189
0407380,0.0000
0407430,0.0000
0407500,0.0000
0407520,0.0578
0407570,0.2430
0407630,0.0000
0407680,0.0000
0407700,0.0127
0407750,0.1169
0407770,0.0000
0407820,0.0025
0407860,0.0000
0407890,0.0026
0407920,0.0000
0408020,0.0000
0408080,0.0000
0408130,0.0000
0408170,0.0382
0408230,0.0000
0408280,0.0034
0408310,0.1535
0408410,0.0000
0408430,0.0000
0408460,0.0000
0408490,0.0116
0408550,0.0057
0408600,0.0009
0408640,0.0000
0408680,0.0064
0408800,0.1935
0408820,0.0258
0408850,0.0042
0408880,0.0000
0409060,0.0194
0409090,0.0000
0409120,0.0000
0409160,-0.0170
0409190,0.0459
0409250,0.0000
0409310,0.0048
0409390,0.0000
0409430,-0.0719
0409460,0.0006
0409510,0.0000
0409540,0.0000
0409570,0.0000
0409600,0.0799
0409733,0.0557
0409734,0.0077
0500001,0.0080
0500006,0.0000
0500009,0.0000
0500012,0.0231
0500015,0.0009
0500016,0.0000
0500017,0.0097
0500019,0.0180
0500020,0.0000
0500021,0.0000
0500023,0.0000
0500026,-0.0026
0500028,-0.0000
0500029,0.0000
0500030,0.0000
0500032,0.0000
0500035,0.0000
0500036,0.0000
0500041,0.0000
0500042,0.0020
0500043,0.0000
0500044,0.0000
0500045,0.0357
0500046,0.0000
0500047,0.0000
0500048,0.0112
0500049,0.0160
0500051,0.0000
0500065,-0.0003
0500067,0.0010
0500068,0.0538
0500070,-0.0154
0500071,0.0000
0500072,-0.0850
0500073,-0.0086
0500076,0.0384
0500079,-0.0009
0500082,0.0095
0500390,0.0102
0500405,0.0099
0502250,0.0000
0502280,0.0000
0502430,0.0000
0502550,0.0000
0502580,0.0000
0502610,0.0000
0502670,0.0019
0502700,0.0000
0502730,0.0000
0502790,-0.0001
0502820,0.0000
0502880,0.0023
0502960,0.0636
0503030,0.0000
0503060,0.0130
0503090,0.0000
0503150,0.0000
0503240,0.0000
0503300,0.0029
0503320,-0.0100
0503420,0.0000
0503450,0.0000
0503480,0.0000
0503510,0.0000
0503630,0.0000
0503640,0.0000
0503690,0.0034
0503710,0.0334
0503750,0.0190
0503770,0.0000
0503840,0.0000
0503960,0.0000
0504020,0.0000
0504050,0.0026
0504080,0.0000
0504110,0.0000
0504170,0.0000
0504200,0.0000
0504350,0.0000
0504370,0.0000
0504380,0.0000
0504410,0.0000
0504560,0.0000
0504590,0.0219
0504680,0.0000
0504740,0.0000
0504800,0.0000
0504860,0.0000
0504890,0.0000
0504930,0.0000
0504980,0.0000
0505070,0.0000
0505170,0.0000
0505190,0.0000
0505340,0.0000
0505410,-0.0011
0505430,0.0000
0505470,0.0000
0505500,0.0000
0505580,0.0000
0505680,0.0214
0505760,0.0000
0505850,0.0000
0505970,0.0000
0506060,0.0000
0506090,-0.0016
0506120,0.1191
0506150,0.0000
0506210,0.0000
0506240,0.0000
0506270,0.0028
0506330,0.2293
0506360,0.0000
0506420,0.0000
0506540,0.0000
0506630,0.0000
0506690,0.0000
0506840,0.0000
0506870,0.0000
0506900,0.0019
0506930,0.0000
0506990,0.0017
0507110,0.0000
0507140,0.0000
0507170,0.0082
0507230,0.0000
0507290,0.0108
0507320,0.0000
0507350,-0.0185
0507380,0.0043
0507410,0.0000
0507530,0.0000
0507560,0.0000
0507620,0.0000
0507680,-0.0563
0507710,0.0000
0507740,0.0000
0507770,0.0000
0507840,0.0003
0507860,0.0052
0507890,0.0282
0507920,0.0000
0507990,0.0000
0508010,0.0000
0508040,0.0292
0508130,-0.0122
0508240,-0.0191
0508280,0.0662
0508340,0.0007
0508400,0.0275
0508490,0.0000
0508610,0.0000
0508640,0.0002
0508670,0.0000
0508700,0.0000
0508730,0.0000
0508940,-0.0001
0509000,0.3044
0509060,0.0000
0509150,0.0000
0509190,0.0000
0509240,0.0000
0509270,0.0000
0509330,0.0000
0509360,0.0000
0509390,0.0000
0509420,0.0000
0509480,0.0023
0509510,0.0000
0509540,0.0000
0509570,0.0000
0509600,0.0000
0509630,0.0000
0509720,-0.0285
0509750,0.0000
0509780,-0.0080
0509840,0.0000
0509990,0.0000
0510080,0.0000
0510170,0.0000
0510200,0.0149
0510260,0.0000
0510290,0.0000
0510320,0.0029
0510380,0.0000
0510410,0.0000
0510440,0.0037
0510560,0.0000
0510620,0.0000
0510680,0.2341
0510920,0.0000
0510950,0.0052
0510980,0.0000
0511010,0.0000
0511070,0.0000
0511130,0.0000
0511220,0.0000
0511340,0.0000
0511370,0.0000
0511610,0.0000
0511700,0.0000
0511730,0.0000
0511760,0.0000
0511820,0.0000
0511850,0.0588
0511880,0.0000
0511970,0.0852
0512000,0.0000
0512060,0.0346
0512090,0.0000
0512180,0.0000
0512210,0.0121
0512420,0.0000
0512450,0.0000
0512480,0.0016
0512510,0.0005
0512520,-0.0000
0512540,0.0000
0512570,0.0000
0512630,0.0000
0512660,0.1148
0512870,0.0000
0512930,0.0000
0512960,0.0004
0513080,-0.0000
0513110,0.0132
0513230,0.0000
0513350,0.0000
0513380,0.0000
0513410,0.0643
0513440,0.0000
0513530,0.0102
0513560,0.0000
0513680,0.0000
0513930,0.0000
0513950,0.0000
0514010,0.0000
0514020,0.0000
0514040,0.0000
0514140,0.0035
0514160,0.0009
0514370,0.0000
0514400,0.0000
0514430,0.0000
0514490,0.0000
0600001,0.0198
0600002,0.0000
0600003,0.0000
0600006,0.0046
0600007,0.0000
0600009,0.0000
0600011,0.0374
0600012,0.0087
0600013,0.0130
0600014,0.0412
0600015,0.1055
0600016,0.1908
0600017,0.1003
0600018,0.0018
0600019,0.0062
0600020,0.0162
0600021,0.0000
0600022,0.0006
0600025,-0.0001
0600026,0.0085
