id,hswhthsp
0100005,0.0000
0100006,0.1569
0100007,0.0613
0100008,0.0289
0100011,0.0000
0100012,0.0017
0100013,0.0000
0100030,0.0003
0100060,0.0001
0100090,0.0958
0100100,0.0000
0100120,0.0085
0100180,0.0017
0100185,0.0000
0100188,0.0000
0100210,0.0169
0100240,0.0415
0100270,0.1117
0100300,0.0000
0100330,0.0863
0100360,0.0857
0100390,0.4459
0100420,0.1611
0100450,0.0000
0100480,0.0000
0100510,0.0922
0100540,0.1064
0100600,0.1208
0100630,0.1042
0100660,0.0597
0100690,0.1562
0100720,0.0891
0100750,0.0267
0100780,0.1566
0100810,0.1073
0100840,0.1773
0100870,0.2962
0100900,0.0000
0100930,0.1757
0100960,0.0729
0100990,0.0372
0101020,0.0682
0101050,0.0879
0101080,0.0000
0101110,0.3049
0101140,0.2602
0101170,0.2722
0101200,0.0000
0101230,0.0825
0101260,0.0000
0101290,0.0583
0101320,0.0414
0101350,0.1345
0101380,0.1231
0101410,0.0000
0101440,0.0306
0101470,0.1012
0101530,0.0683
0101560,0.0000
0101590,0.2115
0101620,0.2622
0101640,0.0000
0101660,0.0252
0101680,0.0747
0101690,0.0001
0101710,0.0782
0101720,0.0000
0101730,0.0644
0101740,0.0408
0101760,0.0231
0101770,0.0427
0101800,0.3215
0101830,0.1646
0101860,0.0000
0101890,0.0717
0101920,0.2939
0101950,0.1109
0101980,0.0000
0102010,0.0917
0102040,0.1160
0102070,0.1255
0102100,0.1422
0102130,0.0000
0102160,0.0000
0102190,0.1798
0102220,0.0335
0102250,0.0485
0102310,0.0899
0102350,0.0000
0102370,0.1261
0102400,0.1050
0102430,0.3609
0102480,0.2214
0102490,0.1053
0102520,0.0000
0102550,0.0000
0102580,0.1640
0102610,0.0000
0102635,0.0086
0102640,0.0140
0102650,0.0293
0102670,0.0000
0102700,0.0738
0102730,0.1144
0102760,0.0000
0102790,0.2116
0102820,0.0946
0102850,0.0000
0102880,0.0733
0102910,0.0000
0102940,0.0111
0102970,0.2246
0103000,0.0000
0103030,0.1111
0103062,0.0934
0103090,0.1196
0103120,0.0000
0103150,0.3606
0103180,0.0838
0103210,0.0752
0103240,0.0000
0103270,0.0004
0103300,0.0000
0103330,0.0000
0103360,0.3693
0103390,0.1840
0103420,0.0000
0103430,0.0304
0103450,0.1619
0103480,0.2665
0103510,0.0000
0103540,0.0000
0103580,0.1527
0200001,0.0393
0200007,0.2196
0200010,0.0059
0200030,0.0175
0200050,0.0914
0200060,0.0009
0200070,0.1278
0200090,0.0739
0200100,0.0290
0200120,0.0132
0200130,0.0000
0200150,0.0656
0200180,0.1053
0200210,0.0300
0200240,0.0156
0200270,0.0491
0200300,0.0000
0200390,0.0474
0200450,0.0000
0200480,0.0809
0200485,0.4611
0200510,0.0426
0200520,0.1551
0200525,0.0000
0200540,0.0000
0200570,0.1043
0200600,0.0551
0200610,0.0830
0200625,0.0680
0200660,0.0000
0200670,0.0000
0200690,0.0000
0200700,0.4311
0200720,0.0000
0200730,0.1450
0200760,0.0000
0200770,0.0890
0200780,0.0018
0200800,0.0763
0200810,0.0000
0200840,0.0695
0200862,0.0124
0400001,0.0226
0400003,0.0290
0400004,0.0000
0400005,0.0000
0400021,0.1236
0400022,0.0000
0400023,0.0000
0400026,0.0002
0400163,0.0000
0400212,0.0237
0400295,0.0153
0400434,0.0000
0400463,0.2899
0400480,0.0000
0400520,0.0000
0400600,0.0812
0400630,0.0000
0400680,0.1936
0400750,0.0000
0400790,0.0238
0400840,0.0000
0400870,0.0000
0400910,0.0000
0400960,0.1678
0401000,0.0000
0401050,0.1487
0401080,0.0000
0401180,0.0000
0401260,0.0000
0401290,0.0000
0401330,0.0000
0401380,0.0497
0401460,0.0161
0401500,0.0820
0401600,0.0429
0401650,0.0000
0401680,0.0682
0401710,0.0390
0401760,0.0041
0401810,0.0000
0401870,0.2193
0401940,0.1893
0402110,0.0000
0402130,0.0000
0402190,0.0000
0402220,0.0000
0402250,0.0000
0402320,0.1349
0402370,0.0645
0402400,0.0486
0402430,0.1750
0402480,0.0000
0402490,0.0000
0402530,0.0942
0402600,0.0000
0402690,0.1511
0402740,0.0000
0402760,0.0000
0402790,0.0000
0402860,0.1603
0402920,0.0256
0403010,0.0565
0403040,0.0156
0403060,0.0307
0403080,0.0321
0403150,0.0002
0403200,0.0000
0403240,0.1777
0403290,0.0000
0403310,0.0000
0403400,0.0410
0403420,0.0835
0403500,0.0060
0403550,0.0000
0403660,0.0000
0403730,0.0000
0403780,0.0184
0403820,0.0060
0403860,0.3154
0403870,0.0415
0403900,0.0000
0403950,0.0066
0403960,0.0589
0403990,0.0237
0404010,0.0048
0404060,0.0000
0404170,0.0000
0404230,0.0570
0404280,0.0406
0404290,0.0739
0404320,0.1018
0404380,0.0270
0404410,0.0000
0404440,0.0921
0404500,0.1888
0404530,0.0000
0404570,0.0283
0404630,0.0127
0404720,0.0463
0404770,0.0000
0404820,0.0130
0404920,0.0000
0404970,0.2320
0405030,0.0004
0405100,0.0000
0405190,0.0211
0405220,0.0000
0405320,0.0000
0405340,0.0000
0405360,0.0252
0405400,0.0818
0405430,0.0000
0405460,0.0100
0405530,0.0843
0405640,0.0260
0405670,0.0862
0405730,0.0000
0405760,0.0000
0405820,0.0039
0405850,0.0000
0405880,0.0146
0405930,0.2538
0405980,0.1098
0406000,0.2147
0406070,0.0075
0406150,0.0000
0406210,0.0950
0406250,0.1259
0406300,0.3901
0406360,0.0000
0406440,0.0057
0406480,0.0000
0406510,0.0000
0406580,0.0000
0406630,0.0000
0406730,0.0560
0406740,0.0000
0406780,0.0650
0406810,0.0270
0406850,0.0000
0406870,0.3029
0406900,0.0000
0406960,0.0000
0407020,0.0000
0407080,0.2984
0407130,0.0035
0407170,0.0189
0407200,0.0000
0407240,0.0244
0407300,0.0168
0407380,0.0000
0407430,0.0000
0407500,0.0000
0407520,0.0968
0407570,0.2349
0407630,0.0000
0407680,0.0000
0407700,0.0372
0407750,0.0924
0407770,0.0000
0407820,0.0039
0407860,0.0000
0407890,0.0469
0407920,0.0000
0408020,0.0000
0408080,0.0000
0408130,0.0000
0408170,0.0837
0408230,0.0000
0408280,0.0128
0408310,0.1613
0408410,0.0000
0408430,0.0000
0408460,0.0000
0408490,0.0428
0408550,0.0098
0408600,0.0064
0408640,0.0000
0408680,0.0407
0408800,0.2444
0408820,0.0152
0408850,0.0188
0408880,0.0000
0409060,0.1506
0409090,0.0000
0409120,0.0000
0409160,0.2211
0409190,0.0298
0409250,0.0000
0409310,0.0285
0409390,0.0000
0409430,0.3012
0409460,0.0097
0409510,0.0000
0409540,0.0000
0409570,0.0000
0409600,0.1052
0409733,0.0817
0409734,0.1174
0500001,0.0384
0500006,0.0000
0500009,0.0000
0500012,0.0892
0500015,0.0118
0500016,0.0000
0500017,0.0182
0500019,0.0437
0500020,0.0000
0500021,0.0000
0500023,0.0000
0500026,0.2134
0500028,0.0001
0500029,0.0000
0500030,0.0000
0500032,0.0000
0500035,0.0000
0500036,0.0000
0500041,0.0000
0500042,0.0142
0500043,0.0000
0500044,0.0000
0500045,0.0525
0500046,0.0000
0500047,0.0000
0500048,0.0306
0500049,0.0547
0500051,0.0000
0500065,0.0014
0500067,0.0481
0500068,0.1739
0500070,0.0770
0500071,0.0000
0500072,0.1156
0500073,0.0670
0500076,0.2187
0500079,0.0198
0500082,0.0376
0500390,0.1643
0500405,0.1164
0502250,0.0000
0502280,0.0000
0502430,0.0000
0502550,0.0000
0502580,0.0000
0502610,0.0000
0502670,0.0118
0502700,0.0000
0502730,0.0000
0502790,0.0042
0502820,0.0000
0502880,0.0066
0502960,0.0557
0503030,0.0000
0503060,0.0247
0503090,0.0000
0503150,0.0000
0503240,0.0000
0503300,0.0116
0503320,0.0315
0503420,0.0000
0503450,0.0000
0503480,0.0000
0503510,0.0000
0503630,0.0000
0503640,0.0000
0503690,0.0323
0503710,0.0291
0503750,0.0334
0503770,0.0000
0503840,0.0000
0503960,0.0000
0504020,0.0000
0504050,0.0236
0504080,0.0000
0504110,0.0000
0504170,0.0000
0504200,0.0000
0504350,0.0000
0504370,0.0000
0504380,0.0000
0504410,0.0000
0504560,0.0000
0504590,0.0174
0504680,0.0000
0504740,0.0000
0504800,0.0000
0504860,0.0000
0504890,0.0000
0504930,0.0000
0504980,0.0000
0505070,0.0000
0505170,0.0000
0505190,0.0000
0505340,0.0000
0505410,0.0483
0505430,0.0000
0505470,0.0000
0505500,0.0000
0505580,0.0000
0505680,0.0324
0505760,0.0000
0505850,0.0000
0505970,0.0000
0506060,0.0000
0506090,0.0033
0506120,0.0854
0506150,0.0000
