id,w_ses
0100001,0.5715
0100003,0.1483
0100005,-0.2004
0100006,-0.2071
0100007,1.6804
0100008,1.6054
0100011,0.5481
0100012,-0.0453
0100013,1.4697
0100030,0.3870
0100060,-0.2644
0100090,0.4287
0100100,-0.2876
0100120,0.3536
0100180,-0.5900
0100185,-0.0909
0100210,1.6670
0100240,0.7454
0100270,0.5104
0100300,-0.4887
0100330,-0.4691
0100360,0.3020
0100390,-1.4394
0100420,-0.1007
0100450,0.3422
0100480,1.5063
0100510,-0.5680
0100540,-0.0826
0100600,0.4502
0100630,-0.3476
0100660,-0.4269
0100690,0.0882
0100720,0.5417
0100750,0.3009
0100780,-0.4407
0100810,-0.0353
0100840,-0.0006
0100870,0.2528
0100900,-0.9322
0100930,-0.4069
0100960,-0.1419
0100990,-0.4579
0101020,-0.0036
0101050,0.0986
0101080,0.2680
0101110,-0.0999
0101140,-0.5250
0101170,0.2663
0101200,1.7201
0101230,0.3286
0101260,-0.7178
0101290,0.4294
0101320,0.9238
0101350,-0.8609
0101380,0.2811
0101410,0.0813
0101440,-2.6761
0101470,0.0780
0101530,-0.5702
0101560,-0.3547
0101590,-0.1105
0101620,-0.7605
0101640,0.3285
0101660,-0.1136
0101680,1.7787
0101690,-0.7792
0101710,0.4704
0101720,-0.5428
0101730,0.5472
0101740,-0.5153
0101760,1.7250
0101770,0.0431
0101800,1.1926
0101830,-0.4242
0101860,0.6127
0101890,-0.3675
0101920,0.5398
0101950,-0.6039
0101980,0.7948
0102010,0.0994
0102040,-0.3033
0102070,0.1283
0102100,0.4260
0102130,0.3436
0102160,0.0459
0102190,-0.3093
0102220,0.7706
0102250,1.3928
0102310,-0.5771
0102350,-4.1127
0102370,-0.3368
0102400,-0.5112
0102430,0.7093
0102480,0.4373
0102490,2.3688
0102520,0.7922
0102550,0.5225
0102580,0.3271
0102610,-0.4145
0102635,0.5626
0102640,-0.0254
0102650,-0.3062
0102670,-0.2091
0102700,-0.4706
0102730,0.4094
0102760,-0.6847
0102790,-0.8581
0102820,0.0113
