id,wb_ses
0100001,1.2189
0100003,-0.5068
0100005,3.8366
0100006,-2.7385
0100007,1.6453
0100008,1.5726
0100011,1.9786
0100012,-0.6507
0100013,0.6735
0100030,3.5947
0100060,3.8334
0100090,3.6191
0100120,1.3616
0100185,3.3264
0100210,3.6185
0100240,1.7933
0100270,1.7886
0100300,1.1659
0100330,2.6171
0100360,3.0262
0100390,0.9749
0100450,2.9751
0100480,4.0554
0100510,2.5085
0100540,2.4728
0100600,2.4175
0100630,1.6670
0100660,1.6076
0100690,3.1440
0100720,3.2829
0100750,1.7003
0100780,1.3197
0100810,1.4792
0100840,2.5852
0100870,4.2044
0100900,0.1419
0100930,0.8426
0100960,2.8190
0101020,2.5379
0101050,4.2259
0101080,1.4457
0101110,2.8396
0101140,1.9808
0101170,3.1796
0101200,4.0133
0101230,2.7229
0101260,1.8114
0101290,2.0691
0101320,3.7752
0101350,1.3443
0101380,1.6727
0101410,3.6831
0101440,-0.5901
0101470,0.9152
0101530,2.6093
0101560,-0.4795
0101590,3.7490
0101620,2.1404
0101640,3.5679
0101660,3.3595
0101680,4.3659
0101690,2.2418
0101710,2.9408
0101730,-0.6808
0101740,1.9331
0101760,2.6597
0101770,2.1198
0101800,3.6902
0101830,0.1898
0101860,3.7998
0101890,1.6868
0101920,1.0425
0101950,1.5256
0101980,4.5025
0102010,-0.0685
0102040,0.3165
0102070,0.9362
0102100,0.8920
0102130,3.5907
0102160,2.5091
0102190,2.2045
0102220,0.2124
0102250,2.9124
0102310,-0.3928
0102350,-3.2747
0102370,1.9436
0102400,2.7889
0102430,2.5599
0102480,2.9711
0102520,1.4591
0102550,4.8385
0102580,2.0357
0102610,6.4750
0102635,3.7414
0102640,1.5365
0102650,0.7754
0102670,2.6838
0102700,1.9900
0102730,4.3032
0102790,1.9345
0102820,0.2907
0102850,3.2834
0102880,1.7930
0102910,2.9264
0102940,0.4370
0102970,3.4814
0103000,4.3114
0103030,1.7325
0103062,2.1685
0103090,3.8468
0103120,3.4821
0103150,2.2813
0103180,0.9082
0103210,3.4448
0103240,2.3408
0103270,2.6447
0103300,3.7259
0103330,3.9768
0103360,3.1767
0103390,2.3019
0103420,-0.3330
0103430,2.2850
0103450,1.8071
0103480,3.3241
0103510,3.3391
0200001,6.7330
0200070,1.9108
0200100,-0.8726
0200180,1.4946
0200210,3.3884
0200390,2.0383
0200510,0.2102
0200600,1.0309
0200625,0.7049
0200760,-1.2217
0200780,0.5733
0400001,-0.8013
0400082,2.0090
0400295,-0.5981
0400450,1.6141
0400600,0.6315
0400680,0.1440
0400790,2.0978
0400960,2.0495
0401000,-1.7307
0401050,1.9930
0401380,-0.3215
0401410,-0.2133
0401460,0.5665
0401500,1.9673
0401680,0.6967
0401710,0.9321
0401740,0.4152
0401760,-0.6184
0401870,1.4865
0402320,0.6601
0402400,1.1769
0402430,5.3641
0402530,-2.2472
0402690,0.6689
0402860,0.0458
0402920,1.5160
0403010,-0.6096
0403060,3.5829
0403150,-1.7234
0403400,0.9828
0403420,2.5632
0403450,2.2904
0403780,0.0218
0403870,0.7130
0403960,2.3765
0403990,1.5832
0404230,1.3681
0404280,-0.2672
0404290,2.4247
0404320,0.8420
0404380,2.3201
0404440,2.7494
0404500,1.3028
0404630,0.7101
0404720,1.8014
0404970,1.8614
0405190,2.7347
0405400,-1.0321
0405430,-2.0943
0405670,2.0031
0405880,-1.6962
0405930,1.0886
0405980,-1.5929
0406210,0.3596
0406250,0.6080
0406300,0.6081
0406330,1.2479
0406730,-1.8955
0406810,-0.4984
0407020,2.7531
0407080,1.3269
0407170,-0.0606
0407300,0.1555
0407530,2.4276
0407570,0.9878
0407750,0.6959
0408170,-1.0081
0408280,-1.3456
0408310,2.7732
0408340,1.9194
0408490,2.1671
0408520,1.6648
0408600,0.0139
0408800,1.1788
0408820,3.1069
0408850,0.2008
0409060,2.2664
0409310,-0.7192
0409390,-2.7980
0409460,3.0330
0409600,2.1204
0409630,-0.8582
0500001,0.3924
0500006,2.0906
0500015,2.9518
0500019,0.0535
0500023,0.7351
0500026,3.7860
0500028,4.1165
0500029,1.5077
0500030,-0.6001
0500032,2.2735
0500042,2.8330
0500044,3.9577
0500045,2.5006
0500047,6.5108
0500048,-1.4226
0500049,-1.2557
0500051,1.7752
0500065,2.1778
0500067,4.2074
0500068,1.5469
0502330,1.1915
0502430,3.1046
0502550,0.3614
0502580,0.2228
0502670,1.5245
0502700,-2.3314
0502730,1.5126
0502790,0.5494
0502820,-0.3412
0502880,1.3736
0502960,3.6913
0503060,1.1729
0503300,3.4355
0503320,5.1692
0503630,1.4577
0503690,1.3597
0503750,-0.7584
0503960,3.2230
0504050,4.7261
0504350,1.8855
0504380,0.1515
0504590,1.9008
0504800,1.5208
0505310,1.1469
0505410,4.7485
0505430,-1.2507
0505470,8.3409
0505500,3.9432
0505550,4.7032
0505580,-0.3904
0505680,4.0496
0505850,4.4499
0506060,1.7900
0506090,-0.2496
0506120,1.2260
0506210,1.1582
0506240,1.9572
0506270,0.5744
0506330,1.9992
0506420,-0.7253
0506840,-2.8946
0506900,1.0020
0506990,-0.3900
0507110,1.4788
0507140,3.6750
0507230,3.4108
0507290,2.5880
0507530,4.8675
0507680,3.3337
0507710,8.6400
0507740,0.5999
0507840,3.0877
0507890,1.0755
0508010,5.5423
0508040,3.2307
0508280,3.8133
0508340,-1.3846
0508400,1.4823
0508610,3.6908
0508640,1.0857
0508670,0.9892
0509000,3.0656
0509030,0.8984
0509060,0.1483
0509240,0.8401
0509360,0.2634
0509390,1.6625
0509420,5.3677
0509540,-0.3511
0509600,4.2862
0509630,5.3657
0509720,10.4924
0509780,1.0529
0509840,3.5351
0510320,3.5753
0510380,2.6831
0510440,3.3337
0510620,0.9036
0510680,3.3797
0510950,4.3920
0511820,2.4912
0511850,1.9145
0512000,-0.6848
0512060,4.4027
0512210,0.7112
0512450,1.9633
0512510,1.7467
0512520,2.0880
0512570,3.0286
0512660,0.1047
0512870,1.8152
0512930,1.6903
0512960,2.7699
0513080,5.3686
0513110,2.3693
0513230,4.2272
0513350,-1.8752
0513410,2.7311
0513650,3.4163
0513930,1.9235
0514010,-0.6689
0514140,0.9695
0514430,1.9841
0600006,1.7442
0600013,-0.5872
0600014,0.5257
0600016,1.1554
0600017,1.5519
0600019,2.9383
0600020,2.5287
0600025,-0.6823
0600027,0.7779
0600028,0.1773
0600029,0.6438
0600032,0.2092
0600036,1.0118
0600039,0.9871
0600043,-0.2522
0600047,1.0485
0600048,-1.1250
0600051,-1.2749
0600052,1.5873
0600061,5.1849
0600063,-0.2788
0600064,0.4574
0600069,-0.0605
0600153,-0.4408
0600158,2.2090
0601332,1.4920
0601620,-0.1923
0601650,3.3085
0601710,1.6696
0601770,3.7167
0601860,4.4520
0601950,1.7279
0602100,-0.1260
0602160,1.6537
0602310,1.2780
