id,wh_ses
0100001,0.1406
0100005,1.7202
0100006,0.0758
0100007,1.8728
0100008,1.1392
0100011,2.0434
0100012,-0.3625
0100013,0.1102
0100030,2.2801
0100060,-1.3540
0100090,5.8331
0100120,2.4165
0100180,1.0490
0100210,4.9578
0100240,1.2763
0100270,3.4238
0100300,-0.8037
0100330,1.3903
0100360,-0.4095
0100390,-0.3011
0100420,1.5832
0100450,11.9013
0100480,12.7059
0100510,-1.4537
0100540,-0.0373
0100660,1.6452
0100750,1.3897
0100780,-0.7283
0100810,2.9945
0100840,0.2956
0100900,1.6104
0100960,4.4674
0100990,2.2285
0101020,1.2536
0101050,-0.3220
0101080,-1.0895
0101110,-1.1174
0101140,1.2583
0101170,1.3045
0101200,0.6825
0101230,2.0110
0101290,2.1369
0101320,3.2465
0101350,4.6754
0101380,-0.3453
0101410,-1.6975
0101470,-1.0736
0101530,-0.3394
0101560,0.3742
0101590,0.1080
0101620,1.7517
0101640,-1.0230
0101660,0.3264
0101680,1.3245
0101710,-0.8268
0101720,2.1882
0101730,2.3480
0101760,1.5056
0101770,2.7380
0101800,2.1609
0101830,-1.2734
0101860,-0.5881
0101890,-0.1432
0101920,1.0851
0101950,-0.1218
0101980,0.0833
0102010,-0.3506
0102040,1.2042
0102070,0.9879
0102100,0.5683
0102220,0.6630
0102250,-0.7675
0102310,-1.0414
0102370,0.2430
0102430,2.0963
0102480,2.3566
0102520,2.6256
0102550,1.1350
0102580,1.9505
0102635,2.1614
0102640,2.8168
0102650,-0.2702
0102700,-0.4250
0102730,-0.4162
0102790,4.2773
0102820,0.2031
0102880,-1.0129
0102910,2.0177
0102940,-0.6582
0102970,4.0929
0103000,-2.3824
0103030,2.4573
0103062,3.6689
0103120,3.3003
0103150,0.5720
0103180,-0.4401
0103210,0.6616
0103240,-0.0495
0103270,-0.5586
0103330,-1.0478
0103360,1.4665
0103390,1.1381
0103430,0.9999
0103450,-0.0706
0103540,-1.3689
0200001,0.1639
0200003,8.0194
0200007,1.1934
0200020,5.0703
0200090,-2.6631
0200100,-1.2953
0200120,2.4992
0200150,3.6035
0200180,1.0602
0200210,1.3457
0200240,1.5930
0200390,0.0897
0200480,1.4935
0200485,0.2456
0200510,1.0133
0200600,0.4684
0200610,0.8387
0200625,5.9891
0200700,3.1056
0200710,9.5055
0200720,0.3342
0200730,-0.0479
0400001,0.7143
0400003,5.5202
0400082,0.6805
0400212,1.9061
0400295,2.4819
0400450,1.1935
0400600,0.2195
0400680,1.5319
0400720,1.3140
0400790,0.6173
0400960,1.4728
0401000,0.7121
0401050,1.3348
0401180,1.4366
0401380,0.4473
0401410,0.6570
0401460,0.8760
0401500,1.7221
0401600,0.9905
0401680,-0.3122
0401710,1.1047
0401740,1.1092
0401760,1.2444
0401870,1.2852
0402320,0.2962
0402370,-0.0324
0402400,1.4344
0402430,1.7375
0402530,1.6990
0402690,0.8009
0402790,-2.7037
0402860,1.2587
0402920,0.5575
0403010,1.1254
0403040,-0.6947
0403060,2.0199
0403080,2.4465
0403150,-0.9079
0403310,0.2658
0403400,0.8581
0403420,1.6485
0403450,1.4812
0403500,0.9910
0403780,0.7166
0403820,0.3637
0403870,0.1744
0403960,-0.1863
0403990,-0.5251
0404010,1.0097
0404230,1.3062
0404280,-0.2452
0404290,1.2028
0404320,0.8861
0404380,0.8712
0404410,-2.9619
0404440,1.6181
0404500,2.3860
0404570,-0.2274
0404630,0.5142
0404720,1.2344
0404770,0.4198
0404970,1.0530
0405030,-2.2794
0405070,0.0038
0405190,1.3484
0405320,2.6154
0405400,-1.8810
0405430,0.7938
0405460,1.0005
0405530,2.2988
0405670,1.5122
0405820,2.4466
0405850,0.5651
0405880,1.7665
0405930,1.4175
0405980,-0.0734
0406070,1.9223
0406210,0.6709
0406250,0.6499
0406300,2.3903
0406330,1.0473
0406440,0.6470
0406580,0.7655
0406730,1.9621
0406740,-2.9980
0406810,1.1914
0406850,0.3319
0406900,0.6159
0407020,1.9751
0407080,0.3441
0407130,1.6122
0407170,-0.5126
0407240,0.8802
0407300,0.4512
0407500,2.3503
0407520,0.6416
0407530,2.2085
0407570,1.7466
0407700,-0.3450
0407750,0.8980
0407820,2.3032
0407860,1.9252
0407890,1.2144
0408170,1.1396
0408280,0.2508
0408310,0.8483
0408340,1.4877
0408410,0.6173
0408490,1.0817
0408520,0.7988
0408600,1.5846
0408800,1.1186
0408820,0.4740
0408850,0.4292
0408910,-0.1713
0409060,0.9396
0409090,-1.5641
0409190,-1.4331
0409250,0.9285
0409310,1.4387
0409390,-1.8628
0409460,0.7111
0409600,2.2991
0409630,1.8110
0409733,0.8192
0499997,-0.6353
0500001,-0.0329
0500006,-0.0838
0500012,5.0192
0500015,0.8560
0500016,-2.2347
0500017,5.3742
0500019,1.1379
0500023,-0.3601
0500026,0.8980
0500028,2.5817
0500029,5.1196
0500030,-2.3441
0500032,2.2647
0500041,-0.1472
0500042,2.3420
0500043,-0.0351
0500044,-1.0399
0500045,1.9011
0500048,-0.8493
0500049,1.0239
0500065,-0.8080
0500068,2.6919
0500079,-0.0244
0502250,0.2115
0502280,-0.4984
0502430,3.8796
0502550,-1.5639
0502610,-1.2103
0502700,2.2019
0502730,-0.7105
0502790,-1.6270
0502820,-0.9349
0502880,1.3310
0502960,1.8843
0503030,-0.7225
0503060,0.3470
0503090,0.0955
0503150,-0.4671
0503240,0.5643
0503300,-0.8091
0503320,3.5990
0503420,-3.2519
0503480,3.1274
0503640,3.0583
0503690,-1.1121
0503710,-0.1757
0503750,0.6220
0503770,4.5707
0504050,-1.7160
0504170,1.4888
0504200,6.4370
0504350,3.2423
0504380,-0.8308
0504410,1.9518
0504590,1.1444
0504680,0.8326
0504740,5.0091
0504800,-0.7978
0504890,-0.2120
0504930,-0.1192
0504980,0.3174
0505340,1.3838
0505410,-0.7377
0505430,0.2935
0505500,0.9293
0505680,2.8223
0505760,6.5239
0505850,-1.9870
0505970,0.3839
0506090,0.0501
0506120,1.0569
0506150,-1.1724
0506210,7.5222
0506270,-2.6798
0506330,0.9668
0506540,0.3320
0506690,1.3531
0506840,-1.4435
0506870,-0.2102
0506900,0.9918
0506930,1.7753
0506990,1.5925
0507170,0.5351
0507290,4.0689
0507350,1.0588
0507380,0.7704
0507560,3.2892
0507710,4.0244
0507770,-1.5706
0507840,0.8298
0507860,0.0748
0507890,-0.8431
0507920,-1.5515
0507990,-0.3439
0508010,1.4244
0508130,0.4509
0508280,3.0209
0508340,-1.5148
0508400,-0.0085
0508490,2.8799
0508610,0.4363
0508640,1.2660
0508670,-1.3871
0508700,-0.1065
0508730,5.9587
0508940,0.7609
0509000,3.3010
0509030,1.3554
0509060,-0.4321
0509150,-0.6572
0509240,2.0920
0509330,0.4859
0509360,-0.9426
0509390,-0.6957
0509420,3.3630
0509630,-0.2461
0509750,2.4545
0509780,-1.5556
0509840,-0.3625
0510080,-0.7628
0510200,0.9737
0510290,-0.7812
0510380,0.5691
0510410,-0.6254
0510440,1.2829
0510560,-1.5053
0510620,0.1222
0510680,1.8705
0510950,-1.2387
0511010,-1.8600
0511070,2.4811
0511130,-0.8048
0511340,2.3648
0511610,-1.5338
0511700,1.3309
0511730,5.2503
0511760,0.9216
0511850,0.7059
0511880,1.0885
0511970,0.9246
0512060,2.1505
0512180,0.4984
0512210,0.4602
0512450,1.2288
0512510,2.5827
0512520,-1.0280
0512540,-2.3893
0512630,-2.4038
0512660,1.0196
0512930,5.3819
0513080,0.4137
0513110,1.1323
0513380,0.5773
0513410,0.1712
0513530,0.8490
0513680,-0.7287
0513740,-0.9551
0513950,-0.0348
0514010,-0.7410
0514020,-1.8127
0514160,0.6335
0514430,-0.5007
0600001,-0.0227
0600006,0.0818
0600013,0.8897
0600014,1.0637
0600016,0.8879
0600017,1.3681
0600019,0.3724
0600020,1.1824
0600022,5.1418
0600025,0.9257
0600026,4.7896
0600027,1.0268
0600028,0.6498
0600029,1.0691
0600032,1.5745
0600033,1.7934
0600034,0.3236
0600035,0.3441
0600036,0.7770
0600037,-0.0326
0600039,0.9192
0600040,1.7913
0600043,0.8984
0600044,1.1394
0600045,0.3559
0600046,0.9401
0600047,1.0244
0600048,0.9426
0600049,1.3047
0600051,0.2086
0600052,0.3812
0600060,2.7384
0600061,1.0935
0600062,0.6508
0600063,-0.1308
0600064,1.1075
0600065,0.8711
0600067,2.8936
0600068,0.5146
0600069,0.9005
0600153,0.0366
0600158,1.1792
0600159,2.5498
0600160,0.6557
0601332,0.3931
0601620,0.5193
0601650,0.8082
0601680,3.9366
0601710,-0.9510
0601770,1.1786
0601860,1.8289
0601950,2.8388
0602100,-0.2343
0602160,0.3237
0602220,-1.8831
0602250,0.9528
0602310,1.0524
0602360,0.3787
0602430,0.4521
0602450,0.1483
0602550,3.5312
0602610,0.9181
0602630,1.4213
0602670,0.6150
0602700,2.2309
0602820,1.0150
0602850,0.4420
0602970,0.4985
0603000,1.8983
0603030,4.9020
0603060,5.0273
0603090,2.7772
0603180,-0.0848
0603270,-1.0524
0603300,0.6241
0603420,-0.3077
0603480,-0.8571
0603600,0.7029
0603630,1.2672
0603690,-0.7190
0603720,0.7604
0603750,1.8766
0603840,-0.0702
0603870,-1.7631
0604020,0.6328
0604080,0.5279
0604110,-0.1447
0604230,0.7075
0604260,0.6287
0604290,1.0827
0604380,0.7545
0604440,0.7024
0604530,0.9487
0604620,0.2193
0604650,1.5119
0604740,1.4559
0604800,1.6345
0604830,1.9034
0605040,0.2002
0605130,-0.8316
0605160,-0.1253
0605240,2.5529
0605400,3.1940
0605580,0.3947
0605610,0.1602
0605670,0.8749
0605790,2.6840
0605820,1.9984
0605880,1.1537
0605910,0.6759
0605940,0.2501
0606001,-0.7668
0606004,-1.1107
0606013,1.4566
0606014,1.3225
0606015,0.9609
0606017,2.0765
0606030,-0.8449
0606037,1.8556
0606053,1.6270
0606060,1.2962
0606090,-0.8859
0606107,1.1761
0606270,0.6983
0606330,1.0054
0606360,-0.0518
0606390,0.8923
0606450,0.4038
0606480,2.1705
0606540,0.6828
0606570,0.8540
0606580,1.4572
0606720,0.6025
0606750,1.2802
0606780,1.6860
0606810,0.7833
0606870,0.1202
0606900,2.6448
0606990,0.3364
0607020,0.5666
0607140,0.7898
0607200,2.2484
0607230,1.4440
0607410,2.4177
0607440,0.9743
0607470,2.5619
0607500,1.2507
0607530,0.6487
0607560,0.6721
0607680,0.3274
0607740,1.4749
0607800,0.2520
0607900,0.1909
0607920,0.9744
0607950,0.0862
0607970,0.6996
0607980,1.1799
0608010,1.9267
0608070,0.0633
0608130,0.2017
0608160,0.9572
0608190,0.8005
0608250,-0.5306
0608370,2.1777
0608460,0.5147
0608520,0.1334
0608550,2.0742
0608580,1.2870
0608610,1.1773
0608700,2.4274
0608760,1.6634
0608970,0.2445
0609030,1.1922
0609070,1.7192
0609120,2.0558
0609270,-0.3247
0609300,4.5304
0609330,0.6034
0609390,0.3002
0609450,-1.3575
0609480,-0.6076
0609570,2.6835
0609620,2.0432
0609640,1.2255
0609690,1.6314
0609780,0.4159
0609810,1.6228
0609850,0.9379
0609870,0.6194
0609940,0.5329
0609990,1.3681
0610050,0.6378
0610260,0.9707
0610290,2.2729
0610320,-0.0097
0610350,2.6648
0610440,1.5993
0610620,3.2682
0610740,0.5682
0610770,-0.2735
0610860,-0.7406
0610890,-2.4038
0611040,1.4779
0611110,1.7563
0611220,2.6938
0611280,0.5214
0611460,0.6697
0611490,0.7367
0611520,0.6150
0611700,-2.8104
0611730,-0.6812
0611760,1.2607
0611780,0.9324
0611820,1.2869
0611850,0.6793
0611910,-0.5844
0611940,1.8057
0612030,3.4741
0612070,0.6093
0612090,-0.3323
0612120,0.9195
0612150,1.5587
0612180,1.2959
0612210,0.5911
0612330,1.0723
0612690,0.3022
0612750,1.8920
0612810,-0.5236
0612840,0.9924
0612880,1.5045
0612910,1.3979
0612930,0.6230
0612960,0.6042
0613080,0.3973
0613140,1.6903
0613170,3.3267
0613200,0.9365
0613230,1.8125
0613290,1.2680
0613360,1.2236
0613470,-1.4834
0613500,1.3463
0613530,0.4621
0613800,0.9165
0613840,3.3243
0613890,1.3247
0613920,-0.2198
0613980,-1.1528
0614010,-0.9992
0614070,1.0427
0614160,1.5875
0614190,1.0247
0614220,0.6381
0614250,1.8292
0614340,1.9143
0614370,0.3656
0614400,0.6466
0614430,1.3255
0614550,2.1388
0614580,5.4124
0614700,0.4325
0614730,1.5507
0614760,1.2050
0614790,0.6481
0614820,0.7074
0614880,1.1768
0614940,1.3677
0614950,0.2367
0615150,0.6497
0615180,1.6529
0615240,0.4294
0615270,0.5109
0615390,0.3162
0615450,2.8762
0615510,1.5729
0615780,2.4987
0615810,0.0334
0615840,0.1562
0616050,0.0389
0616080,1.8440
0616230,0.9506
0616260,1.7017
0616300,-0.5307
0616320,-2.1990
0616323,1.5959
0616325,0.6960
0616410,1.0983
0616440,1.6651
0616470,1.1221
0616500,1.6835
0616570,0.3391
0616650,1.4307
0616680,0.7520
0616740,0.3733
0616830,2.1610
0616920,1.1938
0617040,-0.5604
0617160,-0.2852
0617190,-0.0394
0617220,1.0532
0617340,1.2486
0617430,1.6129
0617490,1.8102
0617760,0.4163
0617850,1.3614
0617880,-0.9489
0618030,1.5243
0618060,1.3293
0618210,1.4737
0618390,0.6928
0618510,1.4928
0618690,-0.4462
0618730,2.4734
0618780,-2.4912
0618840,0.2437
0618870,0.2242
0618930,0.6102
0618990,0.1948
0619200,0.5152
0619260,0.8062
0619320,2.6145
0619380,0.2063
0619440,0.4867
0619490,1.8467
0619540,1.6213
0619590,3.5919
0619620,0.0400
0619650,2.1537
0619680,2.2643
0619700,2.3010
0619740,2.0523
0619770,0.5036
0619800,2.3263
0619830,4.8462
0619890,2.8280
0620040,2.0345
0620070,-0.1335
0620130,-0.0280
0620190,1.1809
0620250,1.5158
0620310,2.5687
0620370,0.1764
0620460,1.5032
0620520,2.3789
0620640,1.1243
0620670,0.5473
0620700,-0.9883
0620730,2.2274
0620760,3.5119
0620790,1.0472
0620820,0.0421
0620850,0.0160
0620880,0.7991
0620910,2.2625
0621000,0.3535
0621060,2.8273
0621090,-1.3510
0621150,1.2819
0621180,-0.1931
0621210,0.4159
0621240,2.5467
0621270,1.4822
0621330,0.2336
0621360,0.1032
0621400,2.0193
0621420,0.5321
0621450,0.5895
0621540,0.4122
0621600,0.2415
0621690,1.0591
0621810,0.4798
0621870,1.2151
0621930,-1.5468
0621990,0.9510
0622050,0.9390
0622110,1.2226
0622170,0.9802
0622230,1.6042
0622320,-0.5050
0622350,1.0775
0622380,1.3888
0622410,0.8218
0622500,2.0874
0622560,0.7143
0622590,0.7719
0622620,2.8115
0622650,0.7026
0622710,1.7799
0622740,0.8686
0622800,-0.3677
0622830,3.8728
0622860,-0.5782
0622890,0.8404
0622920,8.4101
0622950,1.9278
0623010,0.8774
0623080,1.2549
0623160,2.1462
0623340,1.2660
0623430,1.2656
0623530,1.4903
0623610,0.5215
0623820,-1.6021
0623940,1.3719
0623970,0.0757
0624000,3.8330
0624030,-0.1335
0624090,-0.0527
0624150,1.4344
0624180,1.0087
0624230,1.6023
0624300,4.1832
