id,all_avg
010000500870,6.2612
010000500879,4.4731
010000500889,3.8871
010000600193,6.0856
010000600872,4.4504
010000600876,4.8991
010000600877,3.8734
010000600880,3.5804
010000600887,3.2296
010000601434,4.8493
010000601685,4.0123
010000601812,6.2654
010000602209,3.7845
010000700091,3.5441
010000700248,5.2424
010000700337,8.1483
010000700342,4.5901
010000701422,7.9082
010000701483,4.9429
010000701738,4.6942
010000701739,3.8186
010000701740,3.8124
010000701741,7.2786
010000701742,4.1384
010000701743,4.2642
010000702091,4.7136
010000702186,6.3461
010000800303,5.7289
010000800495,8.9424
010000800839,5.6966
010000800851,5.5876
010000801423,7.2953
010000801485,6.3977
010000801798,9.1010
010000802097,5.7867
010000802133,5.9106
010001102094,2.9505
010001102095,5.4836
010001200123,4.9889
010001200884,-9999.0000
010001201630,4.7205
010001300714,7.3017
010001301498,4.9551
010003000001,4.7797
010003000005,4.2838
010003000006,5.0610
010006000008,6.7291
010006001467,4.1387
010009000015,2.4243
010009000017,2.7789
010009000020,2.3588
010009000021,2.1708
010009001725,3.6524
010009001782,2.2355
010010000022,5.3582
010010000027,7.8378
010012000522,4.4722
010012001471,3.0979
010012001473,6.5310
010012001474,2.8754
010012001475,3.7008
010012001758,3.5146
010018000034,5.4426
010018000035,3.7870
010018500893,6.8431
010018500952,4.4910
010018802193,3.6945
010018802194,4.6081
010018902195,4.8794
010018902196,4.4747
010019001182,4.0463
010019001184,7.0028
010019001460,-9999.0000
010019001815,-9999.0000
010019002149,-9999.0000
010019402395,-9999.0000
010019402398,-9999.0000
010021000037,-9999.0000
010021000039,6.8009
010021000040,4.9055
010021000041,5.8754
010021000042,5.2548
010021001254,5.3467
010021001259,4.7109
010021001879,4.6947
010021002363,5.5152
010024000045,4.6702
010024000046,-9999.0000
010024000047,4.7290
010024000049,8.3212
010024000050,6.6857
010024000543,5.2273
010024000546,6.1114
010024001408,3.2786
010024002159,6.3503
010027000012,4.0472
010027000013,6.8333
010027000023,6.9463
010027000056,4.5041
010027000057,5.9753
010027000058,4.2171
010027000059,7.9242
010027000060,4.1891
010027000062,4.6746
010027000065,3.8978
010027000066,4.2446
010027000067,5.5247
010027000068,4.5336
010027000069,5.0037
010027000070,4.0420
010027000162,6.0650
010027000549,5.2656
010027000550,5.4436
010027000625,-9999.0000
010027000648,4.4575
010027000660,5.4338
010027000661,-9999.0000
010027001477,5.2285
010027001708,-9999.0000
010027001709,-9999.0000
010027001710,5.8940
010027001711,-9999.0000
010027001712,4.2653
010027001713,4.2290
010027001714,3.6415
010027001715,3.4137
010027001716,4.0660
010027001783,4.4122
010027001859,5.6316
010027001888,7.6903
010027002072,6.2432
010030000074,-9999.0000
010030001557,3.9419
010030001641,1.8918
010033000082,2.7159
010033000084,2.0278
010033000086,4.3434
010033000088,3.3172
010033000090,3.9902
010033001479,2.1426
010036000094,5.1831
010036000095,3.0015
010036000096,2.7553
010036000098,2.5119
010036001426,5.4195
010036001480,3.3035
010039000103,2.4019
010039000106,2.4204
010039000107,1.3887
010039000108,2.9038
010039000111,2.9979
010039000112,2.0318
010039000113,5.9580
010039000115,1.7637
010039000119,3.8820
010039000127,1.6915
010039000128,1.9613
010039000130,2.8377
010039000133,3.8857
010039000136,2.3595
010039000137,1.7643
010039000139,4.2016
010039000140,5.0534
010039000142,3.3923
010039000143,2.2352
010039000145,-9999.0000
010039000149,2.5720
010039000150,2.0380
010039000156,2.0784
010039000158,2.0162
010039000159,2.6649
010039000161,2.2893
010039000170,1.9042
010039000173,2.6120
010039000174,5.0830
010039000175,4.0629
010039000179,1.9686
010039000184,4.3731
010039000187,1.8573
010039000190,2.8089
010039000191,2.9005
010039000195,2.7596
010039000196,5.4817
010039000197,3.0765
010039000200,-9999.0000
010039000201,3.0336
010039001421,3.2289
010039001446,3.4278
010039001484,2.8700
010039001645,4.5179
010039001647,-9999.0000
010039001649,4.2862
010039001717,2.9859
010039001744,2.6302
010039001745,4.1718
010039001762,2.0240
010039001823,4.1042
010039001878,6.1283
010039002185,2.2166
010039002187,2.1417
010039002204,3.2242
010039002206,2.8062
010039002354,1.8255
010042000101,3.6829
010042000203,4.0995
010042000205,3.7562
010042000206,5.0633
010042000208,-9999.0000
010042000209,6.0524
010042000210,6.0708
010042000211,4.6591
010042000213,5.5801
010042000676,1.5346
010042001427,3.6030
010042001476,3.5742
010042001481,3.5355
010042001870,5.5227
010045000214,4.1665
010045000215,6.4391
010048000218,-9999.0000
010048000220,2.3842
010048000221,3.3727
010048000222,2.1966
010051000225,-9999.0000
010051000228,4.0100
010051000229,5.0373
010051000230,-9999.0000
010051001482,2.5546
010051002144,3.8670
010054000232,4.8008
010054000240,6.2418
010054000242,4.1390
010054000243,5.8833
010054000244,5.2409
010054000246,3.9057
010054000247,5.9204
010054000249,3.7974
010054001428,4.7334
010054001429,5.2383
010054001430,5.5840
010054001488,7.0319
010054001489,5.4543
010054001747,4.5571
010054001884,6.8414
010060000256,1.8892
010060000257,2.6685
010060000259,3.9360
010060000260,4.3629
010060000264,3.3026
010060000268,3.6344
010060000269,4.3724
010060000272,5.4578
010063000274,5.0633
010063000275,3.5344
010063000276,5.9287
010063000279,4.3356
010063000282,4.6895
010063000283,3.8892
010066000261,4.5814
010066000262,-9999.0000
010066000265,3.7421
010066000270,4.1162
010066000287,6.2045
010066000288,3.6357
010066000745,5.5992
010066001431,3.6530
010066001657,4.4746
010069000182,3.8948
010069000291,4.6387
010069000297,4.5883
010069001561,2.8935
010072000300,3.2808
010072000302,3.2564
010072000304,5.2872
010072000306,4.6202
010072001450,2.9819
010075000307,3.3559
010075000311,4.6354
010075000312,4.0496
010075000313,6.5603
010075002205,6.2031
010078000317,3.5641
010078000318,6.3374
010078000319,5.4036
010078000320,3.7872
010078000321,6.0984
010078001671,6.0054
010078001726,3.6398
010081000323,5.1395
010081000327,5.1730
010081001494,6.2555
010081001748,4.0474
010084000331,3.8733
010084000333,6.3007
010084000334,5.8801
010084000335,5.9257
010084000336,3.6373
010084000338,3.7175
010084000341,3.6644
010084001658,3.9140
010087000344,4.5705
010087000345,3.8707
010087000347,4.6629
010087000348,5.2546
010087000350,4.3365
010090002074,2.5313
010090002075,5.0152
010093000026,-9999.0000
010093000280,3.9270
010093000359,4.8502
010093000360,6.0691
010093000361,5.2789
010093000362,4.4910
010093000364,4.3988
010093001672,6.5873
010093002167,3.9465
010096000365,4.6162
010096000367,4.6593
010096000368,4.4718
010099000369,9.2081
010099000371,6.1906
010099000372,5.7270
010102000373,5.2469
010102000374,6.9135
010102000375,5.0946
010102000378,4.6896
010102000386,4.6653
010102000396,3.7556
010102000400,6.5653
010102000403,4.2700
010102000413,6.2365
010102000414,3.4182
010102000420,6.3971
010102000440,4.2481
010102000446,4.0392
010102000453,6.4040
010102000458,-9999.0000
010102000459,6.5337
010102001497,2.9264
010102001676,4.8044
010102001679,4.3922
010102002132,6.2864
010105000281,5.6837
010105000388,5.1657
010105000390,6.4380
010105000391,2.7981
010105000392,3.8940
010105000393,5.3590
010108000394,5.4232
010108001614,-9999.0000
010108001767,3.2517
010111000395,2.2363
010111000398,2.0068
010111000401,3.9417
010111000402,3.8902
010111000404,1.5105
010111000405,2.9596
010111000408,4.2411
010111000409,3.1512
010111000814,5.9693
010111001785,2.5148
010114000411,3.2747
010114000412,2.2206
010114000415,4.9904
010114000416,4.6417
010114000418,4.9385
010114000419,4.4623
010114000421,4.2014
010114000422,4.9778
010114000423,3.7846
010114000424,4.1645
010114000425,3.9352
010114001860,5.0471
010114002357,3.9258
010117000081,6.6827
010117000427,2.2974
010117000428,4.6708
010117000430,5.1576
010117000431,4.9253
010117000432,3.7848
010117000433,6.4389
010117000434,2.4918
010117000435,2.4561
010117000436,4.6694
010117000438,2.9773
010117001615,2.7888
010117001728,3.8145
010117001786,5.0323
010120000439,6.2834
010120000441,4.8947
010123000443,8.3298
010123000444,3.9476
010123000447,3.6247
010123000448,3.0808
010123000449,2.6954
010123000450,5.4471
010123000452,6.0005
010123000454,2.7120
010123000456,2.4313
010123001447,4.2555
010123001448,4.4251
010123001449,3.4359
010123001499,8.0209
010123001500,4.5145
010123001817,3.9281
010126000460,3.3030
010126000461,5.6918
010129000102,4.7730
010129000467,-9999.0000
010129000470,3.4353
010129001432,5.7379
010129001451,5.8524
010129001660,4.8033
010129001768,3.2009
010129001769,3.4562
010129001770,-9999.0000
010129002142,4.7458
010129002147,2.9729
010132000473,4.2642
010132000474,6.9326
010132000475,7.6734
010132000477,-9999.0000
010132000478,5.8851
010132000479,5.7338
010132000480,4.7870
010132000481,4.9007
010132001719,5.2157
010135000482,3.4076
010135000485,4.2595
010135000487,7.6191
010135000488,4.8516
010135000489,5.5591
010135001504,4.5723
010135001505,3.6538
010135001506,5.6614
010138000493,4.2451
010138000494,4.0809
010138000496,4.6514
010138000497,4.2699
010138000499,3.6677
010138000500,5.7191
010138000501,4.4533
010138000502,4.7289
010138000503,4.1004
010138000505,6.6728
010138000507,5.7789
010138000508,3.6849
010138000509,4.4620
010138001507,6.2237
010138001508,6.5350
010138001509,4.8288
