id,all_coh
010000500870,-0.0311
010000500879,-0.0086
010000500889,-0.0319
010000600193,-0.1785
010000600872,-0.0554
010000600876,-0.0926
010000600877,-0.0944
010000600880,-0.1342
010000600887,-9999.0000
010000601434,0.0624
010000601685,-0.1178
010000601812,-0.0245
010000602209,-9999.0000
010000700091,0.0553
010000700248,0.0291
010000700337,0.0277
010000700342,0.0442
010000701422,0.0313
010000701483,0.0438
010000701738,0.0893
010000701739,0.0255
010000701740,0.1709
010000701741,0.0848
010000701742,0.0309
010000701743,0.1417
010000702091,0.0963
010000702186,-9999.0000
010000800303,0.2367
010000800495,0.0384
010000800839,0.1871
010000800851,0.1685
010000801423,0.1348
010000801485,0.2223
010000801798,0.0148
010000802097,0.2019
010000802133,0.1753
010001102094,-0.0052
010001102095,0.1026
010001200123,-0.0986
010001200884,-0.0482
010001201630,-0.0163
010001300714,-0.0045
010001301498,0.1175
010003000001,-0.0485
010003000005,-0.0783
010003000006,-0.0218
010006000008,-0.0700
010006001467,-0.0630
010009000015,0.1095
010009000017,0.0376
010009000020,-0.0339
010009000021,0.0153
010009001725,0.1218
010009001782,0.0970
010010000022,-0.0319
010010000027,-0.0515
010012000522,-0.0986
010012001471,0.1328
010012001473,-0.0730
010012001474,0.0935
010012001475,-0.0270
010012001758,0.2442
010018000034,0.0336
010018000035,0.0401
010018500893,0.1222
010018500952,0.1423
010018802193,-9999.0000
010018802194,-9999.0000
010018902195,-9999.0000
010018902196,-9999.0000
010019001182,-9999.0000
010019001184,-9999.0000
010019001460,-9999.0000
010019001815,-9999.0000
010019002149,-9999.0000
010019402395,-9999.0000
010019402398,-9999.0000
010021000037,0.0192
010021000039,-9999.0000
010021000040,-9999.0000
010021000041,-0.0066
010021000042,0.0617
010021001254,0.0846
010021001259,0.1919
010021001879,-9999.0000
010021002363,-9999.0000
010024000045,-0.0824
010024000046,-9999.0000
010024000047,-0.0619
010024000049,-0.1317
010024000050,-0.0245
010024000543,-0.1135
010024000546,-0.0938
010024001408,-0.0658
010024002159,-0.0168
010027000012,-0.0654
010027000013,0.0142
010027000023,0.0136
010027000056,0.0422
010027000057,-0.1647
010027000058,-0.0022
010027000059,-0.0031
010027000060,-0.0650
010027000062,0.0380
010027000065,0.0378
010027000066,-0.0274
010027000067,0.0470
010027000068,0.0291
010027000069,-0.2156
010027000070,-0.0863
010027000162,0.0185
010027000549,0.0678
010027000550,-0.0555
010027000625,-9999.0000
010027000648,-0.1284
010027000660,-0.1867
010027000661,-9999.0000
010027001477,-0.0854
010027001708,-9999.0000
010027001709,-9999.0000
010027001710,-0.0954
010027001711,-9999.0000
010027001712,-0.1493
010027001713,0.0104
010027001714,0.0700
010027001715,-0.0780
010027001716,-0.0029
010027001783,-0.0742
010027001859,-0.1007
010027001888,-0.1116
010027002072,0.0376
010030000074,-9999.0000
010030001557,0.0984
010030001641,0.0649
010033000082,0.0819
010033000084,-0.0460
010033000086,-0.1941
010033000088,-0.3498
010033000090,-0.1609
010033001479,-0.0977
010036000094,0.1348
010036000095,-0.0715
010036000096,0.1415
010036000098,0.0250
010036001426,-0.0524
010036001480,-0.1047
010039000103,-0.0756
010039000106,-0.0899
010039000107,-0.0248
010039000108,0.0767
010039000111,0.0078
010039000112,-0.0928
010039000113,-0.1013
010039000115,-9999.0000
010039000119,0.0376
010039000127,0.0173
010039000128,-9999.0000
010039000130,-9999.0000
010039000133,0.0553
010039000136,-0.2781
010039000137,-9999.0000
010039000139,-0.3307
010039000140,0.0073
010039000142,-0.1041
010039000143,-9999.0000
010039000145,-9999.0000
010039000149,-9999.0000
010039000150,0.0145
010039000156,-0.0436
010039000158,-9999.0000
010039000159,0.0984
010039000161,-9999.0000
010039000170,-9999.0000
010039000173,-9999.0000
010039000174,-0.1018
010039000175,0.0997
010039000179,0.0572
010039000184,-0.3221
010039000187,-0.0541
010039000190,-0.1122
010039000191,-0.1488
010039000195,-9999.0000
010039000196,-0.4253
010039000197,-9999.0000
010039000200,-9999.0000
010039000201,0.0981
010039001421,-0.1180
010039001446,0.0041
010039001484,-0.1204
010039001645,-0.0554
010039001647,-9999.0000
010039001649,-0.0820
010039001717,-9999.0000
010039001744,-9999.0000
010039001745,-9999.0000
010039001762,0.0039
010039001823,0.0375
010039001878,-0.0618
010039002185,-9999.0000
010039002187,-9999.0000
010039002204,-9999.0000
010039002206,-9999.0000
010039002354,-9999.0000
010042000101,0.0461
010042000203,0.1471
010042000205,0.1038
010042000206,-0.0510
010042000208,0.1695
010042000209,0.1171
010042000210,0.0446
010042000211,0.1461
010042000213,0.1315
010042000676,-9999.0000
010042001427,0.2013
010042001476,0.1010
010042001481,0.0508
010042001870,0.1047
010045000214,0.0851
010045000215,0.0480
010048000218,-9999.0000
010048000220,-9999.0000
010048000221,-0.0668
010048000222,-0.0765
010051000225,-9999.0000
010051000228,-0.1370
010051000229,-0.0264
010051000230,-9999.0000
010051001482,-0.0350
010051002144,0.0574
010054000232,0.0585
010054000240,0.0901
010054000242,-0.1261
010054000243,0.0487
010054000244,-0.0547
010054000246,0.0624
010054000247,0.0266
