id,all_grd
010000500870,-9999.0000
010000500879,-9999.0000
010000500889,-9999.0000
010000600193,0.8019
010000600872,0.9115
010000600876,0.8010
010000600877,0.7378
010000600880,0.6069
010000600887,-9999.0000
010000601434,1.0924
010000601685,-9999.0000
010000601812,0.9861
010000602209,-9999.0000
010000700091,-9999.0000
010000700248,1.0700
010000700337,1.2594
010000700342,-9999.0000
010000701422,1.0384
010000701483,-9999.0000
010000701738,1.0415
010000701739,1.0175
010000701740,1.0670
010000701741,1.2632
010000701742,0.9343
010000701743,1.1449
010000702091,1.0202
010000702186,-9999.0000
010000800303,1.3641
010000800495,-9999.0000
010000800839,1.2594
010000800851,1.3487
010000801423,1.3177
010000801485,1.1673
010000801798,-9999.0000
010000802097,1.1812
010000802133,1.2156
010001102094,-9999.0000
010001102095,1.0740
010001200123,1.0357
010001200884,-9999.0000
010001201630,-9999.0000
010001300714,0.9213
010001301498,1.0353
010003000001,-9999.0000
010003000005,-9999.0000
010003000006,-9999.0000
010006000008,0.8189
010006001467,0.6463
010009000015,0.8324
010009000017,0.9806
010009000020,0.9313
010009000021,0.7181
010009001725,0.8429
010009001782,0.6887
010010000022,0.8388
010010000027,0.7326
010012000522,-9999.0000
010012001471,-9999.0000
010012001473,-9999.0000
010012001474,-9999.0000
010012001475,-9999.0000
010012001758,-9999.0000
010018000034,0.8781
010018000035,0.8650
010018500893,0.8116
010018500952,1.1997
010018802193,-9999.0000
010018802194,-9999.0000
010018902195,-9999.0000
010018902196,-9999.0000
010019001182,-9999.0000
010019001184,-9999.0000
010019001460,-9999.0000
010019001815,-9999.0000
010019002149,-9999.0000
010019402395,-9999.0000
010019402398,-9999.0000
010021000037,-9999.0000
010021000039,-9999.0000
010021000040,-9999.0000
010021000041,-9999.0000
010021000042,1.2931
010021001254,0.8275
010021001259,0.9822
010021001879,-9999.0000
010021002363,-9999.0000
010024000045,0.8458
010024000046,-9999.0000
010024000047,-9999.0000
010024000049,-9999.0000
010024000050,-9999.0000
010024000543,0.7472
010024000546,0.9383
010024001408,0.6584
010024002159,0.9159
010027000012,0.9854
010027000013,-9999.0000
010027000023,-9999.0000
010027000056,0.7983
010027000057,0.7800
010027000058,1.1039
010027000059,0.8639
010027000060,-9999.0000
010027000062,0.7085
010027000065,0.8428
010027000066,0.9724
010027000067,1.0276
010027000068,1.1119
010027000069,0.9492
010027000070,0.7364
010027000162,-9999.0000
010027000549,1.1970
010027000550,0.9884
010027000625,-9999.0000
010027000648,0.7504
010027000660,0.9054
010027000661,-9999.0000
010027001477,1.1295
010027001708,-9999.0000
010027001709,-9999.0000
010027001710,1.0371
010027001711,-9999.0000
010027001712,-9999.0000
010027001713,-9999.0000
010027001714,0.8754
010027001715,1.0278
010027001716,0.9636
010027001783,0.7627
010027001859,-9999.0000
010027001888,0.7864
010027002072,1.0205
010030000074,-9999.0000
010030001557,0.9330
010030001641,0.7199
010033000082,1.1004
010033000084,0.6155
010033000086,0.6035
010033000088,0.5960
010033000090,1.1103
010033001479,0.8431
010036000094,1.0506
010036000095,-9999.0000
010036000096,0.9304
010036000098,-9999.0000
010036001426,0.9534
010036001480,-9999.0000
010039000103,0.9269
010039000106,1.0179
010039000107,0.6880
010039000108,0.9761
010039000111,-9999.0000
010039000112,0.4618
010039000113,1.3887
